time,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,CESM1-CAM5,CCSM4,IPSL-CM5A-LR,GFDL-CM3,GISS-E2-R
2000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0
2001.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0
2002.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0
2003.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0
2004.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0
2005.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0
2006.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0
2007.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0
2008.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0
2009.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0
2010.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0
2011.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0
2012.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0
2013.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0
2014.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0
2015.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0
2016.0,10728979000.0,10728979000.0,10728979000.0,10728979000.0,10728979000.0,10728979000.0,10728979000.0,10728979000.0
2017.0,10707930000.0,10707930000.0,10707930000.0,10707930000.0,10707930000.0,10707930000.0,10707930000.0,10707930000.0
2018.0,10700131000.0,10700131000.0,10700131000.0,10700131000.0,10700131000.0,10700131000.0,10700131000.0,10700131000.0
2019.0,10710534000.0,10710534000.0,10710534000.0,10710534000.0,10710534000.0,10710534000.0,10710534000.0,10710534000.0
2020.0,10692423000.0,10692423000.0,10692423000.0,10692423000.0,10692423000.0,10692423000.0,10692423000.0,10692423000.0
2021.0,10682798000.0,10851628000.0,10682455000.0,10681575000.0,10683073000.0,10678143000.0,10679843000.0,10686001000.0
2022.0,10672708000.0,10779928000.0,10673462000.0,10666692000.0,10671048000.0,10669260000.0,10669064000.0,10673624000.0
2023.0,10736034000.0,10760938000.0,10668270000.0,10656605000.0,10678800000.0,10662049000.0,10661191000.0,10668759000.0
2024.0,10697461000.0,10741257000.0,10660774000.0,10647758000.0,10669549000.0,10653013000.0,10654835000.0,10667989000.0
2025.0,10676845000.0,10738540000.0,10656142000.0,10635239000.0,10653434000.0,10646015000.0,10642229000.0,10653252000.0
2026.0,10658256000.0,10735363000.0,10647472000.0,10625586000.0,10644226000.0,10634130000.0,10634338000.0,10642007000.0
2027.0,10651114000.0,10724718000.0,10639031000.0,10602135000.0,10634215000.0,10625226000.0,10626688000.0,10634943000.0
2028.0,10637953000.0,10722821000.0,10630888000.0,10575299000.0,10617746000.0,10605600000.0,10608412000.0,10616644000.0
2029.0,10622622000.0,10805704000.0,10615252000.0,10540780000.0,10598852000.0,10577178000.0,10585850000.0,10603946000.0
2030.0,10612553000.0,10798273000.0,10601232000.0,10517489000.0,10566650000.0,10548519000.0,10556912000.0,10587280000.0
2031.0,10594485000.0,10761797000.0,10586404000.0,10488117000.0,10557439000.0,10527275000.0,10535742000.0,10555634000.0
2032.0,10580334000.0,10739427000.0,10568178000.0,10450481000.0,10539016000.0,10492579000.0,10501685000.0,10541912000.0
2033.0,10559997000.0,10784675000.0,10578063000.0,10434100000.0,10528426000.0,10461326000.0,10471373000.0,10525605000.0
2034.0,10539878000.0,10775592000.0,10552088000.0,10408632000.0,10499347000.0,10435811000.0,10450562000.0,10501606000.0
2035.0,10518409000.0,10716807000.0,10557030000.0,10357004000.0,10485240000.0,10399032000.0,10434135000.0,10484638000.0
2036.0,10514087000.0,10709474000.0,10542371000.0,10335764000.0,10464871000.0,10356333000.0,10401158000.0,10458457000.0
2037.0,10493565000.0,10694462000.0,10532631000.0,10285627000.0,10419587000.0,10317478000.0,10359476000.0,10451196000.0
2038.0,10471763000.0,10691807000.0,10502765000.0,10242053000.0,10383314000.0,10248125000.0,10324893000.0,10412028000.0
2039.0,10439568000.0,10681098000.0,10486299000.0,10200068000.0,10348983000.0,10207018000.0,10284351000.0,10365728000.0
2040.0,10411165000.0,10707130000.0,10480490000.0,10165310000.0,10318234000.0,10143375000.0,10245409000.0,10337712000.0
2041.0,10378487000.0,10676379000.0,10456204000.0,10130470000.0,10280063000.0,10086349000.0,10209208000.0,10316782000.0
2042.0,10345320000.0,10666392000.0,10443338000.0,10092448000.0,10253322000.0,10033490000.0,10175915000.0,10288355000.0
2043.0,10330321000.0,10647183000.0,10423609000.0,10044293000.0,10226159000.0,9994637000.0,10149291000.0,10250225000.0
2044.0,10301776000.0,10646312000.0,10403514000.0,10026321000.0,10199492000.0,9928150000.0,10110735000.0,10219613000.0
2045.0,10263398000.0,10639708000.0,10386933000.0,9965429000.0,10168336000.0,9847728000.0,10083553000.0,10207397000.0
2046.0,10236540000.0,10609850000.0,10380852000.0,9895412000.0,10150287000.0,9779223000.0,10044542000.0,10186014000.0
2047.0,10214171000.0,10596420000.0,10361422000.0,9825230000.0,10126200000.0,9689219000.0,10014275000.0,10158072000.0
2048.0,10199088000.0,10595437000.0,10350934000.0,9751733000.0,10091533000.0,9609050000.0,9971934000.0,10111968000.0
2049.0,10158900000.0,10580109000.0,10329285000.0,9682393000.0,10081824000.0,9514043000.0,9935240000.0,10087825000.0
2050.0,10127881000.0,10580870000.0,10313460000.0,9612933000.0,10016646000.0,9426289000.0,9888166000.0,10041864000.0
2051.0,10092943000.0,10564806000.0,10334227000.0,9508298000.0,9969593000.0,9324052000.0,9848724000.0,9996221000.0
2052.0,10057550000.0,10557190000.0,10296471000.0,9437720000.0,9925934000.0,9224910000.0,9803981000.0,9945460000.0
2053.0,10009019000.0,10546128000.0,10272114000.0,9346480000.0,9881603000.0,9105480000.0,9751217000.0,9880019000.0
2054.0,9956742000.0,10538227000.0,10248187000.0,9247309000.0,9796637000.0,8987950000.0,9697201000.0,9850752000.0
2055.0,9905343000.0,10591111000.0,10218181000.0,9180312000.0,9759202000.0,8920111000.0,9633309000.0,9801650000.0
2056.0,9862328000.0,10537560000.0,10199885000.0,9117781000.0,9702967000.0,8781992000.0,9554701000.0,9760757000.0
2057.0,9819483000.0,10526350000.0,10187132000.0,9031601000.0,9646217000.0,8699477000.0,9480865000.0,9703144000.0
2058.0,9779343000.0,10527284000.0,10157252000.0,8975038000.0,9573206000.0,8637289000.0,9375870000.0,9646807000.0
2059.0,9733111000.0,10580623000.0,10116647000.0,8896583000.0,9505534000.0,8568982000.0,9315290000.0,9577676000.0
2060.0,9675759000.0,10549752000.0,10096397000.0,8830904000.0,9454034000.0,8494270000.0,9259330000.0,9548865000.0
2061.0,9626570000.0,10497836000.0,10057974000.0,8775210000.0,9393234000.0,8435913000.0,9186950000.0,9494570000.0
2062.0,9560822000.0,10501168000.0,10017787000.0,8741121000.0,9321654000.0,8360283600.0,9114525000.0,9425605000.0
2063.0,9469192000.0,10489962000.0,9968165000.0,8662463000.0,9236490000.0,8270825000.0,9044881000.0,9376468000.0
2064.0,9427798000.0,10479776000.0,9939654000.0,8614714000.0,9185657000.0,8192743400.0,8979017000.0,9330488000.0
2065.0,9373159000.0,10535091000.0,9907978000.0,8517624000.0,9132898000.0,8090540000.0,8910021000.0,9285746000.0
2066.0,9336223000.0,10512001000.0,9875862000.0,8422888000.0,9056222000.0,7982155300.0,8821800000.0,9254260000.0
2067.0,9255654000.0,10480322000.0,9808531000.0,8332054500.0,9019209000.0,7890500000.0,8767517000.0,9196695000.0
2068.0,9210827000.0,10486324000.0,9726823000.0,8268617700.0,8951698000.0,7775174000.0,8727254000.0,9163062000.0
2069.0,9168731000.0,10482102000.0,9681107000.0,8201945000.0,8898435000.0,7698973000.0,8654661000.0,9161893000.0
2070.0,9127399000.0,10485651000.0,9646722000.0,8098489300.0,8839687000.0,7625797600.0,8591681000.0,9116186000.0
2071.0,9091357000.0,10476537000.0,9621560000.0,7989335000.0,8790634000.0,7567633400.0,8528788500.0,9054834000.0
2072.0,9022475000.0,10530807000.0,9561147000.0,7918640600.0,8731901000.0,7508173300.0,8459733500.0,9028436000.0
2073.0,8967491000.0,10512676000.0,9541218000.0,7823610400.0,8672269000.0,7426885600.0,8392858000.0,8985434000.0
2074.0,8906623000.0,10515189000.0,9460202000.0,7758049300.0,8595607000.0,7349613600.0,8319025700.0,8966118000.0
2075.0,8864486000.0,10500604000.0,9435741000.0,7683908600.0,8543370000.0,7228684300.0,8277235700.0,8931112000.0
2076.0,8797081000.0,10488068000.0,9370874000.0,7578453000.0,8456534000.0,7130796000.0,8235376600.0,8870103000.0
2077.0,8743759000.0,10469656000.0,9326093000.0,7508585500.0,8427980300.0,7058671000.0,8136645000.0,8823441000.0
2078.0,8692822000.0,10472741000.0,9280830000.0,7415725600.0,8387855400.0,6959779000.0,8070947300.0,8780826000.0
2079.0,8631771000.0,10461492000.0,9220706000.0,7327210500.0,8295727600.0,6886681000.0,8012278300.0,8751575000.0
2080.0,8569895000.0,10446015000.0,9180481000.0,7255629300.0,8219758600.0,6796989400.0,7957702700.0,8727110000.0
2081.0,8543583700.0,10440806000.0,9139906000.0,7183770000.0,8140289000.0,6710371000.0,7873642500.0,8674133000.0
2082.0,8479575000.0,10413556000.0,9099601000.0,7066140000.0,8043492000.0,6654470700.0,7801494500.0,8640752000.0
2083.0,8441608000.0,10390641000.0,9039538000.0,6954017300.0,8000618500.0,6578192000.0,7716340700.0,8576332000.0
2084.0,8380772400.0,10383149000.0,8993264000.0,6915525000.0,7953731600.0,6537019000.0,7666676000.0,8526063600.0
2085.0,8300940000.0,10363670000.0,8970014000.0,6785736000.0,7920891400.0,6437565400.0,7577576000.0,8498236000.0
2086.0,8255055000.0,10360276000.0,8892082000.0,6664246300.0,7833591300.0,6348891000.0,7505543000.0,8447035400.0
2087.0,8206018600.0,10330396000.0,8858376000.0,6571116000.0,7774340600.0,6254654500.0,7454590000.0,8394737700.0
2088.0,8158480400.0,10295844000.0,8828069000.0,6489519000.0,7712673300.0,6186756000.0,7349746000.0,8370815500.0
2089.0,8084232000.0,10265970000.0,8814080000.0,6410051000.0,7674312700.0,6104873500.0,7291281000.0,8322019300.0
2090.0,8017694000.0,10234617000.0,8776722000.0,6314030000.0,7595926500.0,6043552300.0,7193435600.0,8289456600.0
2091.0,7974774300.0,10214269000.0,8746814000.0,6236384000.0,7557447000.0,5976645000.0,7142369300.0,8268188700.0
2092.0,7909228000.0,10188881000.0,8691183000.0,6153539600.0,7512890400.0,5879184000.0,7095949300.0,8198463500.0
2093.0,7832009700.0,10164716000.0,8637837000.0,6019055600.0,7479375400.0,5816350700.0,7015395000.0,8144584700.0
2094.0,7784125400.0,10172521000.0,8612526000.0,5909382000.0,7423517700.0,5753123300.0,6932687000.0,8111236600.0
2095.0,7739187000.0,10117992000.0,8568661500.0,5817344000.0,7341844000.0,5711844000.0,6865455600.0,8086445600.0
2096.0,7687171000.0,10085120000.0,8530195000.0,5734493700.0,7274603500.0,5643449300.0,6767382500.0,8038412300.0
2097.0,7631967000.0,10053878000.0,8484570000.0,5645610000.0,7218227000.0,5610180600.0,6695706000.0,8012784600.0
2098.0,7587238000.0,10022114000.0,8441197000.0,5595199000.0,7133129000.0,5533447700.0,6606138400.0,7967790000.0
2099.0,7523591700.0,9987169000.0,8388546600.0,5534808600.0,7106999300.0,5487520300.0,6526731000.0,7993376300.0
2100.0,7462997500.0,9959697000.0,8376992000.0,5432915000.0,7012527600.0,5405574700.0,6436282400.0,7935544300.0
