time,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR
2000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0
2001.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0
2002.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0
2003.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0
2004.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0
2005.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0
2006.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0
2007.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0
2008.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0
2009.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0
2010.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0
2011.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0
2012.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0
2013.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0
2014.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0
2015.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0
2016.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0
2017.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0
2018.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0
2019.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0
2020.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0
2021.0,4627055000000.0,4650593000000.0,4650242000000.0,4664617600000.0,4684403700000.0
2022.0,4570433000000.0,4627780000000.0,4612670000000.0,4635378600000.0,4666753000000.0
2023.0,4522042700000.0,4604289400000.0,4590193300000.0,4619025500000.0,4640909300000.0
2024.0,4488656600000.0,4570722300000.0,4583972700000.0,4607371000000.0,4619994400000.0
2025.0,4447716500000.0,4535810500000.0,4552757000000.0,4582268700000.0,4587524700000.0
2026.0,4397549200000.0,4486114000000.0,4499336300000.0,4560299500000.0,4579783600000.0
2027.0,4359381800000.0,4441500000000.0,4466468000000.0,4535864000000.0,4544818000000.0
2028.0,4339134400000.0,4404627000000.0,4438240500000.0,4483603000000.0,4516670000000.0
2029.0,4302186200000.0,4369067300000.0,4396258700000.0,4462442700000.0,4489326000000.0
2030.0,4275069500000.0,4329103700000.0,4331566500000.0,4426252700000.0,4462506000000.0
2031.0,4235193700000.0,4291545500000.0,4290935000000.0,4403453000000.0,4439166000000.0
2032.0,4200287700000.0,4251355400000.0,4243785500000.0,4375552500000.0,4399196000000.0
2033.0,4175552800000.0,4214299600000.0,4200266500000.0,4361658600000.0,4371809300000.0
2034.0,4143787800000.0,4165075000000.0,4181387600000.0,4340017800000.0,4347528500000.0
2035.0,4082826500000.0,4148479400000.0,4145411800000.0,4321484700000.0,4331131400000.0
2036.0,4019932000000.0,4136310400000.0,4110674600000.0,4300473000000.0,4321567000000.0
2037.0,3978893700000.0,4097148000000.0,4082906200000.0,4274019600000.0,4315070300000.0
2038.0,3940748400000.0,4073649600000.0,4039963600000.0,4238999000000.0,4278730000000.0
2039.0,3894492300000.0,4035845300000.0,4012500000000.0,4199037500000.0,4269098000000.0
2040.0,3844577000000.0,4006567200000.0,3994972300000.0,4164677300000.0,4244047000000.0
2041.0,3786879300000.0,3974630000000.0,3973354600000.0,4128344400000.0,4207936300000.0
2042.0,3730978000000.0,3944885300000.0,3934675300000.0,4061144000000.0,4194751500000.0
2043.0,3683224400000.0,3915623700000.0,3888010200000.0,4014487000000.0,4170918700000.0
2044.0,3643118700000.0,3880160000000.0,3845300400000.0,3970568600000.0,4146987300000.0
2045.0,3614356300000.0,3848455300000.0,3780962400000.0,3943154300000.0,4128962500000.0
2046.0,3585569000000.0,3804146700000.0,3742437700000.0,3902785000000.0,4104159800000.0
2047.0,3549405600000.0,3783179600000.0,3708621200000.0,3871717500000.0,4069165400000.0
2048.0,3509295000000.0,3751711900000.0,3675650300000.0,3831533000000.0,4023091200000.0
2049.0,3470913400000.0,3713817400000.0,3639056500000.0,3789920100000.0,3993058400000.0
2050.0,3419598200000.0,3685604000000.0,3622794400000.0,3744239000000.0,3954583500000.0
2051.0,3359230000000.0,3678418800000.0,3605077200000.0,3700392500000.0,3906602500000.0
2052.0,3272775600000.0,3644343200000.0,3568760000000.0,3686818000000.0,3883678600000.0
2053.0,3211649400000.0,3604365400000.0,3521783300000.0,3663755700000.0,3851948400000.0
2054.0,3174365000000.0,3583269700000.0,3477619300000.0,3624428000000.0,3831659500000.0
2055.0,3109074500000.0,3545250700000.0,3444926600000.0,3608319600000.0,3800313000000.0
2056.0,3058178200000.0,3534752000000.0,3416555000000.0,3579935000000.0,3765099600000.0
2057.0,2996408200000.0,3502897400000.0,3383455600000.0,3550006700000.0,3719450300000.0
2058.0,2941801700000.0,3479142700000.0,3327913000000.0,3525885600000.0,3700348400000.0
2059.0,2905934100000.0,3451262000000.0,3304737700000.0,3502278700000.0,3672690400000.0
2060.0,2875723600000.0,3427015900000.0,3274287300000.0,3466622000000.0,3654775000000.0
2061.0,2830293000000.0,3403292300000.0,3216481700000.0,3432961300000.0,3643390300000.0
2062.0,2778398700000.0,3381588400000.0,3196635000000.0,3419203400000.0,3613071800000.0
2063.0,2724774800000.0,3363474000000.0,3158151000000.0,3391376300000.0,3569155800000.0
2064.0,2680045200000.0,3342110600000.0,3127582700000.0,3371229500000.0,3544350000000.0
2065.0,2631612500000.0,3311510200000.0,3089198200000.0,3336313200000.0,3528994800000.0
2066.0,2575190500000.0,3284006600000.0,3057653400000.0,3276049200000.0,3499321000000.0
2067.0,2512975800000.0,3250217500000.0,3013841800000.0,3232027600000.0,3470954000000.0
2068.0,2460564300000.0,3226265000000.0,2965831700000.0,3192117500000.0,3435152300000.0
2069.0,2390792600000.0,3206453700000.0,2935276200000.0,3145755800000.0,3402501200000.0
2070.0,2346825300000.0,3180828000000.0,2905225000000.0,3119294700000.0,3378934200000.0
2071.0,2300222000000.0,3154083000000.0,2864901300000.0,3093540600000.0,3344862500000.0
2072.0,2256442500000.0,3122891600000.0,2823478000000.0,3063815300000.0,3311687000000.0
2073.0,2211157400000.0,3115056000000.0,2789634700000.0,3029096000000.0,3287102300000.0
2074.0,2157875000000.0,3108592000000.0,2736811000000.0,3014763200000.0,3245560300000.0
2075.0,2110923600000.0,3079173300000.0,2704605700000.0,2981874600000.0,3209762000000.0
2076.0,2065714200000.0,3050402200000.0,2666188000000.0,2927246200000.0,3191487600000.0
2077.0,2006134700000.0,3023968400000.0,2625269000000.0,2898011600000.0,3162340300000.0
2078.0,1957850500000.0,3016343700000.0,2585905600000.0,2869587000000.0,3135192700000.0
2079.0,1913590500000.0,2989633300000.0,2551970800000.0,2855126400000.0,3121166200000.0
2080.0,1852852700000.0,2959918800000.0,2515611200000.0,2819340400000.0,3089120600000.0
2081.0,1800234700000.0,2923933700000.0,2470294800000.0,2783171800000.0,3053681400000.0
2082.0,1752670500000.0,2891305200000.0,2435477100000.0,2747418500000.0,3035359300000.0
2083.0,1702959600000.0,2857684400000.0,2400856600000.0,2712013600000.0,3000431500000.0
2084.0,1654476500000.0,2833885000000.0,2360856000000.0,2690739300000.0,2946460800000.0
2085.0,1592521300000.0,2805782500000.0,2322577200000.0,2662826500000.0,2921034400000.0
2086.0,1556008000000.0,2777176300000.0,2290732200000.0,2617601400000.0,2908180200000.0
2087.0,1507645000000.0,2751633300000.0,2259604200000.0,2585934200000.0,2866267300000.0
2088.0,1456398700000.0,2727158500000.0,2223202600000.0,2563152000000.0,2840413000000.0
2089.0,1397159600000.0,2696501000000.0,2187808200000.0,2528707300000.0,2801713000000.0
2090.0,1345458400000.0,2654885000000.0,2139678400000.0,2506223800000.0,2773323000000.0
2091.0,1304142500000.0,2623483200000.0,2096182700000.0,2462634000000.0,2737655000000.0
2092.0,1272255900000.0,2598603800000.0,2059467600000.0,2428012000000.0,2707950400000.0
2093.0,1231284100000.0,2564977300000.0,2017105800000.0,2387963000000.0,2664351000000.0
2094.0,1191366400000.0,2542885000000.0,1977447600000.0,2350401700000.0,2642316400000.0
2095.0,1158510000000.0,2518090300000.0,1941202100000.0,2297368400000.0,2608396000000.0
2096.0,1109896900000.0,2488493700000.0,1906314000000.0,2261018500000.0,2586053700000.0
2097.0,1076128500000.0,2464597400000.0,1864343400000.0,2233767800000.0,2551541100000.0
2098.0,1033478140000.0,2440308200000.0,1833674100000.0,2180087700000.0,2505098700000.0
2099.0,993974550000.0,2424720000000.0,1800376000000.0,2146301900000.0,2459012200000.0
2100.0,952761800000.0,2387832000000.0,1765570100000.0,2132634800000.0,2408950500000.0
