time,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0
2001.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0
2002.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0
2003.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0
2004.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0
2005.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0
2006.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0
2007.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0
2008.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0
2009.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0
2010.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0
2011.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0
2012.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0
2013.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0
2014.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0
2015.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0
2016.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0
2017.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0
2018.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0
2019.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0
2020.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0
2021.0,4658532000000.0,4661804000000.0,4620587400000.0,4689924000000.0,4653825000000.0
2022.0,4644212300000.0,4652260700000.0,4589822000000.0,4682493000000.0,4641159000000.0
2023.0,4619651000000.0,4643389700000.0,4570005000000.0,4645371000000.0,4618073000000.0
2024.0,4559714400000.0,4615744500000.0,4523027300000.0,4598470300000.0,4590129000000.0
2025.0,4522189000000.0,4590802600000.0,4459910400000.0,4589985700000.0,4558130000000.0
2026.0,4446339700000.0,4559006600000.0,4442227000000.0,4580180000000.0,4523465600000.0
2027.0,4405527600000.0,4546213000000.0,4429001000000.0,4570480600000.0,4482592000000.0
2028.0,4370031000000.0,4519469000000.0,4407061000000.0,4567330000000.0,4456174000000.0
2029.0,4326014800000.0,4499947000000.0,4367328700000.0,4539600000000.0,4425570000000.0
2030.0,4307808200000.0,4487523000000.0,4320760200000.0,4503605000000.0,4404750600000.0
2031.0,4293589000000.0,4466482000000.0,4277206300000.0,4439395500000.0,4384473500000.0
2032.0,4255513000000.0,4448102400000.0,4263866000000.0,4413292000000.0,4369614600000.0
2033.0,4219420500000.0,4439657000000.0,4240310000000.0,4400161000000.0,4336551200000.0
2034.0,4161688800000.0,4398348000000.0,4197168700000.0,4373536800000.0,4306079300000.0
2035.0,4138605000000.0,4385569200000.0,4164080600000.0,4331840200000.0,4274853500000.0
2036.0,4120814300000.0,4363250300000.0,4132071800000.0,4311693100000.0,4250674100000.0
2037.0,4091173100000.0,4333245000000.0,4102610500000.0,4279032300000.0,4213790700000.0
2038.0,4047895500000.0,4312202000000.0,4058387300000.0,4245821000000.0,4173981500000.0
2039.0,4020872200000.0,4289830800000.0,3995303400000.0,4210937600000.0,4137417400000.0
2040.0,3963579300000.0,4254434900000.0,3963302000000.0,4186572300000.0,4116216000000.0
2041.0,3910990300000.0,4236042300000.0,3922527800000.0,4193355800000.0,4078052300000.0
2042.0,3856931000000.0,4201911400000.0,3892077700000.0,4164505600000.0,4062615000000.0
2043.0,3817374000000.0,4169187700000.0,3859173900000.0,4166248800000.0,4034548500000.0
2044.0,3776937500000.0,4146834700000.0,3832780000000.0,4142967800000.0,4010574300000.0
2045.0,3744095800000.0,4113725000000.0,3795236000000.0,4141332000000.0,3983867000000.0
2046.0,3702947000000.0,4102454200000.0,3768328700000.0,4118572400000.0,3948357000000.0
2047.0,3636048000000.0,4073976200000.0,3730179400000.0,4077817400000.0,3914083300000.0
2048.0,3589341200000.0,4052588400000.0,3680918600000.0,4044865700000.0,3892568000000.0
2049.0,3541799500000.0,4002054000000.0,3645914700000.0,4031452000000.0,3860789500000.0
2050.0,3490366400000.0,3982313700000.0,3617569000000.0,4007157600000.0,3817914800000.0
2051.0,3445058000000.0,3962451800000.0,3583869500000.0,3986302700000.0,3793159700000.0
2052.0,3389146800000.0,3926855000000.0,3543919200000.0,3960911200000.0,3769821600000.0
2053.0,3342508000000.0,3896079000000.0,3505828700000.0,3952545400000.0,3756725400000.0
2054.0,3280670000000.0,3847822200000.0,3476836300000.0,3911368600000.0,3727734000000.0
2055.0,3244500700000.0,3814990000000.0,3435561700000.0,3881471000000.0,3706707000000.0
2056.0,3185766800000.0,3783261700000.0,3393133500000.0,3845349000000.0,3697403500000.0
2057.0,3148153400000.0,3744986300000.0,3355673600000.0,3818808100000.0,3672088500000.0
2058.0,3082051000000.0,3727349800000.0,3315004000000.0,3757773200000.0,3650518500000.0
2059.0,3037488700000.0,3697655000000.0,3290264800000.0,3719546500000.0,3629396500000.0
2060.0,2994824800000.0,3669158000000.0,3269836700000.0,3677418200000.0,3595766000000.0
2061.0,2956962800000.0,3642549000000.0,3251603800000.0,3662293800000.0,3569902000000.0
2062.0,2921848000000.0,3613736300000.0,3215327500000.0,3624998500000.0,3538870600000.0
2063.0,2879876000000.0,3596394400000.0,3184821800000.0,3577128700000.0,3523038000000.0
2064.0,2826087000000.0,3584853300000.0,3150138600000.0,3539410600000.0,3503532300000.0
2065.0,2783899800000.0,3559669600000.0,3126371000000.0,3503072200000.0,3484322000000.0
2066.0,2741783500000.0,3538336400000.0,3097162700000.0,3496388000000.0,3447031900000.0
2067.0,2690835300000.0,3524151500000.0,3074823000000.0,3443165000000.0,3423109000000.0
2068.0,2643407100000.0,3516805700000.0,3040075300000.0,3394608600000.0,3423855700000.0
2069.0,2600457000000.0,3487448000000.0,3015420700000.0,3356447200000.0,3389287300000.0
2070.0,2552829800000.0,3455421500000.0,2988062000000.0,3300094600000.0,3366439600000.0
2071.0,2509656300000.0,3436171000000.0,2958203000000.0,3240427500000.0,3347284500000.0
2072.0,2466008500000.0,3402694000000.0,2922377600000.0,3194025000000.0,3330420500000.0
2073.0,2428013400000.0,3380322800000.0,2893547600000.0,3153327600000.0,3306607300000.0
2074.0,2381648200000.0,3346290200000.0,2866174800000.0,3139545300000.0,3264751300000.0
2075.0,2342568600000.0,3312411200000.0,2849059000000.0,3087165800000.0,3217865600000.0
2076.0,2311116600000.0,3272939400000.0,2816038700000.0,3052192700000.0,3185840500000.0
2077.0,2264482200000.0,3231902000000.0,2799559000000.0,3035235400000.0,3160425600000.0
2078.0,2219735000000.0,3201433000000.0,2759643000000.0,3017626400000.0,3137287500000.0
2079.0,2185312000000.0,3176059400000.0,2722704700000.0,2996250600000.0,3107147000000.0
2080.0,2142473800000.0,3157171600000.0,2684941500000.0,2980364200000.0,3082840700000.0
2081.0,2104030300000.0,3145659600000.0,2643209200000.0,2950233800000.0,3050551000000.0
2082.0,2067298500000.0,3125314300000.0,2614196200000.0,2908273000000.0,3009616300000.0
2083.0,2028623200000.0,3094712200000.0,2578668000000.0,2881100000000.0,2977163600000.0
2084.0,1992036600000.0,3066959800000.0,2539712000000.0,2854581400000.0,2958237600000.0
2085.0,1940044800000.0,3037229000000.0,2506660800000.0,2827307000000.0,2943144200000.0
2086.0,1889085200000.0,3010928300000.0,2470961500000.0,2781537400000.0,2917326400000.0
2087.0,1841423300000.0,2981194400000.0,2438035400000.0,2752426300000.0,2897470000000.0
2088.0,1802565300000.0,2947175200000.0,2420595800000.0,2736461700000.0,2860210200000.0
2089.0,1771696700000.0,2936822000000.0,2393739600000.0,2707239200000.0,2827509600000.0
2090.0,1728693000000.0,2918957000000.0,2370639800000.0,2683223400000.0,2805626300000.0
2091.0,1677530800000.0,2902260000000.0,2333839700000.0,2658293300000.0,2762621300000.0
2092.0,1646001900000.0,2879788700000.0,2314023200000.0,2631641600000.0,2741537900000.0
2093.0,1604092200000.0,2845209000000.0,2282040600000.0,2601091000000.0,2716675300000.0
2094.0,1565620800000.0,2811455900000.0,2230721400000.0,2577880000000.0,2693013700000.0
2095.0,1524114300000.0,2776127000000.0,2199132800000.0,2561904000000.0,2667112300000.0
2096.0,1489753300000.0,2748641400000.0,2167668900000.0,2523063000000.0,2643166000000.0
2097.0,1455007700000.0,2709551300000.0,2133548200000.0,2488378300000.0,2620746000000.0
2098.0,1428317000000.0,2688198400000.0,2096491000000.0,2458959500000.0,2601848000000.0
2099.0,1385850300000.0,2651623000000.0,2070581500000.0,2438205300000.0,2563480700000.0
2100.0,1351683300000.0,2625696700000.0,2047055800000.0,2389920700000.0,2534075800000.0
