time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0,50691707000.0
2001.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0,50482495000.0
2002.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0,50251360000.0
2003.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0,50340643000.0
2004.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0,51326255000.0
2005.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0,50942165000.0
2006.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0,50941190000.0
2007.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0,50354024000.0
2008.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0,50109180000.0
2009.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0,50049483000.0
2010.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0,50082484000.0
2011.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0,51311673000.0
2012.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0,50081653000.0
2013.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0,49798648000.0
2014.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0,49749357000.0
2015.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0,49674666000.0
2016.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0,49637806000.0
2017.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0,49586810000.0
2018.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0,49631986000.0
2019.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0,49772143000.0
2020.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0,49528850000.0
2021.0,49000480000.0,49373897000.0,49068122000.0,48912530000.0,49032315000.0
2022.0,48686957000.0,49092310000.0,48962466000.0,48886480000.0,49030062000.0
2023.0,48484782000.0,49311670000.0,48425120000.0,48601395000.0,48649986000.0
2024.0,48137190000.0,48575990000.0,48122876000.0,48469890000.0,48314550000.0
2025.0,47791520000.0,48371507000.0,47817980000.0,48306774000.0,48001507000.0
2026.0,47368850000.0,48136815000.0,47581135000.0,48240443000.0,47823270000.0
2027.0,47022240000.0,47800033000.0,47116630000.0,47944757000.0,47431780000.0
2028.0,46589080000.0,47649087000.0,46728946000.0,47582360000.0,47203460000.0
2029.0,46165770000.0,47271776000.0,46249783000.0,47599563000.0,46797963000.0
2030.0,45607500000.0,46980670000.0,45885700000.0,47032320000.0,46543160000.0
2031.0,45068636000.0,46851150000.0,45570306000.0,46839610000.0,46801703000.0
2032.0,44413178000.0,46433546000.0,45042192000.0,46672605000.0,45948166000.0
2033.0,43736730000.0,46003000000.0,44543914000.0,46152098000.0,45550576000.0
2034.0,42919395000.0,45529522000.0,43941490000.0,45849170000.0,45104144000.0
2035.0,42147620000.0,45113676000.0,43338880000.0,45324833000.0,45042300000.0
2036.0,41358750000.0,44738925000.0,42708787000.0,44843880000.0,44605415000.0
2037.0,40472950000.0,44335452000.0,42097040000.0,44441248000.0,44163570000.0
