time,NORESM2-MM,CMCC-CM2-SR5,MPI-ESM1-2-HR,GFDL-ESM4,EC-EARTH3-VEG,CESM2-WACCM,INM-CM5-0,CESM2,EC-EARTH3,MRI-ESM2-0,FGOALS-F3-L,INM-CM4-8,BCC-CSM2-MR,CAMS-CSM1-0
2000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0
2001.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0
2002.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0
2003.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0
2004.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0
2005.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0
2006.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0
2007.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0
2008.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0
2009.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0
2010.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0
2011.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0
2012.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0
2013.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0
2014.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0
2015.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0
2016.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0
2017.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0
2018.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0
2019.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0
2020.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0
