time,CESM2,INM-CM5-0,EC-EARTH3-VEG,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,EC-EARTH3,MRI-ESM2-0
2024.0,4159573900000.0,4216810000000.0,4175298000000.0,4142989600000.0,4231531000000.0,4204774000000.0,4215756800000.0,4205216800000.0,4181975600000.0,4184052000000.0,4164454400000.0,4177989700000.0,4216451500000.0
2025.0,4119690000000.0,4184816200000.0,4152108500000.0,4092106600000.0,4196013000000.0,4175485200000.0,4195277300000.0,4169839400000.0,4152168300000.0,4146412700000.0,4127395200000.0,4144156000000.0,4209916800000.0
2026.0,4095385300000.0,4154006000000.0,4101437400000.0,4070612100000.0,4180136700000.0,4144702000000.0,4169499400000.0,4145885200000.0,4103237500000.0,4100441200000.0,4105404200000.0,4118800200000.0,4193913000000.0
2027.0,4063594800000.0,4117738000000.0,4077960300000.0,4026792400000.0,4150461500000.0,4106527700000.0,4156531000000.0,4127758700000.0,4076017500000.0,4076252000000.0,4064540000000.0,4089606300000.0,4189949500000.0
2028.0,4039115500000.0,4088974500000.0,4055390000000.0,4008315200000.0,4110078000000.0,4086525000000.0,4134838500000.0,4096511700000.0,4037505200000.0,4044204800000.0,3997897900000.0,4065921000000.0,4182911500000.0
2029.0,4012625400000.0,4058193900000.0,4029090600000.0,3977320300000.0,4064584100000.0,4062262000000.0,4118034300000.0,4069806600000.0,4007426800000.0,4007311400000.0,3963251600000.0,4028085600000.0,4155900200000.0
2030.0,3962203500000.0,4023549200000.0,3991000800000.0,3938065000000.0,4047141000000.0,4037470800000.0,4105332300000.0,4053794300000.0,3983434000000.0,3963998700000.0,3940042400000.0,3992540200000.0,4124261500000.0
2031.0,3904334200000.0,3992951700000.0,3946938600000.0,3908909100000.0,4019350700000.0,4020737700000.0,4087489800000.0,4032186800000.0,3934252000000.0,3933644500000.0,3904300400000.0,3955585400000.0,4061497000000.0
2032.0,3874412000000.0,3954800600000.0,3909247000000.0,3866482400000.0,4004081300000.0,4007470300000.0,4072248400000.0,4002397300000.0,3895738800000.0,3911583500000.0,3857928400000.0,3907850900000.0,4042865000000.0
2033.0,3855129500000.0,3926935700000.0,3877520800000.0,3808277800000.0,3982033000000.0,3972795500000.0,4058565800000.0,3989805000000.0,3865209500000.0,3868761500000.0,3833475000000.0,3872593000000.0,4027859600000.0
2034.0,3801877300000.0,3890907400000.0,3839605300000.0,3796277000000.0,3964267700000.0,3946890000000.0,4024064500000.0,3963400500000.0,3822659800000.0,3839866700000.0,3792691300000.0,3836970000000.0,4002013500000.0
2035.0,3752290400000.0,3866207200000.0,3813995400000.0,3793513600000.0,3964952000000.0,3914998200000.0,4010461000000.0,3948398500000.0,3782470500000.0,3820618500000.0,3762655000000.0,3789463000000.0,3965400000000.0
2036.0,3711456200000.0,3834926900000.0,3797715300000.0,3782604200000.0,3947446400000.0,3886829300000.0,3989973500000.0,3905115400000.0,3754645300000.0,3792636200000.0,3715667300000.0,3769637300000.0,3948312500000.0
2037.0,3673011500000.0,3815081000000.0,3762520000000.0,3776342000000.0,3896751000000.0,3854332600000.0,3957627800000.0,3877284000000.0,3727595000000.0,3766234000000.0,3640464800000.0,3757614000000.0,3917495700000.0
2038.0,3629545200000.0,3791635600000.0,3717320000000.0,3757175700000.0,3836537200000.0,3814002500000.0,3937620200000.0,3854806000000.0,3671023700000.0,3737865700000.0,3615873800000.0,3742491000000.0,3885011300000.0
2039.0,3583814400000.0,3763250100000.0,3666073600000.0,3736788800000.0,3799341000000.0,3776002000000.0,3916672300000.0,3835148000000.0,3608220500000.0,3703961300000.0,3583226200000.0,3719636200000.0,3857273600000.0
2040.0,3569868900000.0,3730643000000.0,3629788700000.0,3715253400000.0,3777787900000.0,3758823800000.0,3888932000000.0,3810677000000.0,3554299300000.0,3693939800000.0,3514315000000.0,3679245600000.0,3830936000000.0
2041.0,3544522000000.0,3711679300000.0,3594939000000.0,3665893800000.0,3761024300000.0,3722158000000.0,3871049000000.0,3779773900000.0,3531177500000.0,3664731700000.0,3485309900000.0,3655201000000.0,3830384200000.0
2042.0,3530853200000.0,3693137400000.0,3554767800000.0,3631694700000.0,3748403600000.0,3710288400000.0,3835842500000.0,3757875100000.0,3503611200000.0,3652282500000.0,3461610500000.0,3633858700000.0,3798239300000.0
2043.0,3507078000000.0,3677010000000.0,3529195400000.0,3584561300000.0,3718394200000.0,3683955500000.0,3802573800000.0,3743039600000.0,3466027300000.0,3637873700000.0,3418473000000.0,3605624300000.0,3799505700000.0
2044.0,3478302800000.0,3658200000000.0,3485812700000.0,3554559700000.0,3671882000000.0,3657152600000.0,3780138800000.0,3718284300000.0,3419595000000.0,3603199700000.0,3378707700000.0,3561260800000.0,3773302600000.0
2045.0,3447450200000.0,3636002000000.0,3445575000000.0,3518824400000.0,3659863200000.0,3626388700000.0,3751975800000.0,3672092000000.0,3396086000000.0,3576638700000.0,3357561000000.0,3534529200000.0,3768323100000.0
2046.0,3419806000000.0,3614134200000.0,3418523200000.0,3479661200000.0,3635159200000.0,3595989200000.0,3739895000000.0,3660097500000.0,3370529300000.0,3543964800000.0,3329419400000.0,3497325200000.0,3744602500000.0
2047.0,3385111600000.0,3584541300000.0,3377283000000.0,3433279800000.0,3604473700000.0,3555297300000.0,3716703800000.0,3648078200000.0,3340171200000.0,3516712600000.0,3283524800000.0,3439571500000.0,3706009700000.0
2048.0,3365813400000.0,3559522800000.0,3344727500000.0,3389984000000.0,3552216400000.0,3540017200000.0,3693713000000.0,3632589700000.0,3293761800000.0,3488263200000.0,3253341500000.0,3394151400000.0,3673287000000.0
2049.0,3350362000000.0,3532837600000.0,3302209000000.0,3363289200000.0,3524432000000.0,3508365700000.0,3649129200000.0,3605138500000.0,3256843800000.0,3457941800000.0,3237342300000.0,3354043400000.0,3658845000000.0
2050.0,3320269500000.0,3521125000000.0,3255815600000.0,3310984600000.0,3498736400000.0,3468986700000.0,3631741000000.0,3581227800000.0,3217705000000.0,3424019800000.0,3193712100000.0,3306921100000.0,3632839500000.0
2051.0,3300880500000.0,3508964200000.0,3210464700000.0,3276240600000.0,3483225600000.0,3443823500000.0,3612298700000.0,3571264500000.0,3181366000000.0,3387449100000.0,3170996600000.0,3282136500000.0,3610701700000.0
2052.0,3255380000000.0,3494541500000.0,3173477000000.0,3231328500000.0,3460741700000.0,3422734300000.0,3581382000000.0,3527443500000.0,3150454500000.0,3364341000000.0,3124473000000.0,3253155700000.0,3589347500000.0
2053.0,3224195800000.0,3486684000000.0,3112000300000.0,3171773600000.0,3418488300000.0,3402376200000.0,3554547600000.0,3499010600000.0,3119583300000.0,3332838300000.0,3095681300000.0,3220733200000.0,3577464800000.0
2054.0,3171746800000.0,3465170600000.0,3091074400000.0,3147526600000.0,3396282600000.0,3377114400000.0,3508670300000.0,3483080900000.0,3073341700000.0,3314795400000.0,3057622500000.0,3166260200000.0,3538904700000.0
2055.0,3114746800000.0,3432177000000.0,3046987300000.0,3111317700000.0,3377407000000.0,3355865500000.0,3479096800000.0,3448447400000.0,3040111200000.0,3299861900000.0,3017821400000.0,3112852300000.0,3504746800000.0
2056.0,3072543000000.0,3409554700000.0,3030363700000.0,3063558200000.0,3362744400000.0,3348138600000.0,3449263000000.0,3421444500000.0,2991846000000.0,3267915200000.0,2961780800000.0,3100859000000.0,3469416900000.0
2057.0,3025084400000.0,3379817000000.0,3009790300000.0,3012476500000.0,3311369700000.0,3327364400000.0,3416595000000.0,3405069200000.0,2962512400000.0,3245289800000.0,2939825700000.0,3068784500000.0,3441363000000.0
2058.0,2995021000000.0,3360619500000.0,2982171000000.0,2975727000000.0,3250874700000.0,3307138200000.0,3395394700000.0,3376862200000.0,2946503500000.0,3227543700000.0,2907158300000.0,3046501500000.0,3382591400000.0
2059.0,2942344400000.0,3344902400000.0,2958634800000.0,2926922000000.0,3237489400000.0,3288370200000.0,3370596200000.0,3344038000000.0,2921663300000.0,3211318800000.0,2872600400000.0,3002995800000.0,3345290400000.0
2060.0,2888938800000.0,3316052100000.0,2931995000000.0,2868679500000.0,3222547200000.0,3259227200000.0,3344377600000.0,3317307300000.0,2887536000000.0,3198553200000.0,2843401300000.0,2973484000000.0,3308293200000.0
2061.0,2857663500000.0,3297288400000.0,2901039600000.0,2842798900000.0,3198143200000.0,3235898200000.0,3317639000000.0,3307764700000.0,2853760700000.0,3175135800000.0,2815390600000.0,2931012000000.0,3296406000000.0
2062.0,2821569600000.0,3275100800000.0,2880023600000.0,2801166500000.0,3169396700000.0,3205550800000.0,3292341500000.0,3280053500000.0,2813408600000.0,3149112000000.0,2785036700000.0,2898185200000.0,3261511800000.0
2063.0,2782313300000.0,3257327000000.0,2835009500000.0,2745114800000.0,3151508500000.0,3190971000000.0,3273114800000.0,3251928300000.0,2771727400000.0,3130639000000.0,2738370000000.0,2858153700000.0,3210857400000.0
2064.0,2752402700000.0,3229340000000.0,2792642000000.0,2711237700000.0,3151088300000.0,3163502400000.0,3261873300000.0,3235377600000.0,2736158000000.0,3113504700000.0,2706472200000.0,2810743400000.0,3174328200000.0
2065.0,2728768300000.0,3204097500000.0,2781445000000.0,2683922500000.0,3141052400000.0,3147176000000.0,3228198500000.0,3199988400000.0,2709509400000.0,3080487700000.0,2676268000000.0,2782467200000.0,3138460000000.0
2066.0,2675583700000.0,3195695000000.0,2756828700000.0,2654691100000.0,3094887500000.0,3108433300000.0,3206595700000.0,3171912800000.0,2681102400000.0,3066660400000.0,2633078700000.0,2737275100000.0,3130068600000.0
