time,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0
2085.0,3264632800000.0,2874946000000.0,3161949700000.0,3214782200000.0
2086.0,3257125600000.0,2869532600000.0,3161409200000.0,3189895900000.0
2087.0,3246030000000.0,2862609000000.0,3156253000000.0,3162282100000.0
2088.0,3234048200000.0,2863653200000.0,3147700400000.0,3160241900000.0
2089.0,3224622300000.0,2851376700000.0,3143309500000.0,3156383400000.0
2090.0,3222716500000.0,2840680200000.0,3138918500000.0,3147761000000.0
2091.0,3221995000000.0,2831711500000.0,3132580000000.0,3129834000000.0
2092.0,3213974300000.0,2831525300000.0,3118168300000.0,3131066800000.0
2093.0,3219362000000.0,2817749200000.0,3113817000000.0,3121262600000.0
2094.0,3222056000000.0,2808931700000.0,3094689000000.0,3116823200000.0
2095.0,3242980300000.0,2793032600000.0,3092593000000.0,3108430400000.0
2096.0,3262886700000.0,2784158500000.0,3081919000000.0,3105996100000.0
2097.0,3259500600000.0,2770102000000.0,3063786200000.0,3103848400000.0
2098.0,3249430600000.0,2746188800000.0,3060780500000.0,3099259800000.0
2099.0,3249008500000.0,2728850400000.0,3056864900000.0,3093350300000.0
2100.0,3251261400000.0,2739147600000.0,3050341400000.0,3092878700000.0
