time,CAMS-CSM1-0,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0
2085.0,2159959300000.0,1855787200000.0,1933676600000.0,1826066000000.0
2086.0,2143419900000.0,1844872200000.0,1926799200000.0,1820642600000.0
2087.0,2140808300000.0,1845028200000.0,1923278700000.0,1814561700000.0
2088.0,2146540200000.0,1854222100000.0,1921751200000.0,1815484600000.0
2089.0,2149144100000.0,1849546000000.0,1927133000000.0,1813707200000.0
2090.0,2149039600000.0,1838137100000.0,1918886900000.0,1805071300000.0
2091.0,2161266900000.0,1829456600000.0,1909834000000.0,1807432700000.0
2092.0,2152181100000.0,1829615600000.0,1908805100000.0,1810994000000.0
2093.0,2142934300000.0,1816207700000.0,1902434000000.0,1805714200000.0
2094.0,2137783300000.0,1806595300000.0,1889027100000.0,1802115100000.0
2095.0,2133621200000.0,1803959100000.0,1884340200000.0,1794814100000.0
2096.0,2131410300000.0,1802744500000.0,1874032700000.0,1794590900000.0
2097.0,2124284600000.0,1802670800000.0,1866210700000.0,1797852900000.0
2098.0,2122117200000.0,1803950000000.0,1860118100000.0,1800686000000.0
2099.0,2121588100000.0,1798898700000.0,1862328400000.0,1807677700000.0
2100.0,2131383300000.0,1780687800000.0,1854525400000.0,1807009800000.0
