time,EC-EARTH3,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,NORESM2-MM,CESM2,EC-EARTH3-VEG,CESM2-WACCM,GFDL-ESM4,CMCC-CM2-SR5,MPI-ESM1-2-HR,MRI-ESM2-0,INM-CM5-0
2022.0,2704802000000.0,2745011000000.0,2746486400000.0,2751250300000.0,2741959000000.0,2752189300000.0,2738957300000.0,2736743800000.0,2760862000000.0,2730313000000.0,2754654200000.0,2761878700000.0,2735864800000.0,2752199500000.0
2023.0,2673879000000.0,2742692600000.0,2731624600000.0,2744304000000.0,2744923200000.0,2750392000000.0,2714530500000.0,2715679200000.0,2747726300000.0,2712417600000.0,2745340000000.0,2737496400000.0,2719272000000.0,2738193200000.0
2024.0,2654590500000.0,2735279000000.0,2698949000000.0,2738661000000.0,2738244000000.0,2733669600000.0,2689708600000.0,2696246500000.0,2724909800000.0,2705852700000.0,2744805800000.0,2729236500000.0,2699341300000.0,2724464400000.0
2025.0,2605434000000.0,2747627500000.0,2684693500000.0,2713787300000.0,2702572000000.0,2724760000000.0,2685883600000.0,2688505600000.0,2706101800000.0,2698417500000.0,2739882700000.0,2720865500000.0,2673929000000.0,2708102000000.0
2026.0,2575071400000.0,2731073300000.0,2657200400000.0,2706916500000.0,2682852000000.0,2710660700000.0,2677683000000.0,2679743200000.0,2698980000000.0,2670511000000.0,2729297300000.0,2711753000000.0,2653221600000.0,2688874200000.0
2027.0,2541510000000.0,2721936600000.0,2640981800000.0,2694682800000.0,2683225500000.0,2711343300000.0,2678124700000.0,2653757600000.0,2687884300000.0,2655575000000.0,2696504700000.0,2690476400000.0,2643695500000.0,2684573200000.0
2028.0,2503710000000.0,2695956800000.0,2622602300000.0,2672167500000.0,2652496700000.0,2691801500000.0,2686345500000.0,2645343900000.0,2664995700000.0,2644219300000.0,2699770000000.0,2672352600000.0,2622746500000.0,2658678300000.0
2029.0,2456896000000.0,2704057300000.0,2596335000000.0,2654471200000.0,2635427700000.0,2669825500000.0,2673007700000.0,2618597600000.0,2668667300000.0,2638981400000.0,2689129300000.0,2668110000000.0,2595084600000.0,2634208200000.0
2030.0,2449500800000.0,2685386000000.0,2573709300000.0,2634803300000.0,2623362300000.0,2660080500000.0,2645376600000.0,2609896200000.0,2658008800000.0,2623529300000.0,2674738600000.0,2661133000000.0,2597031000000.0,2606143600000.0
2031.0,2412295700000.0,2679867700000.0,2556477000000.0,2614073000000.0,2594775200000.0,2657457300000.0,2614804600000.0,2595286700000.0,2639774000000.0,2636404200000.0,2658934200000.0,2643755000000.0,2570047000000.0,2589344700000.0
2032.0,2384591000000.0,2678159300000.0,2524485000000.0,2587682100000.0,2571112500000.0,2655992400000.0,2604092600000.0,2579761200000.0,2624679600000.0,2637480300000.0,2634039000000.0,2636165400000.0,2547166000000.0,2568406000000.0
2033.0,2358915400000.0,2669587200000.0,2504940000000.0,2576355200000.0,2556755400000.0,2632790600000.0,2594431800000.0,2556240600000.0,2613499700000.0,2633995400000.0,2611643000000.0,2633234400000.0,2529512000000.0,2532479000000.0
2034.0,2321912400000.0,2666062400000.0,2491412400000.0,2556902500000.0,2536503000000.0,2620028600000.0,2583517500000.0,2540885000000.0,2578881000000.0,2615601500000.0,2598759000000.0,2630376500000.0,2495600000000.0,2512483300000.0
2035.0,2312123200000.0,2657620300000.0,2456992600000.0,2534151300000.0,2520616500000.0,2600896300000.0,2568414000000.0,2505818800000.0,2572492700000.0,2620494000000.0,2596535800000.0,2629236200000.0,2485431000000.0,2497888600000.0
2036.0,2285919800000.0,2645073900000.0,2421222300000.0,2514793500000.0,2507443800000.0,2567303000000.0,2555957000000.0,2470859800000.0,2555533900000.0,2620415800000.0,2580065000000.0,2607220500000.0,2465456700000.0,2492424800000.0
2037.0,2233695200000.0,2637935000000.0,2396494200000.0,2510568300000.0,2506093800000.0,2543396000000.0,2539385500000.0,2458187700000.0,2519701400000.0,2604649700000.0,2574539600000.0,2582730000000.0,2428050000000.0,2467752000000.0
2038.0,2197889600000.0,2618959900000.0,2365122000000.0,2493163800000.0,2473163200000.0,2535170200000.0,2510801600000.0,2427432000000.0,2489513000000.0,2594088400000.0,2563549000000.0,2556573500000.0,2400935000000.0,2454317000000.0
2039.0,2174300700000.0,2614498400000.0,2347776300000.0,2468058200000.0,2454042400000.0,2524756800000.0,2489826000000.0,2406488000000.0,2490689000000.0,2578323900000.0,2550202600000.0,2534526000000.0,2379819300000.0,2424173500000.0
2040.0,2148092000000.0,2615831700000.0,2318284400000.0,2447989300000.0,2439485300000.0,2490434800000.0,2474745500000.0,2401496700000.0,2461307200000.0,2557296800000.0,2535603800000.0,2522360600000.0,2357689000000.0,2405389300000.0
2041.0,2120210700000.0,2610045400000.0,2292980400000.0,2433336000000.0,2418643600000.0,2459936000000.0,2460162500000.0,2389763200000.0,2455590000000.0,2540767800000.0,2512183600000.0,2506638200000.0,2320424200000.0,2378022000000.0
2042.0,2111383700000.0,2587293600000.0,2263187200000.0,2418551800000.0,2389426300000.0,2439843000000.0,2446454400000.0,2345955500000.0,2437742600000.0,2524187500000.0,2522366000000.0,2505562000000.0,2283021000000.0,2363705300000.0
2043.0,2092415000000.0,2574516700000.0,2241697200000.0,2410256300000.0,2389257700000.0,2416152700000.0,2422939600000.0,2311264100000.0,2412390400000.0,2524409000000.0,2519087200000.0,2494124500000.0,2264333800000.0,2346768700000.0
2044.0,2052706300000.0,2563355400000.0,2209450000000.0,2408507800000.0,2375210200000.0,2390829600000.0,2405922200000.0,2282198100000.0,2396455000000.0,2504713300000.0,2526574500000.0,2464221000000.0,2241707000000.0,2328606000000.0
2045.0,2021751900000.0,2547332000000.0,2187006300000.0,2391779300000.0,2351316600000.0,2369794900000.0,2392311000000.0,2270133000000.0,2386480300000.0,2490135500000.0,2525873000000.0,2425356800000.0,2212792400000.0,2308655800000.0
2046.0,1992457800000.0,2542603600000.0,2149842300000.0,2367780800000.0,2325918500000.0,2337440300000.0,2361761200000.0,2251625300000.0,2354957500000.0,2471506200000.0,2495268300000.0,2407097200000.0,2186679500000.0,2296525400000.0
2047.0,1980725900000.0,2518576300000.0,2107292600000.0,2358767000000.0,2321674000000.0,2326311000000.0,2359649400000.0,2230044900000.0,2330810400000.0,2439362400000.0,2475822400000.0,2401535500000.0,2161732600000.0,2272914600000.0
2048.0,1960425800000.0,2495696000000.0,2075018300000.0,2342958700000.0,2289279000000.0,2299489400000.0,2352675800000.0,2219773300000.0,2302053700000.0,2430335200000.0,2463559300000.0,2390599100000.0,2131098700000.0,2263994900000.0
2049.0,1942469900000.0,2479631400000.0,2045975100000.0,2328324000000.0,2256437200000.0,2271060700000.0,2325020400000.0,2198798500000.0,2283340300000.0,2424043500000.0,2454147000000.0,2358327000000.0,2114358600000.0,2245897000000.0
2050.0,1910243500000.0,2457914600000.0,2012051100000.0,2323666000000.0,2207652500000.0,2254275300000.0,2310654700000.0,2180065300000.0,2256671000000.0,2412509400000.0,2446727300000.0,2350349000000.0,2087659800000.0,2222922100000.0
2051.0,1886175200000.0,2439940700000.0,1971612300000.0,2311921600000.0,2176873800000.0,2225319700000.0,2293737000000.0,2144458500000.0,2234487100000.0,2390130400000.0,2414550700000.0,2327201700000.0,2052058300000.0,2204403500000.0
2052.0,1861612900000.0,2430224300000.0,1942316800000.0,2287662300000.0,2152641300000.0,2194408300000.0,2275080000000.0,2113122300000.0,2216761800000.0,2370036800000.0,2390420400000.0,2325767000000.0,2023980700000.0,2175788100000.0
2053.0,1835844000000.0,2410549000000.0,1908049300000.0,2273505400000.0,2123894600000.0,2178082700000.0,2256427500000.0,2093165400000.0,2192544400000.0,2356878200000.0,2364520800000.0,2309806000000.0,1991439400000.0,2145287800000.0
2054.0,1808863300000.0,2384207000000.0,1877567200000.0,2255851600000.0,2101365600000.0,2149341100000.0,2247602200000.0,2069048900000.0,2165646300000.0,2341872000000.0,2354596800000.0,2286329500000.0,1960427500000.0,2121662600000.0
2055.0,1777073000000.0,2352139500000.0,1859987700000.0,2250981200000.0,2073755300000.0,2113541900000.0,2244583000000.0,2036759500000.0,2132582300000.0,2314837000000.0,2327461500000.0,2259871300000.0,1931711500000.0,2099081400000.0
2056.0,1746757700000.0,2332626300000.0,1822142400000.0,2234856200000.0,2052442300000.0,2088835400000.0,2224590700000.0,2012676800000.0,2115342300000.0,2305055800000.0,2293952200000.0,2238905300000.0,1913133500000.0,2066782700000.0
2057.0,1716408700000.0,2305557000000.0,1790747900000.0,2219878400000.0,2017397000000.0,2065792900000.0,2207118500000.0,1980064600000.0,2107630700000.0,2288221200000.0,2282559600000.0,2208381800000.0,1892538300000.0,2042140400000.0
2058.0,1682527900000.0,2293882000000.0,1740796300000.0,2199547500000.0,2006410500000.0,2040193700000.0,2198086400000.0,1954379300000.0,2083963300000.0,2255640900000.0,2253954700000.0,2190244300000.0,1879695800000.0,2020528500000.0
2059.0,1657791700000.0,2285777000000.0,1693565200000.0,2185487600000.0,1984391400000.0,2017197400000.0,2173149100000.0,1929066300000.0,2051449200000.0,2234039700000.0,2248416000000.0,2170201800000.0,1848267400000.0,2005279700000.0
2060.0,1636569400000.0,2254203300000.0,1658082200000.0,2168492000000.0,1969115500000.0,2001452800000.0,2156527000000.0,1905020000000.0,2030073000000.0,2208353700000.0,2228155000000.0,2164414900000.0,1815602700000.0,1985842000000.0
2061.0,1605948900000.0,2226343400000.0,1612607000000.0,2158710900000.0,1960298300000.0,1987380400000.0,2144041800000.0,1882399200000.0,2012286300000.0,2184151000000.0,2197288300000.0,2138246700000.0,1789069500000.0,1963417000000.0
2062.0,1582078000000.0,2212986000000.0,1582731400000.0,2138956900000.0,1942413800000.0,1967479700000.0,2114323200000.0,1852874400000.0,1991009000000.0,2145826000000.0,2171549100000.0,2108784900000.0,1768031600000.0,1952680200000.0
2063.0,1556475800000.0,2205679600000.0,1535716900000.0,2124190200000.0,1925624400000.0,1950962300000.0,2088249500000.0,1818718800000.0,1966562600000.0,2114926700000.0,2159563200000.0,2070348300000.0,1743668000000.0,1928264400000.0
2064.0,1534520300000.0,2179437800000.0,1488920400000.0,2112357500000.0,1909251500000.0,1925702900000.0,2057011300000.0,1792897800000.0,1938877800000.0,2088861000000.0,2118444800000.0,2052283600000.0,1709931000000.0,1891530000000.0
2065.0,1512133200000.0,2163317100000.0,1466648000000.0,2094840200000.0,1891579500000.0,1904141500000.0,2039285800000.0,1758689800000.0,1923438600000.0,2060793500000.0,2096151800000.0,2032324800000.0,1679761600000.0,1878931300000.0
2066.0,1485655500000.0,2139089800000.0,1447754100000.0,2069785900000.0,1878990300000.0,1876077300000.0,2015444100000.0,1745156600000.0,1906975600000.0,2034333300000.0,2078708700000.0,2036049200000.0,1650785500000.0,1867263400000.0
2067.0,1470017200000.0,2125763400000.0,1411300600000.0,2057411600000.0,1866647900000.0,1857135200000.0,1990137700000.0,1720989000000.0,1867027600000.0,2015019100000.0,2043138100000.0,2014768300000.0,1625571100000.0,1844192600000.0
2068.0,1438638000000.0,2086803200000.0,1373436100000.0,2050979000000.0,1838217200000.0,1830467500000.0,1967472600000.0,1704632600000.0,1854354000000.0,1984397600000.0,2010579500000.0,1991153800000.0,1596640700000.0,1819801000000.0
2069.0,1415365500000.0,2061797400000.0,1344949600000.0,2032328900000.0,1827344900000.0,1818119900000.0,1937785000000.0,1678866300000.0,1840851600000.0,1957381900000.0,1987018600000.0,1965302200000.0,1579086000000.0,1804540700000.0
2070.0,1390471000000.0,2035722500000.0,1313947500000.0,2009694200000.0,1814581700000.0,1811925700000.0,1921513700000.0,1650331200000.0,1812039100000.0,1926361900000.0,1953473500000.0,1935715200000.0,1553992600000.0,1782805400000.0
2071.0,1372934400000.0,2019563100000.0,1287341200000.0,1995775300000.0,1784184600000.0,1793472200000.0,1893870100000.0,1626232700000.0,1795447200000.0,1902279800000.0,1944969500000.0,1907153300000.0,1525416600000.0,1772912400000.0
2072.0,1351789300000.0,2007153500000.0,1265345100000.0,1981887400000.0,1762593700000.0,1777249700000.0,1875782900000.0,1600141900000.0,1792727300000.0,1880538200000.0,1912410500000.0,1901916300000.0,1504522900000.0,1753000600000.0
2073.0,1324213700000.0,1977641700000.0,1234947500000.0,1974409600000.0,1733337200000.0,1749027800000.0,1860564800000.0,1573391600000.0,1760503700000.0,1857619000000.0,1875446200000.0,1887413200000.0,1481899500000.0,1750703700000.0
