time,FGOALS-F3-L,NORESM2-MM,CESM2,ACCESS-CM2,EC-EARTH3,CANESM5,ACCESS-ESM1-5,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,INM-CM5-0,EC-EARTH3-VEG,CESM2-WACCM,GFDL-ESM4
2000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0
2001.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0
2002.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0
2003.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0
2004.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0
2005.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0
2006.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0
2007.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0
2008.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0
2009.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0
2010.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0
2011.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0
2012.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0
2013.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0
2014.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0
2015.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0
2016.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0
2017.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0
2018.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0
2019.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0
2020.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0
2021.0,2766807200000.0,2788213000000.0,2765503300000.0,2743498700000.0,2730304000000.0,2757063000000.0,2764869200000.0,2774535500000.0,2772171000000.0,2738690000000.0,2774902500000.0,2755773900000.0,2762271600000.0,2746789700000.0,2765431800000.0,2755223400000.0,2777576600000.0
2022.0,2744966200000.0,2773811000000.0,2753530400000.0,2728319300000.0,2714975900000.0,2774685200000.0,2755854300000.0,2777854000000.0,2767808000000.0,2717673800000.0,2751858700000.0,2745985400000.0,2755016500000.0,2738071000000.0,2747251000000.0,2757773000000.0,2753336400000.0
2023.0,2734901000000.0,2766703000000.0,2738185000000.0,2719382800000.0,2677618500000.0,2721642700000.0,2741948600000.0,2769683500000.0,2762221800000.0,2710497400000.0,2736428000000.0,2720061500000.0,2762775700000.0,2716026500000.0,2742663200000.0,2757278800000.0,2746960600000.0
2024.0,2712518500000.0,2753144600000.0,2724056800000.0,2694947500000.0,2644412700000.0,2701402300000.0,2715748400000.0,2773590500000.0,2734931800000.0,2686649400000.0,2717148800000.0,2693159200000.0,2757012000000.0,2687686100000.0,2731428000000.0,2733069300000.0,2731383000000.0
2025.0,2696528000000.0,2726833400000.0,2697551700000.0,2677463600000.0,2617195600000.0,2667391700000.0,2699501500000.0,2750541200000.0,2733251500000.0,2682190600000.0,2705747000000.0,2676041000000.0,2751639000000.0,2667642600000.0,2738213000000.0,2721456300000.0,2720703700000.0
2026.0,2679969700000.0,2733166800000.0,2691404700000.0,2652217300000.0,2583583000000.0,2649407000000.0,2676159400000.0,2732041700000.0,2724861800000.0,2662844900000.0,2704416700000.0,2665484400000.0,2734375600000.0,2646746000000.0,2728325000000.0,2697407800000.0,2703569200000.0
2027.0,2672356000000.0,2729120600000.0,2682521000000.0,2619840000000.0,2546164600000.0,2623877200000.0,2655810500000.0,2736560000000.0,2715357300000.0,2639287000000.0,2680886400000.0,2637823000000.0,2720814900000.0,2619601000000.0,2716191700000.0,2657757000000.0,2672142600000.0
2028.0,2660727500000.0,2726423700000.0,2654579500000.0,2594634500000.0,2495365500000.0,2605406200000.0,2636865300000.0,2725960500000.0,2695757600000.0,2603585400000.0,2658542000000.0,2603663500000.0,2703445200000.0,2606256400000.0,2698266500000.0,2632604200000.0,2656837300000.0
2029.0,2643667000000.0,2712799500000.0,2632827800000.0,2575810700000.0,2453396800000.0,2583736600000.0,2625039000000.0,2736386000000.0,2685635700000.0,2589133400000.0,2634819300000.0,2575158700000.0,2682768900000.0,2582426200000.0,2679798500000.0,2618557500000.0,2642930300000.0
2030.0,2632779000000.0,2689930000000.0,2620375200000.0,2564469600000.0,2413009800000.0,2553047400000.0,2612511000000.0,2742218700000.0,2668377000000.0,2587908400000.0,2617606000000.0,2562138000000.0,2667218200000.0,2549808400000.0,2654664000000.0,2599128400000.0,2624389000000.0
2031.0,2623764200000.0,2673734000000.0,2599659800000.0,2544162300000.0,2370952800000.0,2545285300000.0,2596865300000.0,2725840400000.0,2648659700000.0,2583312200000.0,2595283000000.0,2541424000000.0,2644886700000.0,2527767000000.0,2652258200000.0,2585949600000.0,2620383300000.0
2032.0,2605846600000.0,2670561000000.0,2586550500000.0,2525790200000.0,2326167000000.0,2548861000000.0,2571330000000.0,2712805600000.0,2630812200000.0,2560163600000.0,2571143200000.0,2517652200000.0,2630439400000.0,2502498200000.0,2622864200000.0,2553724300000.0,2601145300000.0
