time,MPI-ESM1-2-HR,MRI-ESM2-0,INM-CM5-0,IPSL-CM6A-LR,CMCC-CM2-SR5,CESM2-WACCM,TAIESM1,GFDL-ESM4,EC-EARTH3-VEG,CESM2,ACCESS-CM2,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,INM-CM4-8,EC-EARTH3,ACCESS-ESM1-5,CANESM5,CAMS-CSM1-0
2000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0
2001.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0
2002.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0
2003.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0
2004.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0
2005.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0
2006.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0
2007.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0
2008.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0
2009.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0
2010.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0
2011.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0
2012.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0
2013.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0
2014.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0
2015.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0
2016.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0
2017.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0
2018.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0
2019.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0
2020.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0
2021.0,2741204700000.0,2764115500000.0,2750468300000.0,2758814500000.0,2771641000000.0,2753771300000.0,2771495700000.0,2752338000000.0,2753805700000.0,2747018200000.0,2765835200000.0,2772299200000.0,2763640800000.0,2756522300000.0,2767114000000.0,2744820200000.0,2750813600000.0,2756237300000.0,2762742700000.0
2022.0,2741740200000.0,2755216300000.0,2727416700000.0,2758216000000.0,2763771000000.0,2737160300000.0,2745075500000.0,2753150300000.0,2736727500000.0,2721328000000.0,2759618500000.0,2770670200000.0,2764479400000.0,2738780400000.0,2755349200000.0,2706284500000.0,2746198300000.0,2726212400000.0,2754555200000.0
2023.0,2727524000000.0,2724868400000.0,2725982200000.0,2762574100000.0,2744680400000.0,2715990400000.0,2715906200000.0,2739641000000.0,2731877600000.0,2703439400000.0,2737624800000.0,2763111800000.0,2745578000000.0,2725634600000.0,2733121200000.0,2680409600000.0,2714685400000.0,2689569400000.0,2750077200000.0
2024.0,2703691000000.0,2702319300000.0,2725253500000.0,2745288400000.0,2715647200000.0,2696156300000.0,2721334200000.0,2720255400000.0,2734731600000.0,2688287000000.0,2714716300000.0,2748012600000.0,2739999300000.0,2712632000000.0,2729782000000.0,2636113500000.0,2700961400000.0,2656410000000.0,2757066200000.0
2025.0,2685899400000.0,2687650000000.0,2714315500000.0,2728729000000.0,2693208000000.0,2676421600000.0,2707896400000.0,2705164000000.0,2724455800000.0,2677840500000.0,2706388500000.0,2735646400000.0,2721180500000.0,2693909400000.0,2713315400000.0,2603035400000.0,2680262500000.0,2620295700000.0,2747764600000.0
