time,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR
2000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0
2001.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0
2002.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0
2003.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0
2004.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0
2005.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0
2006.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0
2007.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0
2008.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0
2009.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0
2010.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0
2011.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0
2012.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0
2013.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0
2014.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0
2015.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0
2016.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0
2017.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0
2018.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0
2019.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0
2020.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0
2021.0,85526200000.0,89362770000.0,86716740000.0,85203200000.0,89831530000.0
2022.0,82632294000.0,87530550000.0,83715000000.0,84105320000.0,86153050000.0
2023.0,80416010000.0,83926790000.0,82049920000.0,84080510000.0,84568850000.0
2024.0,80667760000.0,79007970000.0,79115820000.0,81639890000.0,80011395000.0
2025.0,76209725000.0,76389950000.0,77616210000.0,76886530000.0,75939910000.0
2026.0,73985020000.0,71546170000.0,76985460000.0,76847080000.0,73897620000.0
2027.0,71026010000.0,68355973000.0,75725610000.0,74015820000.0,68772970000.0
2028.0,66654855000.0,66992580000.0,73542520000.0,71637920000.0,65273725000.0
2029.0,65370850000.0,65824023000.0,71757130000.0,72588190000.0,63656980000.0
2030.0,61399460000.0,62807080000.0,70062160000.0,71877170000.0,60636094000.0
2031.0,60001780000.0,60351920000.0,69204610000.0,67066606000.0,58486555000.0
2032.0,55985540000.0,57409397000.0,66309165000.0,64779460000.0,56633274000.0
2033.0,51045930000.0,55120530000.0,65205174000.0,61607588000.0,51721142000.0
2034.0,47650850000.0,52531896000.0,63951196000.0,58789417000.0,49083170000.0
2035.0,44459730000.0,51220770000.0,62323515000.0,56123847000.0,46101025000.0
2036.0,41295217000.0,48573444000.0,60459880000.0,55505465000.0,44824090000.0
2037.0,36612026000.0,46216376000.0,59766133000.0,53870498000.0,43708084000.0
2038.0,34516767000.0,44480120000.0,58288075000.0,53081678000.0,40544570000.0
2039.0,32831007000.0,41635610000.0,55789680000.0,51983622000.0,38954680000.0
2040.0,30987213000.0,40042303000.0,53919662000.0,52734198000.0,36529263000.0
2041.0,27276081000.0,37140267000.0,50704370000.0,51222233000.0,33561210000.0
2042.0,24471366000.0,35190690000.0,49816556000.0,48966697000.0,32555311000.0
2043.0,23602276000.0,33238061000.0,48798396000.0,47786897000.0,31416228000.0
2044.0,21835717000.0,31553026000.0,45437624000.0,46548240000.0,29314296000.0
2045.0,19991357000.0,30807861000.0,44764530000.0,45398667000.0,27366402000.0
2046.0,18064955000.0,29460793000.0,43192144000.0,44654772000.0,26163818000.0
2047.0,16441111000.0,28765813000.0,42351250000.0,43018117000.0,25184650000.0
2048.0,14642874000.0,27197587000.0,41059406000.0,40954540000.0,23535400000.0
2049.0,14537848000.0,25103938000.0,38753540000.0,40764027000.0,22317777000.0
2050.0,12800616000.0,24605616000.0,37676356000.0,38623224000.0,22391511000.0
2051.0,11509717000.0,23184984000.0,36297240000.0,35891786000.0,21552794000.0
2052.0,10299188000.0,22680226000.0,35441447000.0,34557542000.0,21183370000.0
2053.0,9173604000.0,22136433000.0,32607640000.0,32854802000.0,19940696000.0
2054.0,8257692000.0,21738936000.0,31752194000.0,31833604000.0,18599629000.0
2055.0,7331391000.0,22153460000.0,30286944000.0,30617470000.0,17236830000.0
2056.0,6677614600.0,21980680000.0,29229162000.0,29536438000.0,16842402000.0
2057.0,5400404000.0,21214884000.0,26888930000.0,30067866000.0,15853619000.0
2058.0,5063181000.0,20198392000.0,26273688000.0,28882000000.0,15063605000.0
2059.0,4613481000.0,19912018000.0,25720957000.0,28126314000.0,14483732000.0
2060.0,4005448000.0,18483845000.0,25071788000.0,27720182000.0,13017056000.0
2061.0,3820845000.0,17980938000.0,24677614000.0,27920740000.0,12768379000.0
2062.0,3653212000.0,17046609000.0,23696845000.0,25830076000.0,12549208000.0
2063.0,3557584100.0,16850776000.0,22723640000.0,23625450000.0,11455778000.0
2064.0,3158029000.0,16622044000.0,22134581000.0,21431196000.0,10244845000.0
2065.0,3151317200.0,16411789000.0,21120160000.0,20513628000.0,9484299000.0
2066.0,2785987300.0,16132444000.0,21032198000.0,20478900000.0,8601193000.0
2067.0,2594989300.0,15601746000.0,19603069000.0,18667741000.0,7648626700.0
2068.0,2384471800.0,15277136000.0,18387462000.0,17858548000.0,7579231000.0
2069.0,2094039000.0,14603738000.0,17699090000.0,17336527000.0,7103246000.0
2070.0,2033634600.0,13832761000.0,16396527000.0,16892596000.0,6627434500.0
2071.0,1910535800.0,13125430000.0,15296686000.0,16516784000.0,6210606000.0
2072.0,1798957000.0,12615090000.0,15609731000.0,16063433000.0,5745944600.0
2073.0,1563409500.0,11980075000.0,14699866000.0,15952837000.0,5205198000.0
2074.0,1388924300.0,11861219000.0,13400526000.0,14079357000.0,4790478300.0
2075.0,1249421600.0,11316316000.0,12786229000.0,13287229000.0,4704574000.0
2076.0,1266172800.0,10788532000.0,12232667000.0,12575916000.0,4335561700.0
2077.0,1138441300.0,10672869000.0,12156925000.0,12247455000.0,4003773200.0
2078.0,1048022100.0,9844559000.0,11618162000.0,11874162000.0,3728361500.0
2079.0,966968300.0,9442913000.0,11218425000.0,12138474000.0,3484531000.0
2080.0,889518600.0,9334713000.0,10285062000.0,11451304000.0,3079998200.0
2081.0,873207550.0,9347026000.0,10093944000.0,11461175000.0,2819607000.0
2082.0,794294460.0,9364521000.0,9951181000.0,11323060000.0,2717285600.0
2083.0,700337660.0,9142512000.0,9378683000.0,10789280000.0,2516716000.0
2084.0,609449400.0,8713151000.0,9194847000.0,10255735000.0,2446824200.0
2085.0,561751700.0,8438369000.0,8790166000.0,10502991000.0,2243415000.0
2086.0,522542560.0,8257376000.0,8287358500.0,9525377000.0,2159231200.0
2087.0,487877150.0,7663267300.0,8189437400.0,8827183000.0,2124590700.0
2088.0,459982980.0,6895255000.0,8080359400.0,8244407000.0,2034534300.0
2089.0,411001470.0,6593049600.0,7790391000.0,7859440000.0,1933003100.0
2090.0,424840450.0,6188802000.0,7544845000.0,7621312000.0,1841722000.0
2091.0,367040060.0,5859702300.0,7220152300.0,7537289000.0,1753402500.0
2092.0,356449730.0,5569584600.0,6873350700.0,7502521000.0,1579909600.0
2093.0,329824700.0,5352686000.0,6747410000.0,7000400000.0,1425757800.0
2094.0,312700830.0,5581398000.0,6233744400.0,6426079700.0,1275455000.0
2095.0,289508600.0,5143749600.0,5925906000.0,5769718300.0,1184681700.0
2096.0,255650580.0,4961132500.0,5547451400.0,5536821000.0,1036048640.0
2097.0,237253500.0,4641242600.0,5469022000.0,5290989600.0,967639040.0
2098.0,204465680.0,4453745000.0,5123825700.0,5393182000.0,890361100.0
2099.0,195713820.0,4206327300.0,4860794000.0,5434393000.0,857462660.0
2100.0,183519310.0,3955656200.0,4638453000.0,5299634000.0,797380860.0
