time,MRI-ESM2-0,UKESM1-0-LL,IPSL-CM6A-LR,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0
2001.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0
2002.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0
2003.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0
2004.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0
2005.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0
2006.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0
2007.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0
2008.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0
2009.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0
2010.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0
2011.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0
2012.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0
2013.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0
2014.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0
2015.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0
2016.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0
2017.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0
2018.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0
2019.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0
2020.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0
2021.0,88094260000.0,87147540000.0,89990540000.0,89118620000.0,92261330000.0
2022.0,83928080000.0,86749510000.0,84569555000.0,89779160000.0,91457550000.0
2023.0,82040070000.0,84403855000.0,83804045000.0,87725220000.0,87945050000.0
2024.0,78883250000.0,82027020000.0,79120130000.0,85051030000.0,86298600000.0
2025.0,75645060000.0,77319400000.0,77796380000.0,83594220000.0,81672670000.0
2026.0,71914070000.0,74440430000.0,75921800000.0,82299840000.0,82832830000.0
2027.0,69006720000.0,68546860000.0,73163320000.0,77849410000.0,79751520000.0
2028.0,65263722000.0,67591164000.0,71559530000.0,76579920000.0,79101110000.0
2029.0,62545666000.0,63786570000.0,70355820000.0,73114130000.0,76467270000.0
2030.0,60447396000.0,59191996000.0,67338277000.0,72108740000.0,74473450000.0
2031.0,54543983000.0,54751805000.0,63115436000.0,73125600000.0,72942215000.0
2032.0,51686080000.0,51791360000.0,63973106000.0,70877290000.0,72384240000.0
2033.0,47664690000.0,48084734000.0,60723160000.0,71166394000.0,70880210000.0
2034.0,45988060000.0,45845676000.0,56162873000.0,70919774000.0,68283703000.0
2035.0,43630320000.0,43125710000.0,53843333000.0,68450820000.0,68450210000.0
2036.0,40726950000.0,38476763000.0,50224590000.0,67909186000.0,66133127000.0
2037.0,36525724000.0,36113390000.0,46824804000.0,66134800000.0,66960410000.0
2038.0,33833860000.0,33450670000.0,45101020000.0,64730382000.0,64190554000.0
2039.0,30885558000.0,31762369000.0,41849700000.0,63481975000.0,61364625000.0
2040.0,28722000000.0,28449747000.0,39825084000.0,63414792000.0,61372800000.0
2041.0,27412814000.0,25422907000.0,37409346000.0,61381290000.0,58719380000.0
2042.0,25494390000.0,22681733000.0,34877633000.0,60488667000.0,55491867000.0
2043.0,24105339000.0,19865010000.0,33947062000.0,60233253000.0,54825574000.0
2044.0,23351624000.0,17127329000.0,30153380000.0,58764767000.0,53482960000.0
2045.0,21474441000.0,15038569000.0,27411472000.0,56466760000.0,51458310000.0
2046.0,20509800000.0,13606154000.0,24126708000.0,55030927000.0,50858197000.0
2047.0,18795715000.0,12410209000.0,22083891000.0,52217934000.0,49907020000.0
2048.0,18374463000.0,10853382000.0,20404236000.0,50469237000.0,48594010000.0
2049.0,17665702000.0,10234853000.0,18886525000.0,48370890000.0,46590820000.0
2050.0,16574220000.0,8573077500.0,17766621000.0,47042195000.0,45624713000.0
2051.0,15600930000.0,7409854000.0,16634191000.0,45599576000.0,44007887000.0
2052.0,14775390000.0,6210498000.0,15684576000.0,42984645000.0,42044236000.0
2053.0,14426421000.0,5700261000.0,14142364000.0,42649096000.0,38025060000.0
2054.0,13774347000.0,4412563500.0,13002310000.0,40399258000.0,34895120000.0
2055.0,12941223000.0,3609596400.0,12169690000.0,38294570000.0,32726348000.0
2056.0,12412050000.0,3028603400.0,11343782000.0,36506320000.0,32512932000.0
2057.0,12064674000.0,2749205800.0,10002951000.0,35291850000.0,31090262000.0
2058.0,12178400000.0,2634415600.0,8975164000.0,33135462000.0,29603545000.0
2059.0,11434952000.0,2345951700.0,7831864000.0,31654353000.0,28337890000.0
2060.0,11274385000.0,1928849300.0,7155128000.0,29457166000.0,27894825000.0
2061.0,10982079000.0,1661916300.0,6430844400.0,29183259000.0,27006095000.0
2062.0,10660511000.0,1393683200.0,5784640000.0,28485714000.0,26166784000.0
2063.0,10356822000.0,1250548600.0,5212552000.0,26088694000.0,24019245000.0
2064.0,9942762000.0,1104713000.0,4774629000.0,25202053000.0,22708994000.0
2065.0,9308806000.0,1072543170.0,4446328000.0,23688475000.0,21265484000.0
2066.0,8667810000.0,1008764400.0,3884621800.0,21791984000.0,19582564000.0
2067.0,8322770400.0,908037500.0,3510924000.0,20556962000.0,17969564000.0
2068.0,7750790700.0,823278500.0,3377660000.0,18722085000.0,16974761000.0
2069.0,7180645000.0,774652300.0,2961031200.0,17656787000.0,16479387000.0
2070.0,6895559000.0,718959200.0,2593938000.0,16325636000.0,15942262000.0
2071.0,6599168000.0,709691600.0,2518765600.0,15287387000.0,14983121000.0
2072.0,6447895600.0,639186400.0,2313229000.0,14561278000.0,14321951000.0
2073.0,6413628400.0,583960800.0,2048607600.0,14013618000.0,13435397000.0
2074.0,6124173000.0,537540800.0,1804028400.0,12879326000.0,12616975000.0
2075.0,5887879700.0,498367170.0,1671840800.0,12236959000.0,11410637000.0
2076.0,5452373500.0,446929150.0,1617442200.0,11542637000.0,10530080000.0
2077.0,5397882000.0,378649700.0,1536727300.0,10745393000.0,10185149000.0
2078.0,5094938000.0,353823360.0,1347608000.0,10040686000.0,9902620000.0
2079.0,4943338500.0,322063550.0,1329408000.0,9517230000.0,9938329000.0
2080.0,4913144300.0,282969920.0,1158765600.0,9132828000.0,9376404000.0
2081.0,4589396000.0,265924820.0,1074281600.0,8885222000.0,9496502000.0
2082.0,4024263400.0,253203950.0,1014122200.0,8131155500.0,8885040000.0
2083.0,3562948900.0,220282880.0,972476200.0,7791296500.0,8468081000.0
2084.0,3360284400.0,202199980.0,842763260.0,7528837000.0,7943732700.0
2085.0,3181910800.0,193938690.0,809615300.0,6723412500.0,6990744000.0
2086.0,3003753500.0,193075170.0,741916160.0,6665760000.0,6554826000.0
2087.0,2735582000.0,166426690.0,692166800.0,6324897300.0,5842414000.0
2088.0,2647419600.0,157463400.0,617434600.0,5994318000.0,5429782000.0
2089.0,2572721700.0,154849220.0,525506240.0,5949035500.0,4981017600.0
2090.0,2427138800.0,148218060.0,479520220.0,5385837000.0,4231821600.0
2091.0,2238114000.0,142180290.0,430193060.0,5122159600.0,3975646000.0
2092.0,2142796800.0,126853910.0,392902140.0,4918911500.0,3571565800.0
2093.0,1990758900.0,112495580.0,369056960.0,5054144000.0,3374917400.0
2094.0,1957802900.0,114258890.0,316453440.0,4861730300.0,3095910100.0
2095.0,1915455400.0,107001320.0,289636100.0,4475866600.0,2708702500.0
2096.0,1747813200.0,101371440.0,273904420.0,4291638000.0,2353401300.0
2097.0,1682958500.0,91041320.0,254288850.0,4041501400.0,2050780900.0
2098.0,1604615000.0,81474024.0,237340460.0,3836413000.0,1954751000.0
2099.0,1546649500.0,79711210.0,216533440.0,3552627700.0,1795981300.0
2100.0,1419731200.0,68247380.0,197839890.0,3370940200.0,1666641300.0
