time,MRI-ESM2-0,UKESM1-0-LL,MPI-ESM1-2-HR,GFDL-ESM4,IPSL-CM6A-LR
2000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0
2001.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0
2002.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0
2003.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0
2004.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0
2005.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0
2006.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0
2007.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0
2008.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0
2009.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0
2010.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0
2011.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0
2012.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0
2013.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0
2014.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0
2015.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0
2016.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0
2017.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0
2018.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0
2019.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0
2020.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0
2021.0,89000110000.0,88806900000.0,86553076000.0,89529160000.0,88347750000.0
2022.0,85828750000.0,86158580000.0,83812690000.0,87331600000.0,85382020000.0
2023.0,81995780000.0,83211770000.0,81373780000.0,85627180000.0,81233010000.0
2024.0,77149530000.0,76906190000.0,78549590000.0,81822930000.0,78072650000.0
2025.0,73536310000.0,75534260000.0,77325020000.0,76368620000.0,75984800000.0
2026.0,71156490000.0,70939070000.0,73547100000.0,74162900000.0,76136110000.0
2027.0,67654558000.0,66276753000.0,71202000000.0,72585380000.0,73924040000.0
2028.0,65382355000.0,64852340000.0,70590530000.0,69922670000.0,72074370000.0
2029.0,60929090000.0,62966022000.0,71145170000.0,68186542000.0,68236760000.0
2030.0,57918005000.0,59305066000.0,69632336000.0,65623085000.0,67786160000.0
2031.0,53198080000.0,57007956000.0,70519180000.0,62471426000.0,66073670000.0
2032.0,49980436000.0,54652953000.0,71077290000.0,60680856000.0,64805163000.0
2033.0,47998610000.0,53068935000.0,71671415000.0,58657722000.0,63514010000.0
2034.0,45782990000.0,49544528000.0,71634900000.0,57372017000.0,61059330000.0
2035.0,44816814000.0,45621015000.0,70731080000.0,56676820000.0,56402280000.0
2036.0,42264576000.0,41551020000.0,69951590000.0,52413580000.0,52161680000.0
2037.0,40656437000.0,39469162000.0,67716280000.0,50107167000.0,51032826000.0
2038.0,38994387000.0,36318433000.0,65818317000.0,49181147000.0,49256255000.0
2039.0,36897720000.0,30540485000.0,63076078000.0,48261992000.0,47493853000.0
2040.0,35235942000.0,28234600000.0,61611774000.0,46275720000.0,45081870000.0
2041.0,34235920000.0,25308258000.0,59751313000.0,44683264000.0,43417450000.0
2042.0,33227495000.0,23390996000.0,58634330000.0,42397420000.0,43047748000.0
2043.0,32555497000.0,22163616000.0,54056587000.0,41402044000.0,41124536000.0
2044.0,31679377000.0,19355845000.0,50248552000.0,41080254000.0,39665110000.0
2045.0,29815435000.0,18031507000.0,48356060000.0,40448737000.0,38355330000.0
2046.0,28694878000.0,17443000000.0,46382735000.0,40408334000.0,36704522000.0
2047.0,27940387000.0,16051441000.0,42812480000.0,39454278000.0,34291290000.0
2048.0,27693543000.0,15381028000.0,42485670000.0,37981635000.0,33359657000.0
2049.0,26485905000.0,14090178000.0,41359690000.0,36492403000.0,31342391000.0
2050.0,26114257000.0,13611817000.0,39906275000.0,35572840000.0,29289070000.0
2051.0,24629787000.0,12509638000.0,39918000000.0,35930560000.0,26293074000.0
2052.0,23921383000.0,11909531000.0,40356884000.0,35412595000.0,25392904000.0
2053.0,23336395000.0,11775742000.0,40202520000.0,35336310000.0,25010200000.0
2054.0,22042160000.0,10988046000.0,39540347000.0,35404837000.0,22890197000.0
2055.0,21269090000.0,11103913000.0,37373790000.0,36126536000.0,21787097000.0
2056.0,19806747000.0,10199786000.0,36466033000.0,36026290000.0,20231334000.0
2057.0,18973987000.0,9836812000.0,36217516000.0,36212420000.0,19736068000.0
2058.0,18552445000.0,9727734000.0,35018273000.0,35705760000.0,19241892000.0
2059.0,18765263000.0,9273807000.0,34123745000.0,35650030000.0,18910070000.0
2060.0,18084604000.0,8388984000.0,34566865000.0,34330550000.0,18946191000.0
2061.0,17677027000.0,7883194400.0,33152480000.0,33982167000.0,18070813000.0
2062.0,17300113000.0,7298110000.0,33282617000.0,33036298000.0,17224583000.0
2063.0,17529270000.0,6823855600.0,32798110000.0,31585800000.0,17320964000.0
2064.0,17407662000.0,6699284500.0,31978970000.0,31616487000.0,17050324000.0
2065.0,16357399000.0,7131282400.0,31617880000.0,31864123000.0,16430482000.0
2066.0,15736041000.0,7020057000.0,31826299000.0,31949318000.0,16753030000.0
2067.0,14945098000.0,6944119300.0,31274557000.0,31674526000.0,16618135000.0
2068.0,14479716000.0,6855406000.0,30220063000.0,31195136000.0,16152917000.0
2069.0,13996051000.0,7186107000.0,29059770000.0,30834436000.0,15852995000.0
2070.0,13757292000.0,6742932500.0,30241993000.0,29708750000.0,15585035000.0
2071.0,13513616000.0,6995566600.0,29995272000.0,28481710000.0,15368698000.0
2072.0,13692418000.0,7281987000.0,30256085000.0,27718154000.0,15204525000.0
2073.0,14177281000.0,6972101000.0,30836474000.0,28088566000.0,14514545000.0
2074.0,14188237000.0,6751854600.0,30460613000.0,28488442000.0,13791896000.0
2075.0,14473761000.0,6828557000.0,30514543000.0,27929010000.0,12818625000.0
2076.0,14114361000.0,6335058400.0,30650022000.0,27874857000.0,12985483000.0
2077.0,14320738000.0,6294865000.0,31483892000.0,27991124000.0,12412368000.0
2078.0,14342375000.0,5877495000.0,32127164000.0,27782386000.0,12004597000.0
2079.0,13954819000.0,5952530400.0,35420996000.0,27793043000.0,11671669000.0
2080.0,13966292000.0,6197580300.0,36144900000.0,27115833000.0,11620564000.0
2081.0,14107464000.0,6186829300.0,37651200000.0,26980526000.0,11369860000.0
2082.0,14237002000.0,6213235000.0,36416946000.0,28144282000.0,11483498000.0
2083.0,14392594000.0,6165663000.0,36042346000.0,27406086000.0,11836659000.0
2084.0,14650336000.0,6101764000.0,36308247000.0,28646515000.0,11637314000.0
2085.0,14518796000.0,5968487400.0,36667240000.0,28667791000.0,11190163000.0
2086.0,14474494000.0,5587335700.0,37575463000.0,28425398000.0,10811529000.0
2087.0,14783309000.0,5566818000.0,37275400000.0,28680874000.0,10440787000.0
2088.0,14965100000.0,5645092400.0,37899740000.0,29382408000.0,10088518000.0
2089.0,15194290000.0,5960506000.0,37747585000.0,29309469000.0,9972061000.0
2090.0,15449630000.0,5942439400.0,37957927000.0,28463135000.0,9716541000.0
2091.0,15813106000.0,5863377400.0,38730686000.0,28672547000.0,10028755000.0
2092.0,15738211000.0,5713171000.0,40119407000.0,28741040000.0,9985613000.0
2093.0,16135588000.0,5808058400.0,39874273000.0,29051392000.0,10121685000.0
2094.0,16439941000.0,5832769000.0,39936176000.0,29469719000.0,10246266000.0
2095.0,16608053000.0,5703549000.0,40432923000.0,29785803000.0,10481858000.0
2096.0,17340230000.0,5594627000.0,40180010000.0,30456044000.0,10631360000.0
2097.0,17193542000.0,5448988000.0,40163807000.0,29842004000.0,10403331000.0
2098.0,16795441000.0,5426488300.0,40357196000.0,29721571000.0,10040255000.0
2099.0,16583375000.0,5673276400.0,38379643000.0,30167310000.0,10311669000.0
2100.0,16270025000.0,5545608000.0,38563893000.0,31509650000.0,10434855000.0
