time,ACCESS-CM2,CESM2,CESM2-WACCM,NORESM2-MM,INM-CM4-8,CANESM5,ACCESS-ESM1-5,EC-EARTH3,INM-CM5-0,MPI-ESM1-2-HR,CAMS-CSM1-0,MRI-ESM2-0,BCC-CSM2-MR,IPSL-CM6A-LR,GFDL-ESM4,FGOALS-F3-L,EC-EARTH3-VEG
2000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0
2001.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0
2002.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0
2003.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0
2004.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0
2005.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0
2006.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0
2007.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0
2008.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0
2009.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0
2010.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0
2011.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0
2012.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0
2013.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0
2014.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0
2015.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0
2016.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0
2017.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0,14042730000.0
2018.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0,13954212000.0
2019.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0
2020.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0
2021.0,13619433000.0,13656382000.0,13589668000.0,13638749000.0,13669142000.0,13741105000.0,13620877000.0,13616031000.0,13690803000.0,13664161000.0,13680455000.0,13629127000.0,13582947000.0,13637340000.0,13681227000.0,13635663000.0,13710471000.0
2022.0,13493695000.0,13475761000.0,13460105000.0,13467570000.0,13549530000.0,13717147000.0,13462280000.0,13537671000.0,13571539000.0,13560367000.0,13602583000.0,13550479000.0,13461444000.0,13505721000.0,13541700000.0,13507414000.0,13539006000.0
2023.0,13402533000.0,13386790000.0,13345461000.0,13314210000.0,13451743000.0,13621971000.0,13353715000.0,13393721000.0,13461122000.0,13453671000.0,13431360000.0,13376729000.0,13417728000.0,13451814000.0,13390669000.0,13364485000.0,13414355000.0
2024.0,13300774000.0,13242809000.0,13174702000.0,13141190000.0,13333383000.0,13498897000.0,13207077000.0,13261776000.0,13296556000.0,13277983000.0,13401400000.0,13221701000.0,13339145000.0,13311242000.0,13251130000.0,13225592000.0,13275167000.0
2025.0,13121938000.0,13103451000.0,13026303000.0,12958094000.0,13198726000.0,13351098000.0,13047204000.0,13171415000.0,13171888000.0,13178467000.0,13232769000.0,13074838000.0,13194795000.0,13242590000.0,13077234000.0,13097131000.0,13136313000.0
2026.0,12898540000.0,12972916000.0,12921478000.0,12776973000.0,13095565000.0,13278326000.0,12899750000.0,13039233000.0,13039704000.0,12983290000.0,13229951000.0,12922724000.0,13059134000.0,13037892000.0,12936955000.0,12892358000.0,12954932000.0
2027.0,12710955000.0,12824484000.0,12722847000.0,12605753000.0,12925586000.0,13062583000.0,12684747000.0,12886224000.0,12876711000.0,12850122000.0,13062241000.0,12716923000.0,13013919000.0,12852771000.0,12760030000.0,12703908000.0,12839771000.0
2028.0,12517508000.0,12655136000.0,12571435000.0,12414773000.0,12778059000.0,12907995000.0,12530378000.0,12740564000.0,12822211000.0,12671561000.0,12906746000.0,12494728000.0,12885414000.0,12677361000.0,12633030000.0,12647199000.0,12704769000.0
2029.0,12334877000.0,12529942000.0,12539815000.0,12186451000.0,12694701000.0,12665356000.0,12425334000.0,12583501000.0,12614207000.0,12464231000.0,12928093000.0,12324306000.0,12740498000.0,12531196000.0,12478477000.0,12450183000.0,12527194000.0
2030.0,12235947000.0,12371897000.0,12296220000.0,11981013000.0,12571652000.0,12539090000.0,12211660000.0,12384135000.0,12451252000.0,12269554000.0,12854287000.0,12153665000.0,12683492000.0,12283252000.0,12432525000.0,12268004000.0,12385319000.0
2031.0,12003472000.0,12188997000.0,12135432000.0,11856659000.0,12457562000.0,12368726000.0,12020381000.0,12220765000.0,12365384000.0,12131784000.0,12645223000.0,11958253000.0,12542902000.0,12099907000.0,12325403000.0,12109670000.0,12292531000.0
2032.0,11775600000.0,12029465000.0,12001185000.0,11596447000.0,12298870000.0,12145047000.0,11792356000.0,12047496000.0,12187220000.0,11975058000.0,12531367000.0,11763020000.0,12415118000.0,11878720000.0,12185955000.0,11958452000.0,12104540000.0
2033.0,11607348000.0,11871445000.0,11772519000.0,11372300000.0,12281063000.0,11900560000.0,11628376000.0,11892912000.0,12069233000.0,11863405000.0,12442504000.0,11523047000.0,12297327000.0,11633947000.0,12026799000.0,11782099000.0,11921196000.0
2034.0,11503990000.0,11754986000.0,11554599000.0,11133199000.0,12097604000.0,11659318000.0,11418712000.0,11728684000.0,11982228000.0,11691172000.0,12841466000.0,11334195000.0,12287695000.0,11619172000.0,11902247000.0,11804684000.0,11756416000.0
2035.0,11224814000.0,11540489000.0,11376253000.0,11023308000.0,11998617000.0,11586315000.0,11236276000.0,11541059000.0,11846531000.0,11538660000.0,12307873000.0,11108731000.0,12173983000.0,11410751000.0,11729327000.0,11471447000.0,11612132000.0
2036.0,11083709000.0,11304778000.0,11158836000.0,10813654000.0,11815961000.0,11201209000.0,11070894000.0,11341089000.0,11653773000.0,11461131000.0,12119579000.0,10859138000.0,12025571000.0,11113737000.0,11552878000.0,11242573000.0,11415809000.0
2037.0,11047499000.0,11130382000.0,11055857000.0,10634004000.0,11708998000.0,11566594000.0,10861988000.0,11182331000.0,11541818000.0,11242997000.0,12050401000.0,10583284000.0,11948238000.0,10893199000.0,11463569000.0,11047796000.0,11282873000.0
2038.0,10770317000.0,10921801000.0,10842921000.0,10462276000.0,11552584000.0,10983979000.0,10663017000.0,10995689000.0,11611547000.0,11089511000.0,11934310000.0,10335074000.0,11888501000.0,10676830000.0,11363319000.0,10810119000.0,11077954000.0
2039.0,10562559000.0,10734476000.0,10624551000.0,10287227000.0,11411755000.0,10644601000.0,10506335000.0,10855683000.0,11362805000.0,10920519000.0,11779431000.0,10101910000.0,11783550000.0,10462094000.0,11208362000.0,10611408000.0,10902585000.0
2040.0,10364498000.0,10530077000.0,10413910000.0,10093959000.0,11358040000.0,10369998000.0,10307164000.0,10682380000.0,11255347000.0,10776931000.0,11721947000.0,9779269000.0,11698073000.0,10293982000.0,11090185000.0,10453971000.0,10749006000.0
2041.0,10156887000.0,10322139000.0,10214002000.0,9975157000.0,11270433000.0,10111312000.0,10053964000.0,10497648000.0,11143192000.0,10792167000.0,11588077000.0,9514087000.0,11520392000.0,10013032000.0,11033572000.0,10203746000.0,10606810000.0
2042.0,10046855000.0,10131319000.0,10144735000.0,9738431000.0,11128756000.0,9863985000.0,9879768000.0,10353409000.0,11024460000.0,10622543000.0,11521757000.0,9225635000.0,11406030000.0,9856231000.0,11182114000.0,10091717000.0,10472804000.0
2043.0,9786715000.0,9874331000.0,9830003000.0,9527210000.0,11095851000.0,9584479000.0,9622373000.0,10160535000.0,10913842000.0,10429024000.0,11702127000.0,9238698000.0,11371605000.0,9599286000.0,11004301000.0,9883355000.0,10376303000.0
2044.0,9543752000.0,9672271000.0,9640385000.0,9367689000.0,10940229000.0,9364678000.0,9430917000.0,9980040000.0,10854108000.0,10335307000.0,11319740000.0,8957087000.0,11573987000.0,9574055000.0,10760769000.0,9702917000.0,10256454000.0
2045.0,9364639000.0,9466318000.0,9444021000.0,9178638000.0,10830427000.0,9293700000.0,9217280000.0,9820517000.0,10768391000.0,10262897000.0,11191564000.0,8706734000.0,11317564000.0,9316424000.0,10624051000.0,9566753000.0,10042026000.0
2046.0,9166114000.0,9340507000.0,9211588000.0,9017723000.0,10744038000.0,8983255000.0,9056794000.0,9648888000.0,10645848000.0,10091010000.0,11072454000.0,8532945000.0,11169703000.0,9097584000.0,10478401000.0,9472342000.0,9974879000.0
2047.0,8957659000.0,9250429000.0,8970775000.0,8825638000.0,10682777000.0,8888033000.0,8870951000.0,9464319000.0,10507001000.0,9940914000.0,11031350000.0,8323243000.0,11022851000.0,9232732000.0,10365601000.0,9361711000.0,9825105000.0
2048.0,8800148000.0,8988955000.0,8785162000.0,8675913000.0,10523282000.0,8578794500.0,8678306000.0,9271451000.0,10394649000.0,9775670000.0,10865801000.0,8118638000.0,10989702000.0,8913140000.0,10260742000.0,9142074000.0,9688088000.0
2049.0,8556391000.0,8892362000.0,8620199000.0,8601695000.0,10406530000.0,8651918000.0,8492590600.0,9088509000.0,10287661000.0,9656910000.0,10808389000.0,8019298000.0,10820282000.0,8838202000.0,10202860000.0,8980826000.0,9578429000.0
2050.0,8321899000.0,8688720000.0,8455654000.0,8476020000.0,10267149000.0,8750157000.0,8362740000.0,8925647000.0,10164663000.0,9552322000.0,10836185000.0,7818296000.0,10742823000.0,8648652000.0,10130758000.0,8809100000.0,9468890000.0
2051.0,8157853000.0,8550574000.0,8327716400.0,8327980000.0,10358214000.0,8352810000.0,8185991000.0,8769669000.0,10070482000.0,9407779000.0,10643981000.0,7685845500.0,10645547000.0,8429434400.0,9982948000.0,8910358000.0,9316514000.0
2052.0,7949314000.0,8379813400.0,8157259300.0,8156398600.0,10112955000.0,8421716500.0,7988917000.0,8611525000.0,9963362000.0,9330306000.0,10514888000.0,7596557300.0,10518835000.0,8268683300.0,9883861000.0,8789186000.0,9204028000.0
2053.0,7726528000.0,8178847000.0,7960450600.0,8030428000.0,10083434000.0,8422763000.0,7812651000.0,8437603000.0,9846968000.0,9190373000.0,10419808000.0,7385521000.0,10402050000.0,8235462000.0,9859706000.0,8596917000.0,9074310000.0
2054.0,7540329000.0,8267943000.0,7817208300.0,7935972000.0,10162568000.0,8065351000.0,7674997000.0,8278684700.0,9738781000.0,9064757000.0,10365884000.0,7275807000.0,10288083000.0,8054340600.0,9891660000.0,8460494000.0,8947613000.0
2055.0,7365940000.0,7914756600.0,7669933600.0,7767786000.0,9991839000.0,7989667300.0,7507747300.0,8176597500.0,9637468000.0,8919636000.0,10367891000.0,7173706000.0,10210174000.0,8037189600.0,9616120000.0,8338029600.0,8848734000.0
2056.0,7437827000.0,7757829000.0,7595723300.0,7700705300.0,9889232000.0,7747931600.0,7432832500.0,8018624000.0,9567704000.0,8813767000.0,10209498000.0,7084154000.0,10075747000.0,8095004700.0,9526561000.0,8230111000.0,8744270000.0
2057.0,7212804000.0,7598921000.0,7379047000.0,7743561000.0,9884443000.0,7790571000.0,7317655600.0,7881620000.0,9476859000.0,8704111000.0,10112720000.0,7020038700.0,10027984000.0,7902723600.0,9459534000.0,8166075400.0,8769570000.0
