time,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL,CNRM-ESM2-1,MRI-ESM2-0
2027.0,47397570000.0,50550760000.0,46115630000.0,52385882000.0,48619545000.0
2028.0,45670564000.0,50909037000.0,45089485000.0,51319620000.0,50056335000.0
2029.0,43747463000.0,49391722000.0,43700390000.0,49470317000.0,50105033000.0
2030.0,42629860000.0,50059390000.0,41087894000.0,46431683000.0,48741730000.0
2031.0,43059900000.0,49014493000.0,38442947000.0,46460125000.0,47754047000.0
2032.0,42643345000.0,48690970000.0,37361800000.0,46138597000.0,47552705000.0
2033.0,41910202000.0,48530678000.0,36611840000.0,46814660000.0,48865014000.0
2034.0,41216180000.0,47941660000.0,35133063000.0,46762267000.0,47498960000.0
2035.0,40691320000.0,49778033000.0,34279680000.0,44943820000.0,46200140000.0
2036.0,40458387000.0,48602083000.0,33094945000.0,45736370000.0,46631182000.0
2037.0,40364060000.0,46306583000.0,32831984000.0,44876636000.0,47579470000.0
2038.0,38770405000.0,44306792000.0,33046899000.0,43265868000.0,47660474000.0
2039.0,37095952000.0,42713887000.0,31646607000.0,43911320000.0,46596915000.0
2040.0,35971228000.0,40894100000.0,30322050000.0,43917218000.0,45272687000.0
2041.0,35780710000.0,40402360000.0,29225204000.0,41282520000.0,46323300000.0
2042.0,35495380000.0,39316935000.0,28124045000.0,41812595000.0,45034940000.0
2043.0,35689742000.0,39551295000.0,26890981000.0,40004870000.0,43346520000.0
2044.0,35390788000.0,39739175000.0,26896374000.0,40014397000.0,42461364000.0
2045.0,34800374000.0,38683582000.0,25767936000.0,40007418000.0,43165090000.0
2046.0,34967183000.0,39558630000.0,24419506000.0,39319912000.0,43757170000.0
2047.0,33423094000.0,38649057000.0,23331699000.0,38643094000.0,44291633000.0
2048.0,31708830000.0,36530530000.0,22475256000.0,38511743000.0,43795083000.0
2049.0,31044465000.0,35661330000.0,21892299000.0,38804558000.0,41170120000.0
2050.0,29858255000.0,36674960000.0,21464877000.0,37580734000.0,40494310000.0
2051.0,28823007000.0,36792553000.0,19853308000.0,37352010000.0,41309807000.0
2052.0,27271614000.0,34117130000.0,19482310000.0,37972070000.0,40065008000.0
2053.0,25657930000.0,32414458000.0,18814503000.0,35102503000.0,37981230000.0
2054.0,24522920000.0,31076150000.0,17773916000.0,33566350000.0,37464540000.0
2055.0,24661993000.0,29318713000.0,16915583000.0,32042390000.0,36913185000.0
