time,CESM2-WACCM,IITM-ESM,TAIESM1,KACE-1-0-G,IPSL-CM6A-LR,MPI-ESM1-2-HR,MRI-ESM2-0,UKESM1-0-LL,GFDL-ESM4
2000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0
2001.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0
2002.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0
2003.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0
2004.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0
2005.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0
2006.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0
2007.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0
2008.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0
2009.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0
2010.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0
2011.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0
2012.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0
2013.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0
2014.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0
2015.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0
2016.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0
2017.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0
2018.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0
2019.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0
2020.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0
2021.0,53169836000.0,56420086000.0,53854110000.0,54983442000.0,54889083000.0,55476730000.0,53811778000.0,55336903000.0,53206190000.0
2022.0,53306800000.0,55719055000.0,51971342000.0,54720490000.0,56346104000.0,57160580000.0,53546275000.0,54233997000.0,51250310000.0
2023.0,53392820000.0,57161945000.0,50520084000.0,53064920000.0,53710074000.0,55154530000.0,54200460000.0,53216485000.0,51119845000.0
2024.0,51696038000.0,55220453000.0,50353050000.0,50808345000.0,51847550000.0,54058670000.0,54472585000.0,53046320000.0,51870482000.0
2025.0,51139936000.0,53584503000.0,48607166000.0,49412407000.0,50374400000.0,55209824000.0,53302630000.0,50836420000.0,50019762000.0
2026.0,49973527000.0,51820114000.0,47552053000.0,47080518000.0,48526504000.0,54733660000.0,50728910000.0,48664570000.0,50344700000.0
2027.0,48528760000.0,53412344000.0,46640927000.0,45837940000.0,47580010000.0,52860043000.0,50841210000.0,45615604000.0,51629210000.0
2028.0,47551860000.0,53082296000.0,44538155000.0,46483255000.0,47169384000.0,49448590000.0,50417148000.0,44027118000.0,51329184000.0
2029.0,48475595000.0,52416210000.0,41777246000.0,46066217000.0,45917168000.0,48381575000.0,48325090000.0,41095606000.0,50123280000.0
2030.0,50670985000.0,53330403000.0,40427360000.0,43120824000.0,45427376000.0,48009417000.0,47577678000.0,40248780000.0,49490950000.0
2031.0,49195966000.0,52511530000.0,39374664000.0,43063845000.0,45230420000.0,47624737000.0,46573830000.0,41612194000.0,49077273000.0
2032.0,48032707000.0,52735450000.0,37102965000.0,42686943000.0,44871176000.0,45830717000.0,44936090000.0,43336557000.0,48532804000.0
2033.0,46683214000.0,52528366000.0,35372230000.0,42478580000.0,43272800000.0,44481270000.0,43808494000.0,43104506000.0,48300180000.0
2034.0,44921230000.0,50951447000.0,33524173000.0,40576573000.0,41858454000.0,42587316000.0,42251530000.0,41129968000.0,48189190000.0
2035.0,45062582000.0,49975656000.0,32430311000.0,39926590000.0,40118500000.0,43339104000.0,42045387000.0,39251520000.0,47569035000.0
2036.0,45075304000.0,50700130000.0,31838128000.0,40202113000.0,38146585000.0,43208380000.0,40472730000.0,37646990000.0,48004764000.0
2037.0,43841300000.0,51700620000.0,30629767000.0,39029650000.0,37173838000.0,43513635000.0,39004900000.0,37008690000.0,49579390000.0
2038.0,43084968000.0,52642177000.0,30280475000.0,37174755000.0,37225490000.0,42995160000.0,41259880000.0,37124485000.0,49715710000.0
2039.0,42626630000.0,52722917000.0,29878690000.0,35872797000.0,35805467000.0,43208188000.0,41033170000.0,36526772000.0,50581516000.0
2040.0,40792320000.0,54131240000.0,28250440000.0,34253440000.0,35661330000.0,42375737000.0,40900407000.0,35433923000.0,50378994000.0
2041.0,40751910000.0,54559105000.0,27088732000.0,33420218000.0,35644950000.0,40584585000.0,40143780000.0,34666824000.0,50913067000.0
2042.0,40419420000.0,55168733000.0,26865711000.0,33552343000.0,35450032000.0,40239220000.0,39604687000.0,33233592000.0,49142010000.0
2043.0,40305710000.0,52582390000.0,26705723000.0,31544550000.0,34359673000.0,38388015000.0,39351670000.0,31301272000.0,48278192000.0
2044.0,39211254000.0,54191768000.0,25610295000.0,30579235000.0,34814902000.0,35440984000.0,38839136000.0,29804298000.0,47752350000.0
2045.0,39206100000.0,52445774000.0,24842578000.0,29557797000.0,34106206000.0,32316810000.0,38055770000.0,29263423000.0,45960495000.0
2046.0,38452777000.0,52592992000.0,23911025000.0,28565932000.0,33748195000.0,31132346000.0,38566703000.0,29638347000.0,43524430000.0
2047.0,38162630000.0,52177375000.0,23041174000.0,27701600000.0,32491028000.0,30470705000.0,39031740000.0,28177207000.0,43000488000.0
2048.0,38831680000.0,53926260000.0,22147699000.0,27654027000.0,32648300000.0,29723046000.0,36761340000.0,27173163000.0,43703153000.0
2049.0,38703440000.0,54821732000.0,21711565000.0,27351093000.0,32694450000.0,29175077000.0,36701390000.0,26300795000.0,41474210000.0
2050.0,37604960000.0,55003013000.0,21026357000.0,25542957000.0,32094462000.0,28593158000.0,35805635000.0,24738840000.0,41143636000.0
2051.0,36663620000.0,55224095000.0,20221104000.0,24437707000.0,30773434000.0,29629670000.0,34949870000.0,23067744000.0,40555970000.0
2052.0,35308065000.0,56400433000.0,20105144000.0,24446046000.0,28665252000.0,29943540000.0,34266518000.0,22235896000.0,40553850000.0
2053.0,34208831000.0,56376980000.0,19493564000.0,23862045000.0,27678374000.0,29962623000.0,32911010000.0,20663937000.0,39904846000.0
2054.0,33521697000.0,54600260000.0,19041554000.0,23611984000.0,28257432000.0,28996730000.0,32681787000.0,18802153000.0,40825340000.0
2055.0,33352718000.0,55195357000.0,18689526000.0,23563850000.0,27149076000.0,29279110000.0,31658576000.0,18149718000.0,40268750000.0
2056.0,32546056000.0,55274807000.0,18901660000.0,22982627000.0,26938862000.0,27839638000.0,30747260000.0,17048286000.0,40773288000.0
2057.0,31604650000.0,55645930000.0,18588740000.0,23397016000.0,25592805000.0,26801699000.0,30082510000.0,16073002000.0,42113680000.0
2058.0,30199402000.0,56265445000.0,17626325000.0,22816432000.0,25734715000.0,26113341000.0,29797138000.0,15182160000.0,42337985000.0
2059.0,29010710000.0,55856540000.0,17187117000.0,23019825000.0,25620361000.0,25222210000.0,29126689000.0,14952765000.0,42096833000.0
2060.0,28355402000.0,58619900000.0,17128977000.0,22217263000.0,24908941000.0,26045379000.0,29175165000.0,14603074000.0,43236827000.0
