time,MIROC6,TAIESM1,KACE-1-0-G,CNRM-ESM2-1,MRI-ESM2-0,UKESM1-0-LL,CANESM5,EC-EARTH3,CNRM-CM6-1,IPSL-CM6A-LR,CESM2-WACCM,MPI-ESM1-2-HR,GFDL-ESM4
2026.0,43455308000.0,39491050000.0,37324020000.0,43593920000.0,39620276000.0,35570983000.0,41402266000.0,40830104000.0,42359980000.0,42821000000.0,42216964000.0,40178495000.0,42963170000.0
2027.0,44049640000.0,39149044000.0,34517510000.0,42606117000.0,39002680000.0,34525643000.0,40031023000.0,39989660000.0,39898817000.0,41958543000.0,41334750000.0,40654094000.0,42260476000.0
2028.0,43831840000.0,37774283000.0,32396876000.0,43087210000.0,37355856000.0,33169148000.0,39221244000.0,40381140000.0,38622260000.0,40944520000.0,40688210000.0,40575713000.0,42327077000.0
2029.0,42825716000.0,35909440000.0,31451542000.0,41172900000.0,36468370000.0,31773893000.0,37638000000.0,38465245000.0,38646116000.0,40329548000.0,39625820000.0,41057927000.0,41438515000.0
2030.0,40920453000.0,35021677000.0,30572632000.0,40786940000.0,34832548000.0,30559947000.0,36107830000.0,35952538000.0,37310290000.0,38734545000.0,37588930000.0,39593550000.0,40925696000.0
2031.0,39268844000.0,34166528000.0,28856766000.0,39795945000.0,34485570000.0,28560126000.0,34031776000.0,35023184000.0,37682123000.0,38048170000.0,37746102000.0,39744385000.0,39718232000.0
2032.0,37931233000.0,32153979000.0,28773245000.0,38974214000.0,33722442000.0,26869846000.0,32036420000.0,33437220000.0,36909800000.0,37131235000.0,37976980000.0,39459500000.0,38025777000.0
2033.0,36645830000.0,30508364000.0,27585313000.0,39379943000.0,32389028000.0,25701272000.0,30662023000.0,32980720000.0,35847200000.0,35753652000.0,36201080000.0,39174717000.0,36377600000.0
2034.0,35981970000.0,29573577000.0,26857142000.0,39127220000.0,31985041000.0,24306928000.0,28906844000.0,32125581000.0,35375060000.0,34815087000.0,34976453000.0,40214438000.0,35716596000.0
2035.0,34406470000.0,28337551000.0,24718068000.0,38724653000.0,30644582000.0,23159802000.0,27653452000.0,31331381000.0,34641730000.0,33348080000.0,34269841000.0,40415547000.0,35551437000.0
2036.0,33502820000.0,27820917000.0,23303285000.0,38641213000.0,30084350000.0,20864510000.0,25963080000.0,29827635000.0,34291433000.0,33040222000.0,33270702000.0,39414450000.0,36088488000.0
2037.0,31962204000.0,26791352000.0,22253638000.0,37992320000.0,29003354000.0,19815188000.0,24304920000.0,29186734000.0,33356739000.0,31537031000.0,32478255000.0,38751126000.0,34297037000.0
2038.0,31727763000.0,25306315000.0,21419969000.0,37525120000.0,27995695000.0,18234106000.0,23718439000.0,28704252000.0,31374494000.0,30186138000.0,31680995000.0,37372404000.0,32532957000.0
2039.0,29966369000.0,24861380000.0,20278952000.0,36576610000.0,27724830000.0,17377153000.0,22571905000.0,28219703000.0,30468147000.0,29024877000.0,29979308000.0,36569230000.0,31845020000.0
2040.0,28867508000.0,23700300000.0,19661185000.0,35984482000.0,26455974000.0,16381623000.0,21794972000.0,28167030000.0,30336756000.0,27918502000.0,29449509000.0,36708364000.0,30644232000.0
2041.0,26745397000.0,23300102000.0,19045390000.0,35307080000.0,26458413000.0,15950594000.0,20622100000.0,27137047000.0,29736282000.0,26753480000.0,28510011000.0,37302940000.0,29899422000.0
2042.0,26508548000.0,22581783000.0,18434710000.0,34345366000.0,26019486000.0,14706246000.0,18972223000.0,26261590000.0,28875532000.0,25763717000.0,27796765000.0,36884680000.0,29207194000.0
2043.0,25752218000.0,21405893000.0,17376862000.0,34621480000.0,26580883000.0,13557149000.0,18750487000.0,25814480000.0,28722547000.0,24576133000.0,27597033000.0,35572662000.0,27784100000.0
