time,MRI-ESM2-0,CNRM-ESM2-1,UKESM1-0-LL,CANESM5,IPSL-CM6A-LR
2000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0
2001.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0
2002.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0
2003.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0
2004.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0
2005.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0
2006.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0
2007.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0
2008.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0
2009.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0
2010.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0
2011.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0
2012.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0
2013.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0
2014.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0
2015.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0
2016.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0
2017.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0
2018.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0
2019.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0
2020.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0
2021.0,44429370000.0,48114815000.0,46753583000.0,46648310000.0,46176776000.0
2022.0,43664770000.0,47625585000.0,45406150000.0,45256475000.0,45739106000.0
2023.0,41781273000.0,46434857000.0,43282526000.0,44034010000.0,45161935000.0
2024.0,40382920000.0,46974726000.0,42406916000.0,42483896000.0,44099842000.0
2025.0,38634090000.0,45277323000.0,41570976000.0,40850680000.0,42574950000.0
2026.0,37634298000.0,44779640000.0,39243760000.0,39809696000.0,42165924000.0
2027.0,36769470000.0,43390270000.0,37506707000.0,38347465000.0,41608098000.0
2028.0,35576080000.0,42645926000.0,36262457000.0,36507660000.0,41267950000.0
2029.0,34012440000.0,41603068000.0,36086985000.0,35979760000.0,39556604000.0
2030.0,31756538000.0,40697905000.0,34683520000.0,34511240000.0,38083686000.0
2031.0,30793853000.0,39257320000.0,32382000000.0,33571854000.0,38261640000.0
2032.0,29832129000.0,39023366000.0,30928734000.0,30988590000.0,36787995000.0
2033.0,30269223000.0,38521803000.0,29487598000.0,29405594000.0,35599553000.0
2034.0,28796443000.0,38323110000.0,27549470000.0,27913763000.0,35125890000.0
2035.0,27555125000.0,36847720000.0,26300404000.0,26912053000.0,34620674000.0
2036.0,26074520000.0,36423397000.0,25334485000.0,25477600000.0,32798392000.0
2037.0,25515737000.0,36038025000.0,23424990000.0,24179073000.0,31470297000.0
2038.0,25434225000.0,33849340000.0,21759574000.0,22678403000.0,30197518000.0
2039.0,24418396000.0,33591290000.0,20707795000.0,22365174000.0,28919290000.0
2040.0,24215556000.0,32022536000.0,19773467000.0,21009990000.0,28054053000.0
2041.0,23407450000.0,30425310000.0,18435850000.0,19947540000.0,27262530000.0
2042.0,23588932000.0,28401711000.0,17110279000.0,19624567000.0,25524664000.0
2043.0,22438777000.0,27536568000.0,16291951000.0,18079920000.0,24925182000.0
2044.0,21159246000.0,26890945000.0,15675637000.0,16393448000.0,23745325000.0
2045.0,20488645000.0,26145466000.0,14786438000.0,15205297000.0,22501267000.0
2046.0,20031922000.0,25673170000.0,14203161000.0,13995982000.0,21356354000.0
2047.0,19317130000.0,23899884000.0,13455496000.0,12577921000.0,20672995000.0
2048.0,18984405000.0,23216419000.0,12767846000.0,11855785000.0,19605965000.0
2049.0,18891528000.0,22750634000.0,11928756000.0,11566782000.0,18386407000.0
2050.0,18295753000.0,22367200000.0,11071000000.0,10506720000.0,17415766000.0
2051.0,17200990000.0,22245173000.0,10371770000.0,9836247000.0,17086808000.0
2052.0,16507165000.0,21836872000.0,9909352000.0,9467498000.0,16705870000.0
2053.0,15823635000.0,22188366000.0,9418189000.0,9005494000.0,16298367000.0
2054.0,15159443000.0,21509362000.0,8805388000.0,8268832000.0,16106232000.0
2055.0,14627619000.0,21347377000.0,8489560000.0,7811514000.0,15343624000.0
2056.0,14559768000.0,20633230000.0,8144779300.0,7784174000.0,14392516000.0
2057.0,13507890000.0,20642464000.0,7970273000.0,7691824000.0,13398754000.0
2058.0,13331234000.0,20632426000.0,7318100500.0,7606306000.0,13207180000.0
2059.0,12893785000.0,20284248000.0,7030526000.0,7704340500.0,12792217000.0
2060.0,12563887000.0,19653765000.0,6805607000.0,7616279600.0,12053526000.0
2061.0,12639770000.0,18729038000.0,6530050000.0,7791881700.0,11847121000.0
2062.0,12265506000.0,18110810000.0,6264444000.0,7511309300.0,11615647000.0
2063.0,11842824000.0,17137970000.0,5861454000.0,7196765700.0,11274387000.0
2064.0,11563346000.0,16561513000.0,5659490300.0,7203991000.0,10401974000.0
2065.0,11489998000.0,16590277000.0,5437114400.0,7045927000.0,9619942000.0
2066.0,10869934000.0,16981190000.0,5145133600.0,6867336000.0,9438582000.0
2067.0,10654049000.0,16408582000.0,4972163000.0,6923503000.0,9435206000.0
2068.0,10431501000.0,16086689000.0,4781966000.0,6610577000.0,9322536000.0
2069.0,10533589000.0,15665534000.0,4695663600.0,6327494700.0,8820132000.0
2070.0,10158790000.0,15319491000.0,4527180000.0,6107495000.0,8578743000.0
2071.0,10090080000.0,14912163000.0,4521747000.0,6077808000.0,8303949300.0
2072.0,9961326000.0,14648491000.0,4553273000.0,5917957600.0,8006076000.0
2073.0,10092380000.0,15077710000.0,4314330000.0,5905588000.0,7974332400.0
2074.0,10062665000.0,14618191000.0,4407075300.0,5616792000.0,7950720000.0
2075.0,10460104000.0,14752662000.0,4115895600.0,5699439000.0,7892911000.0
2076.0,10697476000.0,14326426000.0,4081608700.0,5955819500.0,7958203000.0
2077.0,11246890000.0,13833040000.0,4026172400.0,5744989000.0,7823828500.0
2078.0,11107453000.0,14108573000.0,3824373500.0,5711420000.0,7611480600.0
2079.0,11213398000.0,14257044000.0,3914803700.0,5862187500.0,7697652700.0
2080.0,11263455000.0,13664049000.0,3835641900.0,5730241000.0,7779681300.0
2081.0,11410075000.0,13891315000.0,3663378200.0,5841580500.0,7785640000.0
2082.0,11532637000.0,13469190000.0,3593642500.0,6042310700.0,7986546700.0
2083.0,11696412000.0,13534598000.0,3530247200.0,6215012000.0,7888681500.0
2084.0,11910003000.0,13320626000.0,3450378500.0,6170712600.0,7843057000.0
2085.0,11999859000.0,13320526000.0,3438744800.0,5824177700.0,7646525000.0
2086.0,12136381000.0,13503414000.0,3314806500.0,5726049000.0,7541840000.0
2087.0,12299602000.0,13565737000.0,3455165000.0,5914955300.0,7587025000.0
2088.0,12068826000.0,13569834000.0,3504384500.0,5767436300.0,7926750000.0
2089.0,12094370000.0,13827304000.0,3458142000.0,6255808000.0,7754719700.0
2090.0,12377038000.0,13380877000.0,3489009700.0,5831004700.0,7746519000.0
2091.0,12317705000.0,13031408000.0,3410191600.0,6086131700.0,8031602000.0
2092.0,12112093000.0,12904583000.0,3562512600.0,6129831400.0,8144296000.0
2093.0,12444558000.0,12736556000.0,3452584400.0,6512366600.0,8344290000.0
2094.0,12717781000.0,12999673000.0,3420347600.0,6534999000.0,8411630000.0
2095.0,12885346000.0,12912902000.0,3441784000.0,6664914400.0,8492724700.0
2096.0,13173105000.0,13162362000.0,3406663000.0,6540250000.0,8247559700.0
2097.0,13733292000.0,13476485000.0,3512783600.0,6939705000.0,8277105000.0
2098.0,13590382000.0,13289894000.0,3533537300.0,7266701300.0,8308769300.0
2099.0,13703123000.0,13129278000.0,3526797800.0,7595621400.0,8473768000.0
2100.0,14176474000.0,13027807000.0,3616479200.0,7645507600.0,8457996300.0
