time,NORESM1-M,GFDL-ESM2G,CESM1-CAM5,CCSM4,GFDL-CM3,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0
2001.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0
2002.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0
2003.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0
2004.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0
2005.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0
2006.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0
2007.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0
2008.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0
2009.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0
2010.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0
2011.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0
2012.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0
2013.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0
2014.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0
2015.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0
2016.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0
2017.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0
2018.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0
2019.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0
2020.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0
2021.0,7288312000000.0,7318700000000.0,7294363400000.0,7294989000000.0,7301927300000.0,7299998400000.0,7299433000000.0,7295241600000.0
2022.0,7272052300000.0,7291043000000.0,7268161600000.0,7280097000000.0,7284902000000.0,7279321500000.0,7273730500000.0,7284142000000.0
2023.0,7270902000000.0,7282226600000.0,7254595600000.0,7271672000000.0,7272055000000.0,7260416000000.0,7262910000000.0,7248294700000.0
2024.0,7264833000000.0,7260986700000.0,7225724600000.0,7264402400000.0,7242854700000.0,7242237000000.0,7264953400000.0,7230822300000.0
2025.0,7257746600000.0,7253949700000.0,7215238000000.0,7235343000000.0,7232381000000.0,7221959000000.0,7255749000000.0,7212023000000.0
2026.0,7223257300000.0,7218370000000.0,7197905400000.0,7216615700000.0,7211761000000.0,7217363000000.0,7242411700000.0,7190933000000.0
2027.0,7204092500000.0,7182404000000.0,7197440300000.0,7205897000000.0,7193701600000.0,7195213700000.0,7239092400000.0,7173276000000.0
2028.0,7183110000000.0,7156811000000.0,7189392000000.0,7194708000000.0,7166576600000.0,7195767000000.0,7222120000000.0,7183091600000.0
2029.0,7161681300000.0,7126497000000.0,7174411500000.0,7186010000000.0,7141883600000.0,7175859000000.0,7209782600000.0,7142194000000.0
2030.0,7151108000000.0,7101633000000.0,7146274000000.0,7158231500000.0,7098011000000.0,7150099000000.0,7190338000000.0,7160227400000.0
2031.0,7140282500000.0,7092814000000.0,7138144000000.0,7116375000000.0,7068727600000.0,7123411400000.0,7163528300000.0,7134561400000.0
2032.0,7109101000000.0,7078679700000.0,7129442000000.0,7091536300000.0,7043229000000.0,7099398500000.0,7127666000000.0,7130029000000.0
2033.0,7075695000000.0,7061425400000.0,7100561000000.0,7067699000000.0,7027682700000.0,7082941600000.0,7111152500000.0,7104920300000.0
2034.0,7049008600000.0,7031158000000.0,7087551000000.0,7042539500000.0,6983686600000.0,7065401600000.0,7117919500000.0,7068522600000.0
2035.0,7038172700000.0,7015581000000.0,7056928500000.0,7006511400000.0,6941321000000.0,7035544000000.0,7087079300000.0,7043272000000.0
2036.0,7002163500000.0,6992813400000.0,7018778700000.0,6984661000000.0,6896105000000.0,7017327000000.0,7048577000000.0,7026389000000.0
2037.0,6975756000000.0,6978895000000.0,6992244500000.0,6969036000000.0,6873447000000.0,7004359000000.0,7000000000000.0,7012396600000.0
2038.0,6934600600000.0,6961714000000.0,6971096000000.0,6933808000000.0,6836691000000.0,7002753300000.0,6984333000000.0,6975483000000.0
2039.0,6894703300000.0,6935969500000.0,6949187400000.0,6910995000000.0,6807046600000.0,6978234500000.0,6961674000000.0,6956653000000.0
2040.0,6881973600000.0,6912219300000.0,6913949000000.0,6877866400000.0,6770293000000.0,6970469000000.0,6953192400000.0,6920486000000.0
2041.0,6854468400000.0,6897696000000.0,6895731000000.0,6846343500000.0,6738529000000.0,6948795000000.0,6950768000000.0,6892376600000.0
