time,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,IPSL-CM5A-LR,CSIRO-MK3-6-0
2026.0,7218326000000.0,7230479000000.0,7226766000000.0,7055515600000.0,7320398500000.0,7123800000000.0,7258036000000.0,7189057000000.0,7187103000000.0,7185556000000.0
2027.0,7206521000000.0,7227457000000.0,7193078000000.0,6991333300000.0,7327485300000.0,7104339400000.0,7234547000000.0,7172101500000.0,7175781500000.0,7158831000000.0
2028.0,7179977400000.0,7202031000000.0,7187973000000.0,6938751400000.0,7310329000000.0,7085885500000.0,7236079000000.0,7127298500000.0,7137487000000.0,7137736500000.0
2029.0,7158838000000.0,7174490000000.0,7183561000000.0,6865055000000.0,7310497300000.0,7036036700000.0,7229689000000.0,7098392000000.0,7086855000000.0,7130155000000.0
2030.0,7095058000000.0,7154828300000.0,7162930000000.0,6815420500000.0,7300105000000.0,6996462400000.0,7221415000000.0,7079205000000.0,7038108700000.0,7110009000000.0
2031.0,7062739000000.0,7136708400000.0,7129456000000.0,6759815000000.0,7298091000000.0,6951781500000.0,7200216000000.0,7052179000000.0,7005933700000.0,7090101000000.0
2032.0,7044245000000.0,7115972300000.0,7115657700000.0,6701930500000.0,7297174600000.0,6917806600000.0,7177222000000.0,7014471700000.0,6964856000000.0,7075035300000.0
2033.0,7007264000000.0,7071223000000.0,7082388000000.0,6657774500000.0,7292805000000.0,6876375000000.0,7156215600000.0,6977196400000.0,6941430000000.0,7038776000000.0
2034.0,6978811000000.0,7028483000000.0,7072704000000.0,6615795000000.0,7288085000000.0,6841395300000.0,7148900000000.0,6953017000000.0,6899011400000.0,7001728000000.0
2035.0,6950026000000.0,6988865500000.0,7078030000000.0,6575451300000.0,7287125000000.0,6813834500000.0,7127464000000.0,6914416000000.0,6837994000000.0,6978960000000.0
2036.0,6922749600000.0,6956763000000.0,7051455000000.0,6540107400000.0,7254413000000.0,6773890600000.0,7112677700000.0,6883892500000.0,6776708700000.0,6951650000000.0
2037.0,6882736000000.0,6924368000000.0,7036355000000.0,6495028600000.0,7248510000000.0,6742909000000.0,7081218000000.0,6862349000000.0,6725659000000.0,6916691500000.0
2038.0,6854052700000.0,6891164000000.0,7023284000000.0,6444582000000.0,7196328000000.0,6702466000000.0,7061597000000.0,6814309500000.0,6637020000000.0,6881830500000.0
2039.0,6798033000000.0,6845670400000.0,7011280000000.0,6410669000000.0,7154633000000.0,6639322700000.0,7041274000000.0,6776393600000.0,6568528000000.0,6851542000000.0
2040.0,6729599000000.0,6813516000000.0,6972906700000.0,6378783500000.0,7134819000000.0,6600086500000.0,7024032000000.0,6686369000000.0,6483624000000.0,6808859000000.0
2041.0,6678896000000.0,6780162000000.0,6955838500000.0,6340704000000.0,7082920000000.0,6558008700000.0,6993241000000.0,6638699300000.0,6422646500000.0,6769136400000.0
2042.0,6624859700000.0,6724792600000.0,6937060600000.0,6287891400000.0,7057797300000.0,6493463000000.0,6959775400000.0,6592444000000.0,6359004000000.0,6716212000000.0
2043.0,6574084500000.0,6686572500000.0,6904269500000.0,6234889500000.0,7008203300000.0,6455674500000.0,6936190000000.0,6500778000000.0,6267771300000.0,6670046500000.0
2044.0,6523648500000.0,6625216700000.0,6859713400000.0,6196688000000.0,6955502000000.0,6379372000000.0,6919994000000.0,6412162000000.0,6187235400000.0,6604608000000.0
2045.0,6483020300000.0,6581454400000.0,6826330400000.0,6138983600000.0,6906622500000.0,6327719400000.0,6897350000000.0,6353560000000.0,6088869500000.0,6558653000000.0
2046.0,6432500000000.0,6545157000000.0,6802441000000.0,6068351500000.0,6876901700000.0,6252506600000.0,6888357000000.0,6299867000000.0,5990822400000.0,6530070500000.0
2047.0,6387403300000.0,6518507300000.0,6777947600000.0,6024016700000.0,6827200000000.0,6182131500000.0,6871026000000.0,6232146000000.0,5885937000000.0,6505269000000.0
