time,CCSM4,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,CESM1-CAM5,GISS-E2-R,CANESM2,CNRM-CM5
2032.0,7046977000000.0,7022460000000.0,6964830500000.0,7177416000000.0,7039915400000.0,6947145000000.0,7082717000000.0,6996612000000.0,7111138300000.0,7079090700000.0,7122445700000.0
2033.0,7026590600000.0,6990366000000.0,6956985600000.0,7151979300000.0,6990304600000.0,6923678600000.0,7074292400000.0,6959311000000.0,7093607700000.0,7058717000000.0,7106161000000.0
2034.0,7002538000000.0,6955865700000.0,6920598000000.0,7143549000000.0,6937272000000.0,6861855700000.0,7032185000000.0,6912079000000.0,7075578000000.0,7043018000000.0,7092095700000.0
2035.0,6980322000000.0,6923807000000.0,6900614700000.0,7134675000000.0,6911354700000.0,6822694500000.0,6996288300000.0,6867727000000.0,7063645000000.0,7029620000000.0,7071212000000.0
2036.0,6959739700000.0,6895885600000.0,6885498000000.0,7094519000000.0,6889314700000.0,6782344000000.0,6971972000000.0,6833131500000.0,7056536000000.0,7018572700000.0,7032481000000.0
2037.0,6932831700000.0,6858594000000.0,6868792000000.0,7063976000000.0,6858566300000.0,6741396000000.0,6941610300000.0,6779687000000.0,7054057000000.0,6986644000000.0,7021915500000.0
2038.0,6911800400000.0,6837393400000.0,6822598500000.0,7037582000000.0,6833391500000.0,6687589700000.0,6897629000000.0,6727924700000.0,7026170000000.0,6967464600000.0,7008268300000.0
2039.0,6896664000000.0,6814023000000.0,6779721000000.0,7009607000000.0,6809613000000.0,6650181700000.0,6873908500000.0,6688763000000.0,7011078000000.0,6945297000000.0,6972957500000.0
2040.0,6852961600000.0,6785454300000.0,6756571000000.0,6973843000000.0,6796674600000.0,6618308700000.0,6866043700000.0,6635640000000.0,6981815000000.0,6932366000000.0,6933605500000.0
2041.0,6829540600000.0,6757224500000.0,6726418000000.0,6966673400000.0,6784649000000.0,6561702300000.0,6845362000000.0,6582602000000.0,6961728000000.0,6901866000000.0,6914513600000.0
2042.0,6795872000000.0,6726344000000.0,6690513000000.0,6957054000000.0,6755382000000.0,6513026000000.0,6825555000000.0,6518813000000.0,6945493000000.0,6876313000000.0,6888933000000.0
2043.0,6743112000000.0,6688598400000.0,6668635600000.0,6956997700000.0,6728444000000.0,6468544000000.0,6779744300000.0,6465470000000.0,6932319400000.0,6826799000000.0,6875390700000.0
2044.0,6708476000000.0,6641074300000.0,6620667400000.0,6958678000000.0,6710910500000.0,6410910300000.0,6743886700000.0,6396436300000.0,6929450500000.0,6807659500000.0,6839615400000.0
2045.0,6665474700000.0,6602815400000.0,6586765400000.0,6958586000000.0,6672715000000.0,6378081000000.0,6721392000000.0,6330877000000.0,6911586500000.0,6793252000000.0,6814240000000.0
2046.0,6634500000000.0,6556110000000.0,6542372400000.0,6952169500000.0,6646463500000.0,6322616000000.0,6687248000000.0,6252305000000.0,6887984000000.0,6780937600000.0,6778395300000.0
2047.0,6608338000000.0,6509426600000.0,6501822400000.0,6950228000000.0,6632118400000.0,6280822400000.0,6663100700000.0,6199253700000.0,6870352000000.0,6766758000000.0,6755079700000.0
2048.0,6583677000000.0,6470896700000.0,6467447400000.0,6947188000000.0,6598104000000.0,6224547400000.0,6641809400000.0,6146777700000.0,6838139000000.0,6743179000000.0,6717935000000.0
2049.0,6564592000000.0,6411628600000.0,6434933700000.0,6918771300000.0,6563876600000.0,6181222000000.0,6607696000000.0,6090475000000.0,6830696700000.0,6712023000000.0,6667152400000.0
2050.0,6538310700000.0,6354996600000.0,6406782000000.0,6894941000000.0,6527123500000.0,6147929500000.0,6578427000000.0,6010708700000.0,6818108500000.0,6677629000000.0,6634557000000.0
2051.0,6509398000000.0,6309099300000.0,6363100000000.0,6885273500000.0,6498887000000.0,6067202000000.0,6560181000000.0,5983522000000.0,6812812000000.0,6653607400000.0,6601363000000.0
2052.0,6481809000000.0,6249139700000.0,6330676400000.0,6868519400000.0,6468770700000.0,6015643000000.0,6520725600000.0,5926669500000.0,6791622000000.0,6615608000000.0,6573659000000.0
2053.0,6443477000000.0,6201763000000.0,6304548500000.0,6858521000000.0,6430008000000.0,5972946000000.0,6494783000000.0,5872313400000.0,6779330600000.0,6589200000000.0,6533928700000.0
2054.0,6429835000000.0,6154515600000.0,6272874700000.0,6853100600000.0,6392259300000.0,5932360000000.0,6468405300000.0,5798588600000.0,6746493000000.0,6544653000000.0,6485083400000.0
2055.0,6411577700000.0,6104255300000.0,6228700000000.0,6853108400000.0,6371016000000.0,5887897400000.0,6437789500000.0,5703091000000.0,6698815700000.0,6524791400000.0,6441002000000.0
2056.0,6401155400000.0,6043726000000.0,6189364000000.0,6850192000000.0,6340588600000.0,5847686600000.0,6425423000000.0,5633408500000.0,6667713400000.0,6467828000000.0,6401402300000.0
2057.0,6364774500000.0,6004453000000.0,6162034000000.0,6832850000000.0,6293020000000.0,5799519700000.0,6392661400000.0,5588425600000.0,6642190500000.0,6431550500000.0,6384069000000.0
2058.0,6347886000000.0,5954869000000.0,6145692000000.0,6819217000000.0,6256773000000.0,5754939500000.0,6365909600000.0,5547333500000.0,6648452600000.0,6403865000000.0,6314507400000.0
2059.0,6309323000000.0,5906306000000.0,6120698000000.0,6786188300000.0,6198322500000.0,5701423300000.0,6352467000000.0,5497900000000.0,6633984000000.0,6375959700000.0,6262753000000.0
2060.0,6283857000000.0,5864057500000.0,6084436000000.0,6754934000000.0,6157700700000.0,5643371000000.0,6323237300000.0,5438340000000.0,6624451000000.0,6336810000000.0,6227696300000.0
2061.0,6272300600000.0,5815101600000.0,6045219000000.0,6737756000000.0,6113512700000.0,5600064000000.0,6306061000000.0,5376583000000.0,6594528000000.0,6318764000000.0,6182639500000.0
2062.0,6251157700000.0,5774885000000.0,6032406300000.0,6724298000000.0,6060539000000.0,5550289500000.0,6292153000000.0,5316722000000.0,6581292000000.0,6299834600000.0,6129327300000.0
2063.0,6215670700000.0,5733191500000.0,6006889000000.0,6704837000000.0,6027667000000.0,5516452400000.0,6277119300000.0,5260211400000.0,6565485600000.0,6286185300000.0,6067558300000.0
2064.0,6208506000000.0,5709036500000.0,5979736000000.0,6665688000000.0,6003171000000.0,5464688000000.0,6254576500000.0,5225249000000.0,6536980000000.0,6228095300000.0,6045313300000.0
2065.0,6198749000000.0,5679387000000.0,5954629000000.0,6651816400000.0,5975503300000.0,5424321400000.0,6233953700000.0,5182442000000.0,6527385600000.0,6218765000000.0,5982334000000.0
2066.0,6200795600000.0,5641051600000.0,5922682300000.0,6634826000000.0,5948980600000.0,5371989000000.0,6209209400000.0,5125461000000.0,6513691000000.0,6179381000000.0,5948683300000.0
2067.0,6160331000000.0,5600768400000.0,5895507000000.0,6633481600000.0,5902312700000.0,5292272600000.0,6185737000000.0,5073700000000.0,6508545300000.0,6152760300000.0,5909489000000.0
2068.0,6145852300000.0,5554787300000.0,5880356500000.0,6606442500000.0,5857730000000.0,5236527000000.0,6161157000000.0,5020094300000.0,6502767000000.0,6127169300000.0,5861155500000.0
2069.0,6143213000000.0,5503884700000.0,5858129300000.0,6595885400000.0,5802426400000.0,5192309000000.0,6137373000000.0,4983441300000.0,6497501700000.0,6097653500000.0,5827173300000.0
2070.0,6133531000000.0,5451004000000.0,5834388500000.0,6576980600000.0,5769440300000.0,5130587000000.0,6101517500000.0,4933582000000.0,6492805000000.0,6072979400000.0,5782652300000.0
2071.0,6117510300000.0,5389632400000.0,5797744500000.0,6564354700000.0,5736842000000.0,5071457000000.0,6079189600000.0,4861584700000.0,6481933500000.0,6048531300000.0,5755503600000.0
2072.0,6102455400000.0,5323412700000.0,5764468400000.0,6543471000000.0,5690717000000.0,5008964000000.0,6053378400000.0,4820461000000.0,6471463000000.0,6008031700000.0,5704308500000.0
2073.0,6074653500000.0,5290509000000.0,5746702000000.0,6529489000000.0,5646827700000.0,4968106000000.0,6015096000000.0,4773439300000.0,6453967500000.0,5953465400000.0,5657799000000.0
2074.0,6062524600000.0,5227723000000.0,5721459000000.0,6507410000000.0,5586705000000.0,4921036400000.0,6001649500000.0,4727330300000.0,6419405000000.0,5929401600000.0,5611733400000.0
2075.0,6029058000000.0,5186429400000.0,5686887000000.0,6491107500000.0,5536453000000.0,4871386000000.0,5978371000000.0,4678976300000.0,6406219500000.0,5903936000000.0,5572034300000.0
2076.0,6016383000000.0,5144800000000.0,5652159700000.0,6488685000000.0,5492270000000.0,4816601000000.0,5927059600000.0,4633288000000.0,6400723400000.0,5882499300000.0,5532013000000.0
2077.0,5988968600000.0,5087566500000.0,5616487600000.0,6467702000000.0,5465566000000.0,4775232400000.0,5876394500000.0,4596016600000.0,6393912000000.0,5850631000000.0,5486113500000.0
2078.0,5959628400000.0,5027120300000.0,5594335400000.0,6441452000000.0,5407093000000.0,4743937000000.0,5835538300000.0,4564467600000.0,6393438000000.0,5793728000000.0,5439654700000.0
2079.0,5945172000000.0,4983910600000.0,5575173000000.0,6420569000000.0,5380349000000.0,4717586000000.0,5812841000000.0,4519302300000.0,6388596000000.0,5756425000000.0,5409106000000.0
2080.0,5905532300000.0,4929571000000.0,5550725700000.0,6399964000000.0,5326315700000.0,4685319600000.0,5777077600000.0,4475778000000.0,6371056500000.0,5725636000000.0,5372624500000.0
2081.0,5893660300000.0,4881514000000.0,5525492000000.0,6376789000000.0,5282607400000.0,4653103700000.0,5750196000000.0,4434352000000.0,6360555600000.0,5674171000000.0,5324107000000.0
2082.0,5879346000000.0,4828698000000.0,5487131600000.0,6361483000000.0,5249786400000.0,4633294500000.0,5709786000000.0,4388199900000.0,6350582600000.0,5632667700000.0,5302489000000.0
2083.0,5853082000000.0,4803508300000.0,5472250000000.0,6345749700000.0,5213812000000.0,4599541400000.0,5691056000000.0,4351945900000.0,6327961000000.0,5610505000000.0,5261199700000.0
2084.0,5838387300000.0,4762793000000.0,5435897000000.0,6332334700000.0,5161077400000.0,4557512400000.0,5663169700000.0,4303259400000.0,6326908400000.0,5587692700000.0,5220287400000.0
2085.0,5822532000000.0,4714896000000.0,5412467000000.0,6307955300000.0,5119154000000.0,4522245600000.0,5630009500000.0,4261687900000.0,6308103000000.0,5555138000000.0,5164870700000.0
2086.0,5801108300000.0,4670145700000.0,5398113300000.0,6293640700000.0,5086154000000.0,4494904500000.0,5589288000000.0,4214760000000.0,6299769600000.0,5511010300000.0,5100428300000.0
2087.0,5788297300000.0,4640874000000.0,5372766000000.0,6280099000000.0,5043133000000.0,4443047700000.0,5560853300000.0,4185098600000.0,6290108000000.0,5471584000000.0,5059451000000.0
2088.0,5768649000000.0,4591598400000.0,5351154400000.0,6262468000000.0,4998607000000.0,4408297400000.0,5531347000000.0,4138909600000.0,6277119300000.0,5424992000000.0,5038857500000.0
2089.0,5743883000000.0,4550025500000.0,5344719000000.0,6246905000000.0,4945660600000.0,4394390000000.0,5469942300000.0,4101636400000.0,6258721000000.0,5377954400000.0,5014376000000.0
2090.0,5702007400000.0,4507954000000.0,5325890000000.0,6239628600000.0,4904251000000.0,4356632500000.0,5462308700000.0,4080334000000.0,6234803000000.0,5347528000000.0,4988009000000.0
2091.0,5680283000000.0,4471179400000.0,5295786000000.0,6219865000000.0,4859935000000.0,4308494500000.0,5430642700000.0,4039718000000.0,6224319300000.0,5312786500000.0,4939087600000.0
2092.0,5642723000000.0,4426603400000.0,5272401600000.0,6204550000000.0,4827860000000.0,4283448400000.0,5402873300000.0,4005729400000.0,6203080000000.0,5300659000000.0,4892249000000.0
2093.0,5606689700000.0,4371239400000.0,5253821000000.0,6184963700000.0,4806777000000.0,4258453300000.0,5365609500000.0,3962128000000.0,6176717700000.0,5282666000000.0,4862399000000.0
2094.0,5584428500000.0,4335756000000.0,5230447600000.0,6180088000000.0,4762180000000.0,4229465400000.0,5330179000000.0,3933142300000.0,6174400300000.0,5269022600000.0,4827654400000.0
2095.0,5551701400000.0,4292999400000.0,5207878500000.0,6154059000000.0,4720623600000.0,4213109000000.0,5310505300000.0,3890310500000.0,6164163000000.0,5248035300000.0,4796935300000.0
2096.0,5526070000000.0,4242623400000.0,5180022000000.0,6140754700000.0,4679952000000.0,4170548800000.0,5287255700000.0,3851977800000.0,6138844000000.0,5222597000000.0,4753278400000.0
2097.0,5512710000000.0,4188350400000.0,5143190000000.0,6138191400000.0,4669549000000.0,4130074300000.0,5258117000000.0,3815041000000.0,6106166300000.0,5199222500000.0,4711351000000.0
2098.0,5500169000000.0,4149125000000.0,5113983000000.0,6136141000000.0,4647282500000.0,4119294000000.0,5220243000000.0,3762099800000.0,6068622000000.0,5168480400000.0,4667696000000.0
2099.0,5477769400000.0,4113758200000.0,5088858000000.0,6116841400000.0,4629307300000.0,4102945800000.0,5158168000000.0,3735690000000.0,6059440000000.0,5142580000000.0,4615703600000.0
2100.0,5464665000000.0,4074202700000.0,5064500000000.0,6103838500000.0,4612222400000.0,4079804500000.0,5124387000000.0,3696667700000.0,6040478000000.0,5128619000000.0,4601070000000.0
