time,MRI-ESM2-0,KACE-1-0-G,EC-EARTH3,GFDL-ESM4,CNRM-ESM2-1,UKESM1-0-LL,CESM2-WACCM,IITM-ESM,CANESM5,MPI-ESM1-2-HR,CNRM-CM6-1,IPSL-CM6A-LR,MIROC6,TAIESM1
2022.0,7299379000000.0,7219667500000.0,6999486500000.0,7288331000000.0,7280263000000.0,7174126000000.0,7284472000000.0,7296181600000.0,7214600000000.0,7275149300000.0,7260941600000.0,7217771700000.0,7258954000000.0,7191491000000.0
2023.0,7279730500000.0,7193074000000.0,6847478600000.0,7276308500000.0,7242226600000.0,7063984000000.0,7278754300000.0,7277822000000.0,7186047000000.0,7290008600000.0,7252014500000.0,7222797000000.0,7214548000000.0,7161258000000.0
2024.0,7268100000000.0,7166053300000.0,6674569000000.0,7270666000000.0,7234412600000.0,6941543000000.0,7258522000000.0,7288321000000.0,7120409300000.0,7248472400000.0,7219663300000.0,7184006000000.0,7224962300000.0,7160592300000.0
2025.0,7250188000000.0,7111230000000.0,6553795600000.0,7263089000000.0,7172173300000.0,6845327000000.0,7248493400000.0,7262115500000.0,7034761600000.0,7219779000000.0,7184824400000.0,7157962000000.0,7209491600000.0,7113778000000.0
2026.0,7196082000000.0,7090011600000.0,6390835300000.0,7234995000000.0,7153008500000.0,6718905400000.0,7243612000000.0,7268999000000.0,6886534400000.0,7181648300000.0,7176772400000.0,7136043000000.0,7191382700000.0,7072599000000.0
2027.0,7149024400000.0,7062504300000.0,6262921600000.0,7207917700000.0,7142382000000.0,6623644000000.0,7234705000000.0,7254014000000.0,6772299000000.0,7155947000000.0,7162881000000.0,7080961400000.0,7167768300000.0,7004780000000.0
2028.0,7098539700000.0,7032866300000.0,6155858000000.0,7183455500000.0,7131660600000.0,6559892000000.0,7242308000000.0,7235021300000.0,6670111000000.0,7118854300000.0,7152556000000.0,7029178000000.0,7122824000000.0,6929470500000.0
2029.0,7068513000000.0,7001448400000.0,6021446600000.0,7155968600000.0,7125043500000.0,6442378600000.0,7234910700000.0,7227891500000.0,6588640000000.0,7122859000000.0,7130017000000.0,7004561600000.0,7107254000000.0,6867412000000.0
2030.0,6988084300000.0,6974082600000.0,5898775000000.0,7140507400000.0,7089068400000.0,6329650400000.0,7234071000000.0,7233866000000.0,6527095700000.0,7103051000000.0,7111861300000.0,6986497000000.0,7072487000000.0,6795016300000.0
2031.0,6955620400000.0,6952689000000.0,5778438600000.0,7121351500000.0,7060194300000.0,6217245000000.0,7235854400000.0,7221825500000.0,6395198400000.0,7100366300000.0,7076130600000.0,6912686000000.0,7063336000000.0,6721036000000.0
2032.0,6923374600000.0,6883824000000.0,5645248000000.0,7048385300000.0,7071843000000.0,6083806000000.0,7222413000000.0,7216176300000.0,6292232500000.0,7075128700000.0,7064124400000.0,6871435000000.0,7018368700000.0,6647378300000.0
2033.0,6876840000000.0,6847230000000.0,5520729000000.0,7033043600000.0,7074197500000.0,5992853500000.0,7207289000000.0,7198558000000.0,6191583300000.0,7036013000000.0,7034649400000.0,6843298000000.0,6986803000000.0,6547297000000.0
2034.0,6794891000000.0,6823491000000.0,5385273500000.0,7018295300000.0,7080090000000.0,5903565700000.0,7197268000000.0,7200816000000.0,6064540500000.0,7036970500000.0,7038545000000.0,6827314500000.0,6960713300000.0,6436861500000.0
2035.0,6726011600000.0,6786976000000.0,5242773000000.0,6984648000000.0,7099129000000.0,5765256400000.0,7174404700000.0,7205496600000.0,5947358400000.0,7037761600000.0,7014058600000.0,6766477700000.0,6898834700000.0,6335311000000.0
2036.0,6656239000000.0,6738198700000.0,5088251000000.0,6959908500000.0,7111379000000.0,5694633000000.0,7157053400000.0,7205189000000.0,5865705000000.0,7018949600000.0,6996080700000.0,6728998000000.0,6876491000000.0,6235956400000.0
2037.0,6620917500000.0,6684372000000.0,4985985000000.0,6949302000000.0,7093407400000.0,5589595000000.0,7145644000000.0,7196994700000.0,5761592000000.0,7004251000000.0,6981993600000.0,6652498500000.0,6854021000000.0,6155100000000.0
