time,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL,IPSL-CM6A-LR
2000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0
2001.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0
2002.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0
2003.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0
2004.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0
2005.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0
2006.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0
2007.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0
2008.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0
2009.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0
2010.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0
2011.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0
2012.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0
2013.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0
2014.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0
2015.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0
2016.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0
2017.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0
2018.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0
2019.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0
2020.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0
2021.0,7308670700000.0,7267761000000.0,7243546000000.0,7242234000000.0
2022.0,7295282400000.0,7252400400000.0,7159128000000.0,7204609500000.0
2023.0,7240698000000.0,7217337600000.0,7110949600000.0,7178780000000.0
2024.0,7234150500000.0,7213372000000.0,7007744000000.0,7176442000000.0
2025.0,7243060000000.0,7199252300000.0,6880725300000.0,7122254300000.0
2026.0,7187345700000.0,7182050400000.0,6753153000000.0,7117313000000.0
2027.0,7125877700000.0,7137525000000.0,6608437400000.0,7118346000000.0
2028.0,7081525000000.0,7110035000000.0,6488342400000.0,7060887400000.0
2029.0,7032004000000.0,7058298500000.0,6363985500000.0,6989887300000.0
2030.0,6967785400000.0,7046460000000.0,6188032000000.0,6946147500000.0
2031.0,6914928300000.0,7009426000000.0,6070081000000.0,6888884300000.0
2032.0,6869471500000.0,6993961000000.0,5963623000000.0,6834300000000.0
2033.0,6844213000000.0,6974696000000.0,5865988400000.0,6792164000000.0
2034.0,6784116300000.0,6956390000000.0,5728977000000.0,6729989400000.0
2035.0,6764300300000.0,6945867000000.0,5595363500000.0,6681127300000.0
2036.0,6700816000000.0,6931428700000.0,5497790400000.0,6640016300000.0
2037.0,6682985000000.0,6895225500000.0,5347382700000.0,6598240500000.0
2038.0,6663187000000.0,6869505500000.0,5152483000000.0,6538852300000.0
2039.0,6599830700000.0,6837064700000.0,4964964400000.0,6462604000000.0
2040.0,6555061700000.0,6793878600000.0,4763931000000.0,6446727000000.0
2041.0,6522046000000.0,6764051000000.0,4561952600000.0,6400444000000.0
2042.0,6493176300000.0,6738170000000.0,4427332000000.0,6376376500000.0
2043.0,6424002300000.0,6723966300000.0,4289028200000.0,6359227600000.0
2044.0,6366985000000.0,6687897400000.0,4151909300000.0,6283862700000.0
2045.0,6310426300000.0,6645915600000.0,4005588000000.0,6220478400000.0
2046.0,6297824500000.0,6612084000000.0,3908703400000.0,6154521400000.0
2047.0,6265242600000.0,6602740500000.0,3780172000000.0,6086515000000.0
2048.0,6167917500000.0,6580463000000.0,3658343300000.0,6031932400000.0
2049.0,6137446000000.0,6570555500000.0,3531108300000.0,5973534000000.0
2050.0,6068802000000.0,6533733700000.0,3411316600000.0,5882147000000.0
2051.0,6025161000000.0,6527217000000.0,3268015300000.0,5862419600000.0
2052.0,5993236000000.0,6467113500000.0,3194260800000.0,5805789700000.0
