time,CNRM-CM6-1,IPSL-CM6A-LR,MPI-ESM1-2-HR,TAIESM1,MIROC6,CESM2-WACCM,CANESM5,GFDL-ESM4,UKESM1-0-LL,CNRM-ESM2-1,EC-EARTH3,KACE-1-0-G,MRI-ESM2-0
2028.0,7214596600000.0,7127625600000.0,7155207400000.0,7110804000000.0,6972070400000.0,7245329000000.0,6702184300000.0,7177532600000.0,6488733000000.0,7251968000000.0,6385986000000.0,7183241600000.0,7159009500000.0
2029.0,7208184600000.0,7080787000000.0,7135072600000.0,7096456700000.0,6931306000000.0,7214737700000.0,6583210700000.0,7148155000000.0,6378484700000.0,7248758000000.0,6250186700000.0,7144977500000.0,7098831700000.0
2030.0,7220286700000.0,7067232400000.0,7134686000000.0,7060304000000.0,6912065000000.0,7213820700000.0,6451725000000.0,7127101000000.0,6227829000000.0,7226514700000.0,6115444000000.0,7118480000000.0,7059389000000.0
2031.0,7220291400000.0,7031409000000.0,7115485000000.0,7030194000000.0,6902412500000.0,7214384300000.0,6350724000000.0,7116129000000.0,6110935000000.0,7222725700000.0,5960538000000.0,7071331000000.0,7027798600000.0
2032.0,7210555000000.0,7027532000000.0,7103667000000.0,6979159300000.0,6851492600000.0,7196724000000.0,6214066400000.0,7117869000000.0,5970590700000.0,7229087000000.0,5843485000000.0,6992210400000.0,6930042000000.0
2033.0,7204151000000.0,7015761000000.0,7090386500000.0,6925637000000.0,6799403000000.0,7210733700000.0,6140411000000.0,7117979000000.0,5826161400000.0,7203258400000.0,5737975600000.0,6902229500000.0,6932256500000.0
2034.0,7196367000000.0,6971378400000.0,7039649000000.0,6862187000000.0,6722132400000.0,7176552000000.0,6006923000000.0,7066431000000.0,5671845000000.0,7199036000000.0,5619665000000.0,6870972000000.0,6890617000000.0
2035.0,7173054000000.0,6889031600000.0,7022679000000.0,6801883400000.0,6669148000000.0,7133753500000.0,5855165000000.0,7052789000000.0,5520948700000.0,7185075500000.0,5504243000000.0,6807183000000.0,6828692300000.0
2036.0,7145891000000.0,6821623000000.0,7013051400000.0,6746431000000.0,6619470000000.0,7119983600000.0,5717702000000.0,7063491600000.0,5414703300000.0,7167468000000.0,5383720500000.0,6770996500000.0,6804400500000.0
2037.0,7128371000000.0,6734625600000.0,6989414000000.0,6680843600000.0,6557985700000.0,7108475000000.0,5606735300000.0,7048992000000.0,5255802700000.0,7150434000000.0,5261692000000.0,6724910000000.0,6767826700000.0
2038.0,7137733400000.0,6658891000000.0,6975385500000.0,6640388500000.0,6488431000000.0,7063793600000.0,5466948600000.0,7039717000000.0,5132802000000.0,7156641000000.0,5078907400000.0,6647423000000.0,6668966000000.0
2039.0,7117818000000.0,6571775500000.0,6939371000000.0,6546047000000.0,6381186300000.0,7053691000000.0,5317588000000.0,7011381500000.0,4991881300000.0,7170169000000.0,4903394600000.0,6571046000000.0,6638691400000.0
2040.0,7102010000000.0,6515900000000.0,6916570300000.0,6468163000000.0,6327958500000.0,7029467400000.0,5189118000000.0,6992239000000.0,4864404000000.0,7160048600000.0,4740614000000.0,6518584400000.0,6569975600000.0
2041.0,7066174400000.0,6472895300000.0,6864535000000.0,6359675000000.0,6264074000000.0,7010342000000.0,5054556300000.0,6968693500000.0,4766636000000.0,7119903400000.0,4555071300000.0,6453092000000.0,6517787000000.0
2042.0,7053725700000.0,6440995500000.0,6817539700000.0,6281131000000.0,6179032000000.0,6982288300000.0,4914743300000.0,6946819700000.0,4660825400000.0,7100697000000.0,4419548000000.0,6383077400000.0,6477046600000.0
2043.0,7025523000000.0,6382964000000.0,6762241000000.0,6218258000000.0,6115920000000.0,6951155500000.0,4795166400000.0,6920124000000.0,4540328300000.0,7131921000000.0,4283982400000.0,6253477000000.0,6417534000000.0
2044.0,6979160000000.0,6353773000000.0,6752278000000.0,6149787000000.0,6028818000000.0,6952781300000.0,4665167600000.0,6915000600000.0,4414081300000.0,7128572500000.0,4126664300000.0,6151731700000.0,6361156400000.0
2045.0,6916942600000.0,6278471000000.0,6702629000000.0,6060308000000.0,5958443000000.0,6892965000000.0,4509622300000.0,6876180000000.0,4306862900000.0,7111459700000.0,3992756700000.0,6047261500000.0,6311556700000.0
2046.0,6889136500000.0,6253212000000.0,6645513000000.0,5988291700000.0,5896202600000.0,6881126400000.0,4385932000000.0,6849204600000.0,4190711600000.0,7088339000000.0,3851750500000.0,5936073000000.0,6271991000000.0
2047.0,6855208700000.0,6189184000000.0,6600713600000.0,5939045300000.0,5805404000000.0,6859471000000.0,4246310000000.0,6802687000000.0,4043480200000.0,7049190000000.0,3698074000000.0,5817005000000.0,6164141000000.0
2048.0,6834080400000.0,6074271000000.0,6554203500000.0,5857884500000.0,5710076700000.0,6806153000000.0,4118347800000.0,6757615000000.0,3933676000000.0,7015229000000.0,3549773400000.0,5689393500000.0,6099404600000.0
2049.0,6771349400000.0,5973908000000.0,6526440000000.0,5760622300000.0,5632241400000.0,6762394600000.0,3959726000000.0,6721166600000.0,3791557000000.0,6970148400000.0,3426637300000.0,5556294000000.0,6006107000000.0
2050.0,6729836300000.0,5942405000000.0,6495757000000.0,5631476500000.0,5562347600000.0,6748602600000.0,3801491400000.0,6694663000000.0,3642844800000.0,6945111500000.0,3296010000000.0,5420698600000.0,5915046600000.0
2051.0,6641553000000.0,5909998700000.0,6440109000000.0,5534748500000.0,5481976000000.0,6735633300000.0,3661024200000.0,6684587000000.0,3490421100000.0,6936561500000.0,3162120700000.0,5355723600000.0,5853668700000.0
2052.0,6590303300000.0,5872013000000.0,6397412000000.0,5444086000000.0,5400503000000.0,6729986700000.0,3509403300000.0,6622178400000.0,3364353500000.0,6928944000000.0,3059282600000.0,5234738300000.0,5771514300000.0
2053.0,6533052000000.0,5826575600000.0,6361021000000.0,5343444700000.0,5296275000000.0,6708715300000.0,3398062000000.0,6554511000000.0,3183862600000.0,6929630000000.0,2984142000000.0,5145848000000.0,5657073000000.0
2054.0,6466232600000.0,5746265000000.0,6289878000000.0,5258202000000.0,5176292300000.0,6655497000000.0,3256056000000.0,6493095600000.0,3016483400000.0,6900808000000.0,2867883100000.0,5041888000000.0,5584975300000.0
2055.0,6391983500000.0,5698439000000.0,6231367000000.0,5165674400000.0,5069431000000.0,6636351500000.0,3099526700000.0,6462109000000.0,2828191400000.0,6854147000000.0,2702090200000.0,4942742000000.0,5496073400000.0
2056.0,6303581700000.0,5604825400000.0,6207979000000.0,5089829000000.0,4959878000000.0,6613582000000.0,2963903300000.0,6442399000000.0,2631921000000.0,6795608000000.0,2587650700000.0,4825551000000.0,5411415000000.0
2057.0,6231637400000.0,5529310600000.0,6127396000000.0,4985267000000.0,4830945300000.0,6612189700000.0,2817483900000.0,6456655500000.0,2463325500000.0,6747279300000.0,2460623300000.0,4708699700000.0,5302380000000.0
2058.0,6128469000000.0,5469983000000.0,6048184300000.0,4856707000000.0,4706126500000.0,6584558000000.0,2677602000000.0,6416164700000.0,2293456700000.0,6743842600000.0,2325209700000.0,4599854000000.0,5177008500000.0
2059.0,6013697000000.0,5406972700000.0,6019083000000.0,4718078000000.0,4587797000000.0,6534451400000.0,2545574000000.0,6367308400000.0,2125569500000.0,6679711700000.0,2193824300000.0,4527328000000.0,5062319000000.0
2060.0,5962365700000.0,5291015000000.0,5972794000000.0,4593418000000.0,4484798300000.0,6515317000000.0,2423161000000.0,6334788400000.0,1952625100000.0,6654169000000.0,2049997000000.0,4424756000000.0,4978730000000.0
2061.0,5887557600000.0,5221296000000.0,5915335000000.0,4494221000000.0,4361180200000.0,6462671000000.0,2291587400000.0,6283455000000.0,1802774800000.0,6600287000000.0,1939787600000.0,4311760800000.0,4858147000000.0
2062.0,5798972400000.0,5164100000000.0,5845676000000.0,4387435700000.0,4255205300000.0,6458418700000.0,2157777300000.0,6240301000000.0,1682364400000.0,6496904000000.0,1823510100000.0,4216762000000.0,4789314000000.0
2063.0,5738465300000.0,5081563000000.0,5814623400000.0,4276310800000.0,4154124700000.0,6428630000000.0,2038040500000.0,6183086000000.0,1548494300000.0,6428164600000.0,1713303500000.0,4143227300000.0,4696282000000.0
2064.0,5654768000000.0,4996110000000.0,5775747400000.0,4176162000000.0,4061343300000.0,6352632500000.0,1949785100000.0,6146787000000.0,1430345200000.0,6380092700000.0,1578580300000.0,4061352200000.0,4623440500000.0
2065.0,5560095000000.0,4941986400000.0,5723330000000.0,4053400600000.0,3917384800000.0,6313781000000.0,1844857900000.0,6117855000000.0,1332215200000.0,6348456600000.0,1457110000000.0,3962917600000.0,4504195000000.0
2066.0,5457015500000.0,4870337000000.0,5685092300000.0,3949698000000.0,3816102800000.0,6244535400000.0,1733055200000.0,6054070000000.0,1227705200000.0,6320443400000.0,1321101400000.0,3884682800000.0,4400529000000.0
2067.0,5355984700000.0,4792193000000.0,5646671400000.0,3863952200000.0,3716240600000.0,6185647300000.0,1617152200000.0,6020129000000.0,1119168400000.0,6254946700000.0,1231439500000.0,3789310000000.0,4352619800000.0
2068.0,5281442400000.0,4739738000000.0,5593090000000.0,3739921000000.0,3614078100000.0,6134457400000.0,1514713600000.0,5958756000000.0,989290900000.0,6178151600000.0,1150530000000.0,3732471300000.0,4251690000000.0
2069.0,5142923000000.0,4664622000000.0,5545351700000.0,3617132600000.0,3499633000000.0,6094789000000.0,1416820600000.0,5921107000000.0,866645100000.0,6125088000000.0,1045857900000.0,3655775800000.0,4150235500000.0
2070.0,5039023000000.0,4574251300000.0,5489754000000.0,3499909000000.0,3365925600000.0,6006622400000.0,1313430800000.0,5854513300000.0,738726700000.0,6018854000000.0,964756770000.0,3542738000000.0,4028763200000.0
2071.0,4938992000000.0,4531613000000.0,5434684000000.0,3380803500000.0,3238323600000.0,5948643500000.0,1204987800000.0,5785818500000.0,631645100000.0,5923586000000.0,879909300000.0,3470356400000.0,3907063400000.0
2072.0,4805812600000.0,4470306500000.0,5381986000000.0,3248581500000.0,3091995300000.0,5874495500000.0,1104310600000.0,5733179000000.0,544937600000.0,5812808000000.0,799120700000.0,3371326800000.0,3826855000000.0
2073.0,4692014000000.0,4405170000000.0,5337844300000.0,3137625400000.0,2965297400000.0,5821181000000.0,1009164200000.0,5684232000000.0,471824470000.0,5704047400000.0,721665060000.0,3271752700000.0,3740515200000.0
2074.0,4557378000000.0,4327300100000.0,5299711000000.0,3005555700000.0,2841981000000.0,5747902500000.0,926691800000.0,5614566600000.0,412648570000.0,5584503400000.0,660588500000.0,3167328000000.0,3618571800000.0
2075.0,4429252700000.0,4254727000000.0,5255828300000.0,2883803000000.0,2720403800000.0,5685293600000.0,862025500000.0,5545083000000.0,356174700000.0,5477988000000.0,603926360000.0,3077341200000.0,3557573300000.0
2076.0,4279170000000.0,4186923600000.0,5211750400000.0,2769421300000.0,2605759900000.0,5651181300000.0,794446460000.0,5459020300000.0,304935670000.0,5370484400000.0,559984800000.0,2982270000000.0,3422380600000.0
2077.0,4155183500000.0,4120800400000.0,5151429500000.0,2633345300000.0,2508643600000.0,5591675000000.0,736800400000.0,5360219300000.0,260964200000.0,5252856700000.0,515206900000.0,2876446000000.0,3299158300000.0
2078.0,3994012000000.0,4050737200000.0,5106091700000.0,2516075200000.0,2430203000000.0,5522807000000.0,686011840000.0,5283776000000.0,227637250000.0,5139083000000.0,472378150000.0,2799867000000.0,3195406000000.0
2079.0,3853157000000.0,3975845200000.0,5076717400000.0,2420345400000.0,2327338300000.0,5473089600000.0,631025430000.0,5224173400000.0,192469630000.0,5020065000000.0,428406440000.0,2739407400000.0,3108898900000.0
2080.0,3685475700000.0,3911635700000.0,5047053000000.0,2319942200000.0,2208376800000.0,5442844000000.0,582021200000.0,5189021500000.0,162393880000.0,4899062000000.0,383398180000.0,2642491700000.0,2994212000000.0
2081.0,3537259000000.0,3815971700000.0,5005742400000.0,2243834400000.0,2127002300000.0,5368853300000.0,530331570000.0,5106467000000.0,131870695000.0,4776465500000.0,343003820000.0,2536547500000.0,2873972800000.0
2082.0,3353826600000.0,3753930000000.0,4960227400000.0,2182522300000.0,2026636000000.0,5332571000000.0,491832740000.0,5056212500000.0,106951700000.0,4694262000000.0,307773150000.0,2459479300000.0,2779404000000.0
2083.0,3173397600000.0,3688769500000.0,4925830000000.0,2091793500000.0,1956005000000.0,5283104000000.0,447249870000.0,4991807400000.0,84510660000.0,4602673000000.0,275768740000.0,2398190300000.0,2679724600000.0
2084.0,3022397000000.0,3630242200000.0,4883190000000.0,2005752700000.0,1885655400000.0,5219824000000.0,407069130000.0,4925577000000.0,64826860000.0,4498102000000.0,249408700000.0,2313927300000.0,2588825000000.0
2085.0,2854490200000.0,3544813700000.0,4825526300000.0,1927910900000.0,1808598400000.0,5133282000000.0,365970550000.0,4898425000000.0,48591966000.0,4381067400000.0,214412800000.0,2241482200000.0,2517015700000.0
2086.0,2708918200000.0,3454633800000.0,4752246600000.0,1845590600000.0,1735939900000.0,5043355000000.0,325027230000.0,4851627500000.0,37166903000.0,4266538000000.0,189781590000.0,2173576400000.0,2429407000000.0
2087.0,2554630000000.0,3362041400000.0,4705547700000.0,1766678000000.0,1665407500000.0,4958871000000.0,294528580000.0,4799394000000.0,27801260000.0,4146378000000.0,160130150000.0,2113435200000.0,2357879400000.0
2088.0,2431764100000.0,3270404700000.0,4638974000000.0,1680288300000.0,1606603500000.0,4885584000000.0,265144650000.0,4714195300000.0,20502974000.0,4063814500000.0,136282055000.0,2064267300000.0,2316022000000.0
2089.0,2272618000000.0,3194345200000.0,4587413000000.0,1599872600000.0,1536905000000.0,4844267500000.0,242434800000.0,4660021700000.0,15425370000.0,3933678900000.0,115399850000.0,1984163000000.0,2246745000000.0
2090.0,2123396500000.0,3093201700000.0,4492831000000.0,1529256300000.0,1478651500000.0,4767973000000.0,225734930000.0,4600378000000.0,11611575000.0,3800912600000.0,98411880000.0,1925381600000.0,2184281800000.0
2091.0,1953584400000.0,3020353700000.0,4422741000000.0,1470560300000.0,1432558900000.0,4705086300000.0,203857350000.0,4522785000000.0,8154591700.0,3673936600000.0,83033640000.0,1865329000000.0,2094534900000.0
2092.0,1806632400000.0,2945550600000.0,4364360700000.0,1403822400000.0,1369077800000.0,4640180500000.0,185695190000.0,4437737700000.0,5469737000.0,3516008800000.0,69352070000.0,1797846900000.0,2034457100000.0
2093.0,1648625600000.0,2894778300000.0,4315311200000.0,1321221900000.0,1313145900000.0,4581811600000.0,168156770000.0,4376537600000.0,3646358500.0,3374181300000.0,55707680000.0,1713287700000.0,1965726900000.0
2094.0,1493388400000.0,2822333300000.0,4270829900000.0,1249875500000.0,1253897800000.0,4503341400000.0,153266730000.0,4307750700000.0,2505391600.0,3190563000000.0,43955760000.0,1649734000000.0,1919419300000.0
2095.0,1374059400000.0,2737525000000.0,4230741200000.0,1176776700000.0,1196086000000.0,4435148000000.0,138876800000.0,4268853800000.0,1449128700.0,3012936300000.0,33440793000.0,1587716000000.0,1883493800000.0
2096.0,1267392400000.0,2667408800000.0,4184930800000.0,1105028600000.0,1147726200000.0,4378842400000.0,126302930000.0,4195418400000.0,640324300.0,2847258000000.0,25277895000.0,1516904900000.0,1840642300000.0
2097.0,1150707600000.0,2601777000000.0,4143344300000.0,1029899000000.0,1085155250000.0,4286763500000.0,111768270000.0,4162002000000.0,316855840.0,2687021000000.0,18296748000.0,1436995400000.0,1787369100000.0
2098.0,1053930360000.0,2520187700000.0,4072472000000.0,962760500000.0,1039680600000.0,4171305300000.0,100037300000.0,4115923500000.0,294620400.0,2512329400000.0,11754184000.0,1360916500000.0,1725453000000.0
2099.0,953873300000.0,2460521000000.0,4029995800000.0,912133650000.0,988267000000.0,4093750000000.0,87866930000.0,4041823200000.0,274033900.0,2335278000000.0,6817784000.0,1289842700000.0,1662666900000.0
2100.0,864600260000.0,2405856000000.0,3969708700000.0,860709260000.0,930095300000.0,3991272200000.0,75435350000.0,4003093300000.0,256006720.0,2138327200000.0,4887229000.0,1226320800000.0,1620301800000.0
