time,UKESM1-0-LL,GFDL-ESM4,KACE-1-0-G,MRI-ESM2-0,TAIESM1,IPSL-CM6A-LR,MPI-ESM1-2-HR,IITM-ESM,CESM2-WACCM
2000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0
2001.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0
2002.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0
2003.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0
2004.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0
2005.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0
2006.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0
2007.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0
2008.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0
2009.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0
2010.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0
2011.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0
2012.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0
2013.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0
2014.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0
2015.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0
2016.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0,7347848000000.0
2017.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0,7348971000000.0
2018.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0,7338589000000.0
2019.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0,7345075700000.0
2020.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0,7313380000000.0
2021.0,7207372500000.0,7291260600000.0,7287581000000.0,7318398300000.0,7259649000000.0,7279229000000.0,7314209000000.0,7320049000000.0,7327748000000.0
2022.0,7093143000000.0,7257114300000.0,7261569000000.0,7305285300000.0,7213854000000.0,7210055000000.0,7300558000000.0,7338325400000.0,7320468000000.0
2023.0,6965893000000.0,7233272000000.0,7226101000000.0,7287909000000.0,7134200000000.0,7208313600000.0,7262091300000.0,7327944500000.0,7295992000000.0
2024.0,6713017600000.0,7200947300000.0,7192113000000.0,7266224300000.0,7090115400000.0,7175749500000.0,7252560300000.0,7323025700000.0,7283077500000.0
2025.0,6542514500000.0,7168310000000.0,7168707000000.0,7228381000000.0,7057026000000.0,7128408000000.0,7223435000000.0,7297210000000.0,7270462000000.0
2026.0,6445147400000.0,7156320400000.0,7147106000000.0,7159697400000.0,7016471300000.0,7123296600000.0,7208904000000.0,7286809000000.0,7257398000000.0
2027.0,6352717000000.0,7121489000000.0,7139580000000.0,7094408000000.0,6971457000000.0,7112271000000.0,7187806000000.0,7292280400000.0,7241549000000.0
2028.0,6273605000000.0,7088087500000.0,7115435400000.0,7056623400000.0,6942539000000.0,7066557000000.0,7137405700000.0,7290813000000.0,7200115000000.0
2029.0,6140555000000.0,7070339000000.0,7090926000000.0,6996801000000.0,6861211300000.0,7041083500000.0,7120229000000.0,7281759000000.0,7183947000000.0
2030.0,6018822000000.0,7050083000000.0,7071479000000.0,6942572400000.0,6841126400000.0,6968295600000.0,7090056700000.0,7283579000000.0,7176395400000.0
2031.0,5876867000000.0,7046558600000.0,7023860600000.0,6920422300000.0,6787921000000.0,6931249000000.0,7076356000000.0,7280266300000.0,7176221000000.0
2032.0,5714521600000.0,7001462500000.0,6950443500000.0,6874357000000.0,6752781700000.0,6838892400000.0,7084690000000.0,7258770000000.0,7180036600000.0
2033.0,5622214000000.0,6983596400000.0,6882886400000.0,6854076000000.0,6714427000000.0,6789740000000.0,7073081000000.0,7257781700000.0,7156200400000.0
2034.0,5509117600000.0,6977264000000.0,6810085400000.0,6811356000000.0,6635391500000.0,6759732000000.0,7023689000000.0,7232523000000.0,7130852000000.0
2035.0,5418923300000.0,6960239300000.0,6757882500000.0,6805650000000.0,6587755000000.0,6729530600000.0,7019549000000.0,7229556700000.0,7111857000000.0
2036.0,5273935000000.0,6901065600000.0,6690088400000.0,6806815000000.0,6583818000000.0,6679962300000.0,6978568000000.0,7223006700000.0,7088726600000.0
2037.0,5118350000000.0,6839887500000.0,6645378700000.0,6775717000000.0,6501044300000.0,6630934600000.0,6951640000000.0,7189681400000.0,7088532600000.0
2038.0,4982703000000.0,6825272400000.0,6547827600000.0,6763836000000.0,6425849000000.0,6597180400000.0,6913159300000.0,7171526000000.0,7058360000000.0
2039.0,4830902000000.0,6784248400000.0,6492255000000.0,6682474000000.0,6343731700000.0,6545975000000.0,6913034600000.0,7147593700000.0,7044304000000.0
2040.0,4712653000000.0,6768716400000.0,6439847000000.0,6624308600000.0,6280389300000.0,6513181600000.0,6906987400000.0,7128861400000.0,7046812000000.0
2041.0,4557014000000.0,6737371300000.0,6375892000000.0,6539869000000.0,6225897000000.0,6479677000000.0,6903960700000.0,7100600700000.0,7010661700000.0
2042.0,4384439000000.0,6697146000000.0,6282055500000.0,6492820300000.0,6165017000000.0,6410789700000.0,6888669300000.0,7063172000000.0,6991301300000.0
2043.0,4231981400000.0,6672641000000.0,6158262000000.0,6413419000000.0,6076726000000.0,6380039000000.0,6896164000000.0,7049051000000.0,7009325300000.0
2044.0,4101129400000.0,6668814400000.0,6092988400000.0,6375045000000.0,6015485500000.0,6349109000000.0,6885825000000.0,7012792000000.0,6965826000000.0
2045.0,3977265800000.0,6632224000000.0,6037157000000.0,6298882500000.0,5925977500000.0,6309980700000.0,6870401000000.0,6991319000000.0,6939411000000.0
2046.0,3868018900000.0,6586756500000.0,5967243600000.0,6185081000000.0,5841574400000.0,6257990000000.0,6858244000000.0,6933911700000.0,6917889000000.0
2047.0,3727555300000.0,6540357000000.0,5876917700000.0,6096689300000.0,5758289000000.0,6188911600000.0,6832624500000.0,6893058000000.0,6901248000000.0
2048.0,3550281200000.0,6487921000000.0,5779891400000.0,6034403400000.0,5692065000000.0,6130260500000.0,6806705300000.0,6857467400000.0,6881849400000.0
