time,CANESM5,MRI-ESM2-0,CESM2-WACCM,IPSL-CM6A-LR
2000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0
2001.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0
2002.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0
2003.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0
2004.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0
2005.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0
2006.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0
2007.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0
2008.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0
2009.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0
2010.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0
2011.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0
2012.0,954754000000.0,954754000000.0,954754000000.0,954754000000.0
2013.0,950906700000.0,950906700000.0,950906700000.0,950906700000.0
2014.0,930116800000.0,930116800000.0,930116800000.0,930116800000.0
2015.0,916264500000.0,916264500000.0,916264500000.0,916264500000.0
2016.0,899065100000.0,899065100000.0,899065100000.0,899065100000.0
2017.0,887950340000.0,887950340000.0,887950340000.0,887950340000.0
2018.0,877365040000.0,877365040000.0,877365040000.0,877365040000.0
2019.0,870006850000.0,870006850000.0,870006850000.0,870006850000.0
2020.0,854413400000.0,854413400000.0,854413400000.0,854413400000.0
2021.0,832531660000.0,837127500000.0,834166000000.0,825332660000.0
2022.0,815261400000.0,829527700000.0,799260740000.0,804303340000.0
2023.0,800126500000.0,814805400000.0,777505730000.0,787872900000.0
2024.0,777848360000.0,788820600000.0,758531000000.0,775383740000.0
2025.0,758183800000.0,762854050000.0,729428600000.0,759980100000.0
2026.0,740270600000.0,740516040000.0,709550100000.0,734909960000.0
2027.0,724141000000.0,732468940000.0,688169400000.0,719793900000.0
2028.0,702707470000.0,714525970000.0,661061600000.0,690038400000.0
2029.0,677370000000.0,694122250000.0,631009400000.0,666631100000.0
2030.0,651215200000.0,676157800000.0,599238300000.0,639007460000.0
2031.0,628267900000.0,653617900000.0,584636100000.0,604586800000.0
2032.0,596970600000.0,628231600000.0,564524940000.0,585401400000.0
2033.0,570207900000.0,608081000000.0,541531470000.0,568435000000.0
2034.0,550685200000.0,599264700000.0,517004030000.0,559995400000.0
2035.0,535059860000.0,592879000000.0,487447600000.0,543943400000.0
2036.0,513912700000.0,579109650000.0,467317800000.0,528448880000.0
2037.0,497526050000.0,565487600000.0,445229470000.0,506695500000.0
2038.0,475151960000.0,540353100000.0,426356000000.0,495996080000.0
2039.0,457641400000.0,525319700000.0,410752940000.0,476245920000.0
2040.0,430853620000.0,502720900000.0,398302870000.0,458395030000.0
2041.0,403505770000.0,481060900000.0,380042540000.0,441073630000.0
2042.0,381783670000.0,458350030000.0,359543340000.0,412963930000.0
2043.0,360353960000.0,444510830000.0,345869780000.0,393443800000.0
2044.0,345046700000.0,430413550000.0,332554930000.0,372243960000.0
2045.0,330173150000.0,408464200000.0,315327220000.0,351920550000.0
2046.0,311823660000.0,393436070000.0,302635450000.0,340184500000.0
2047.0,297361570000.0,377566230000.0,287854920000.0,324573660000.0
2048.0,285145960000.0,359527500000.0,269439580000.0,312664980000.0
2049.0,271678400000.0,343918770000.0,255585710000.0,303473980000.0
2050.0,259613200000.0,330822750000.0,237509900000.0,287041700000.0
2051.0,246366440000.0,312287260000.0,224483000000.0,271926690000.0
2052.0,230724880000.0,301852300000.0,211051540000.0,261286460000.0
2053.0,222097130000.0,287361500000.0,202017650000.0,248542070000.0
2054.0,211787100000.0,274899080000.0,188923080000.0,233623570000.0
2055.0,202514500000.0,261979230000.0,177905570000.0,221649700000.0
2056.0,189960440000.0,250286670000.0,164670260000.0,214065950000.0
2057.0,177576180000.0,246028060000.0,150807670000.0,201153580000.0
2058.0,167095370000.0,236775010000.0,137901240000.0,190382100000.0
2059.0,156027670000.0,228151150000.0,129774780000.0,181931130000.0
2060.0,142412150000.0,219573270000.0,121865994000.0,175919380000.0
2061.0,133048710000.0,212051640000.0,114977200000.0,165351300000.0
2062.0,125552660000.0,204732860000.0,104973574000.0,155678430000.0
2063.0,115199560000.0,198010000000.0,96616970000.0,147108480000.0
2064.0,105062154000.0,190689170000.0,89797526000.0,138045600000.0
2065.0,97903520000.0,187458980000.0,81944445000.0,130544615000.0
2066.0,88708415000.0,182730720000.0,76963380000.0,123746770000.0
2067.0,81302030000.0,176640740000.0,71409900000.0,116847485000.0
2068.0,76061010000.0,173144420000.0,64726258000.0,109933210000.0
2069.0,70535130000.0,167115180000.0,60079860000.0,102569130000.0
2070.0,64997118000.0,162750140000.0,55620710000.0,97087660000.0
2071.0,58894080000.0,158987040000.0,52571242000.0,91953040000.0
2072.0,53096354000.0,154679820000.0,49886370000.0,85057030000.0
2073.0,49609458000.0,147533320000.0,45445116000.0,79599750000.0
2074.0,44615565000.0,144786620000.0,42025920000.0,73295585000.0
2075.0,41594660000.0,140825540000.0,39377953000.0,67398800000.0
2076.0,38112633000.0,138924820000.0,37277204000.0,64792003000.0
2077.0,35780630000.0,134691190000.0,35079406000.0,60526993000.0
2078.0,32699996000.0,131703456000.0,32739090000.0,56494772000.0
2079.0,31147995000.0,126950770000.0,31405392000.0,52719110000.0
2080.0,29332523000.0,123256560000.0,29266622000.0,49509917000.0
2081.0,27963374000.0,119867250000.0,27549649000.0,46572982000.0
2082.0,27059507000.0,113921475000.0,26378287000.0,43836998000.0
2083.0,25515885000.0,111861735000.0,25103740000.0,41622650000.0
2084.0,24396171000.0,111765400000.0,23877112000.0,39535677000.0
2085.0,24127224000.0,108718670000.0,23001307000.0,37778723000.0
2086.0,23596974000.0,106463790000.0,22649110000.0,36498534000.0
2087.0,22207461000.0,103291860000.0,21744636000.0,34697056000.0
2088.0,21208517000.0,101404180000.0,21893726000.0,32573751000.0
2089.0,20401410000.0,98517340000.0,21541648000.0,33005890000.0
2090.0,20345068000.0,97670210000.0,20925573000.0,31669350000.0
2091.0,19998114000.0,94215270000.0,20409130000.0,31123540000.0
2092.0,19758414000.0,92897520000.0,20003985000.0,30416562000.0
2093.0,18868054000.0,92491640000.0,20132700000.0,30120104000.0
2094.0,18858082000.0,91448705000.0,19369538000.0,28870873000.0
2095.0,18753772000.0,90204310000.0,19090487000.0,28646510000.0
2096.0,19140030000.0,88086490000.0,19308431000.0,28010684000.0
2097.0,18377978000.0,86776504000.0,19066825000.0,27315698000.0
2098.0,17857186000.0,85746080000.0,19272495000.0,26497726000.0
2099.0,18023993000.0,85842080000.0,19066687000.0,26114482000.0
2100.0,18170558000.0,85249560000.0,19313965000.0,25792932000.0
