time,NORESM1-M,GFDL-CM3,CCSM4,CESM1-CAM5,CSIRO-MK3-6-0,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5,IPSL-CM5A-LR,CANESM2
2000.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0
2001.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0
2002.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0
2003.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0
2004.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0
2005.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0
2006.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0
2007.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0
2008.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0
2009.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0
2010.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0
2011.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0
2012.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0
2013.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0
2014.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0
2015.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0
2016.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0
2017.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0
2018.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0
2019.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0
2020.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0
2021.0,2652856800.0,2648195300.0,2650552300.0,2640451600.0,2648617700.0,2642887200.0,2675738600.0,2649583400.0,2656411100.0,2670629400.0,2651825200.0
2022.0,2648460300.0,2629955800.0,2637789200.0,2643720400.0,2645184500.0,2631335400.0,2656706000.0,2672907000.0,2640862000.0,2654893300.0,2649118500.0
2023.0,2668295000.0,2611664000.0,2623482400.0,2632568800.0,2634361600.0,2617801200.0,2649965800.0,2638154500.0,2634769400.0,2631021000.0,2666760000.0
2024.0,2640461600.0,2596891400.0,2611635500.0,2625161000.0,2628597500.0,2618645000.0,2661475000.0,2637193000.0,2629169000.0,2619324200.0,2641821400.0
2025.0,2635534000.0,2573676800.0,2610654500.0,2603816200.0,2620362200.0,2607184000.0,2657452800.0,2623305700.0,2647241000.0,2630456800.0,2622248400.0
2026.0,2623569000.0,2554118100.0,2593302800.0,2588146700.0,2601691100.0,2578801200.0,2657656300.0,2615661000.0,2621436000.0,2617831200.0,2616058400.0
2027.0,2605258000.0,2531112400.0,2571029000.0,2575228000.0,2589923600.0,2564222200.0,2699968800.0,2648889600.0,2659557000.0,2689399000.0,2599235300.0
2028.0,2597979100.0,2502946800.0,2563086000.0,2561199400.0,2586325000.0,2547150300.0,2642727200.0,2613349400.0,2732328700.0,2595756000.0,2579517000.0
2029.0,2574672100.0,2478651400.0,2548653600.0,2554510000.0,2577902300.0,2519571200.0,2633409500.0,2601937700.0,2633277700.0,2574139100.0,2560308200.0
2030.0,2561351400.0,2454016000.0,2532331000.0,2537314300.0,2569467600.0,2496718000.0,2620998700.0,2584250400.0,2604511200.0,2558972000.0,2543532500.0
2031.0,2553272600.0,2429380400.0,2507961600.0,2517778700.0,2565817000.0,2487457500.0,2604369400.0,2562781200.0,2615823400.0,2553812700.0,2530141000.0
2032.0,2545846500.0,2387858700.0,2477864700.0,2501268000.0,2635242200.0,2471116800.0,2588260900.0,2573565400.0,2692957200.0,2556037000.0,2520556000.0
2033.0,2531151600.0,2345097200.0,2466547700.0,2471492400.0,2552731400.0,2452736300.0,2567058400.0,2566018600.0,2640258000.0,2537174300.0,2530047700.0
2034.0,2526534400.0,2309837600.0,2449314800.0,2427446300.0,2535963000.0,2426623200.0,2552569000.0,2535677200.0,2627082200.0,2564757000.0,2496016600.0
2035.0,2515931000.0,2263860500.0,2444895200.0,2410523600.0,2547678000.0,2397437400.0,2541797000.0,2525728000.0,2605523000.0,2500786000.0,2490892800.0
2036.0,2497280800.0,2216612900.0,2437277200.0,2387025000.0,2531549000.0,2370774300.0,2524935400.0,2516767200.0,2585861400.0,2481821700.0,2473708300.0
2037.0,2478866200.0,2153519600.0,2412014800.0,2348409300.0,2522921700.0,2346864000.0,2510329300.0,2498847000.0,2560218600.0,2475739600.0,2447002400.0
2038.0,2456740600.0,2117761800.0,2407106300.0,2314505500.0,2508887800.0,2311107300.0,2503889700.0,2477041000.0,2557508000.0,2431046700.0,2429646300.0
2039.0,2446160000.0,2066256300.0,2371170300.0,2286094000.0,2502999000.0,2275002000.0,2487772400.0,2456768500.0,2544629800.0,2401954600.0,2417696800.0
2040.0,2434185500.0,2022842100.0,2345852200.0,2271122700.0,2484103700.0,2249810000.0,2455648500.0,2480593200.0,2523833000.0,2430231300.0,2393914400.0
2041.0,2524335400.0,1971629000.0,2310557000.0,2224886000.0,2476352000.0,2250844400.0,2427166200.0,2436040400.0,2518408700.0,2359780400.0,2405071600.0
2042.0,2413630500.0,1916419300.0,2283799600.0,2178514400.0,2463259600.0,2207309300.0,2404322600.0,2405207000.0,2504345900.0,2319418000.0,2356582400.0
2043.0,2402360600.0,1867251800.0,2244485400.0,2134823200.0,2459170600.0,2176201500.0,2376136400.0,2398279000.0,2554053600.0,2288574200.0,2342575000.0
2044.0,2384785700.0,1809243600.0,2210995000.0,2154927600.0,2437046300.0,2149084000.0,2360841500.0,2379519700.0,2519626800.0,2265009700.0,2319109600.0
2045.0,2364593700.0,1742027300.0,2180323800.0,2079729300.0,2424945000.0,2122570600.0,2331369000.0,2352306700.0,2500060200.0,2241704000.0,2344280000.0
2046.0,2354932200.0,1672262800.0,2177499400.0,2023577100.0,2417819100.0,2081432200.0,2306540300.0,2332621600.0,2482784300.0,2188282400.0,2290012400.0
2047.0,2332130600.0,1618302000.0,2131439700.0,1970587800.0,2406491100.0,2016997100.0,2286420700.0,2310805200.0,2527594500.0,2156794000.0,2257843700.0
2048.0,2318934500.0,1568410000.0,2121758800.0,1966847100.0,2390256000.0,2035919400.0,2271849500.0,2291126000.0,2472818400.0,2120307100.0,2234330000.0
2049.0,2296819500.0,1532167700.0,2128182900.0,1896715100.0,2381530600.0,1946210200.0,2269173200.0,2293728800.0,2460957700.0,2083003600.0,2199640300.0
2050.0,2280800000.0,1476593700.0,2080979100.0,1847314800.0,2383571200.0,1921121800.0,2320747300.0,2297489700.0,2450069200.0,2082448100.0,2199836400.0
2051.0,2258689500.0,1429261300.0,2041558400.0,1801612400.0,2344378000.0,1881438200.0,2229188000.0,2257400600.0,2469644300.0,2007909800.0,2158161000.0
2052.0,2250219500.0,1381350000.0,2009884400.0,1735314600.0,2391362300.0,1821898100.0,2195028000.0,2310541600.0,2431625500.0,1932397200.0,2143632000.0
2053.0,2213535200.0,1362173800.0,1981292700.0,1690490200.0,2322497800.0,1775484000.0,2167871200.0,2344522800.0,2405906000.0,1887228700.0,2098553000.0
