time,GFDL-CM3,CSIRO-MK3-6-0,CCSM4,NORESM1-M,IPSL-CM5A-LR,CANESM2,GFDL-ESM2G,GISS-E2-R,MPI-ESM-LR,CNRM-CM5
2000.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0
2001.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0
2002.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0
2003.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0
2004.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0
2005.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0
2006.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0
2007.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0
2008.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0
2009.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0
2010.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0
2011.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0
2012.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0
2013.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0
2014.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0
2015.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0
2016.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0
2017.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0
2018.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0
2019.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0
2020.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0
2021.0,2646210300.0,2646388000.0,2650274600.0,2650497800.0,2663341800.0,2652671500.0,2647224800.0,2646996500.0,2651285000.0,2648211000.0
2022.0,2630365700.0,2660095200.0,2665029600.0,2638836700.0,2638205000.0,2646162000.0,2633495000.0,2640369400.0,2642381000.0,2637152000.0
2023.0,2606139600.0,2641591000.0,2637661700.0,2624326000.0,2618802700.0,2652412200.0,2621204000.0,2630870300.0,2636715800.0,2642975700.0
2024.0,2590680800.0,2630162200.0,2618389000.0,2653752800.0,2608558300.0,2637206300.0,2609904400.0,2619443700.0,2621670000.0,2701641200.0
2025.0,2568705300.0,2631312600.0,2611817700.0,2678318800.0,2584986400.0,2617741800.0,2600753700.0,2598324200.0,2616411000.0,2634098000.0
2026.0,2543207200.0,2624759800.0,2601163800.0,2657093000.0,2580491800.0,2603383600.0,2589733000.0,2584658700.0,2595634000.0,2631709700.0
2027.0,2519282400.0,2632755200.0,2582545200.0,2613053700.0,2551852500.0,2591946500.0,2565633500.0,2580244700.0,2576673000.0,2627323100.0
2028.0,2495253000.0,2636566800.0,2589324800.0,2608885800.0,2534204400.0,2566806800.0,2551652400.0,2556231000.0,2552414200.0,2610082800.0
2029.0,2464398600.0,2689483300.0,2565342000.0,2602734000.0,2517749200.0,2549225700.0,2534876700.0,2527971600.0,2556123400.0,2594312400.0
2030.0,2423897600.0,2646722000.0,2575268600.0,2592267800.0,2490122200.0,2536557800.0,2515749600.0,2528076300.0,2528470300.0,2574879200.0
2031.0,2391482000.0,2600003600.0,2569722400.0,2584738800.0,2451310300.0,2505054000.0,2482596400.0,2494821000.0,2533138400.0,2561585400.0
2032.0,2358023400.0,2589366000.0,2545808100.0,2559858000.0,2410691600.0,2489361000.0,2467756000.0,2478638600.0,2506310400.0,2546777000.0
2033.0,2336898300.0,2584313000.0,2530312000.0,2561456400.0,2374575900.0,2452460500.0,2445469700.0,2443011300.0,2484693800.0,2531145700.0
2034.0,2299603000.0,2571988200.0,2508860200.0,2552248800.0,2328896500.0,2423773000.0,2422743000.0,2420889000.0,2450033700.0,2519923000.0
2035.0,2260071000.0,2565915100.0,2484403500.0,2527698000.0,2282484500.0,2415918600.0,2409345300.0,2403543000.0,2422881500.0,2495334400.0
