time,CESM1-CAM5,CCSM4
2000.0,105228550000.0,105228550000.0
2001.0,105181000000.0,105181000000.0
2002.0,105147620000.0,105147620000.0
2003.0,105120580000.0,105120580000.0
2004.0,105084210000.0,105084210000.0
2005.0,105238020000.0,105238020000.0
2006.0,105071070000.0,105071070000.0
2007.0,105285120000.0,105285120000.0
2008.0,105066540000.0,105066540000.0
2009.0,104975040000.0,104975040000.0
2010.0,104913060000.0,104913060000.0
2011.0,104872610000.0,104872610000.0
2012.0,104827210000.0,104827210000.0
2013.0,104761205000.0,104761205000.0
2014.0,106364350000.0,106364350000.0
2015.0,104855220000.0,104855220000.0
2016.0,104721820000.0,104721820000.0
2017.0,104709700000.0,104709700000.0
2018.0,104711340000.0,104711340000.0
2019.0,104767850000.0,104767850000.0
2020.0,104828280000.0,104828280000.0
2021.0,104621240000.0,104740315000.0
2022.0,104545395000.0,104664910000.0
2023.0,104486560000.0,104811635000.0
2024.0,104398004000.0,104584790000.0
2025.0,104301390000.0,104553010000.0
2026.0,104210610000.0,104458690000.0
2027.0,104157405000.0,104438680000.0
2028.0,104064780000.0,104401820000.0
2029.0,103966120000.0,104341365000.0
2030.0,103858550000.0,104291080000.0
2031.0,103738850000.0,104331140000.0
2032.0,103658490000.0,104235870000.0
2033.0,103555465000.0,104173355000.0
2034.0,103434130000.0,104211860000.0
2035.0,103287560000.0,104109610000.0
2036.0,103190585000.0,104063150000.0
2037.0,102956070000.0,103997600000.0
2038.0,102794674000.0,104026374000.0
2039.0,102577770000.0,103843370000.0
2040.0,102346056000.0,103773766000.0
2041.0,102138260000.0,103714670000.0
2042.0,101919550000.0,103611610000.0
2043.0,101648190000.0,103554180000.0
2044.0,101558110000.0,103463980000.0
2045.0,101323940000.0,103316450000.0
2046.0,100981260000.0,103203410000.0
2047.0,100627130000.0,103201350000.0
2048.0,100226490000.0,103152380000.0
2049.0,100050280000.0,102972170000.0
2050.0,99681690000.0,102872180000.0
2051.0,99243850000.0,102753370000.0
2052.0,98814780000.0,102633050000.0
2053.0,98301620000.0,102458606000.0
2054.0,98000310000.0,102298800000.0
2055.0,97605960000.0,102169040000.0
2056.0,97093520000.0,102010724000.0
2057.0,96588190000.0,101987520000.0
2058.0,96570606000.0,101806490000.0
2059.0,95934185000.0,101635470000.0
2060.0,95476210000.0,101485000000.0
2061.0,94883470000.0,101301960000.0
2062.0,94295760000.0,101051695000.0
2063.0,93804820000.0,100924326000.0
2064.0,93070180000.0,100709770000.0
2065.0,92422310000.0,100457660000.0
2066.0,91678500000.0,100224590000.0
2067.0,90920570000.0,100054340000.0
2068.0,90130990000.0,99844730000.0
2069.0,89348000000.0,99638560000.0
2070.0,88439520000.0,99408590000.0
