time,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2,CANESM5,CESM2-WACCM,MRI-ESM2-0
2000.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0
2001.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0
2002.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0
2003.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0
2004.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0
2005.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0
2006.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0
2007.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0
2008.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0
2009.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0
2010.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0
2011.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0
2012.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0
2013.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0
2014.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0
2015.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0
2016.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0
2017.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0
2018.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0
2019.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0
2020.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0
2021.0,1941946400.0,1896010800.0,1919866000.0,1903796400.0,1940706800.0,1907027500.0
2022.0,1871706800.0,1860069100.0,1871321600.0,1859771300.0,1914882200.0,1870024700.0
2023.0,1861860500.0,1925336400.0,1847954300.0,1845500500.0,1923046500.0,1861932000.0
2024.0,1805999400.0,1807227600.0,1810311600.0,1899888600.0,1865670100.0,1813716100.0
2025.0,1794822000.0,1764413800.0,1771634600.0,1799130500.0,2035046800.0,1773675900.0
2026.0,1758800600.0,1739482200.0,1781873500.0,1759160000.0,1872450300.0,1726609000.0
2027.0,1719707600.0,1723267100.0,1699230100.0,1733496600.0,1807664900.0,1691561200.0
2028.0,1694881200.0,1678563800.0,1645398300.0,1675887700.0,1732042600.0,1635015600.0
2029.0,1672551700.0,1633909100.0,1594079400.0,1657744300.0,1700712300.0,1585282300.0
2030.0,1625944300.0,1649354500.0,1540833300.0,1605883400.0,1679364600.0,1549596800.0
2031.0,1569601800.0,1557333000.0,1510183700.0,1605968300.0,1629961000.0,1450423000.0
2032.0,1669548800.0,1507570300.0,1458834600.0,1606425200.0,1563108200.0,1396001400.0
2033.0,1525621900.0,1471199200.0,1418275500.0,1503006000.0,1542331100.0,1319079400.0
2034.0,1453051000.0,1421190900.0,1401623900.0,1443403800.0,1510833300.0,1287011500.0
2035.0,1413341400.0,1388620300.0,1329205100.0,1368778400.0,1593675300.0,1244671500.0
2036.0,1357883000.0,1329258200.0,1295743200.0,1330989400.0,1465535500.0,1187247600.0
2037.0,1296093300.0,1276047100.0,1241102600.0,1304343600.0,1430383500.0,1104051200.0
2038.0,1251386500.0,1220066400.0,1183506800.0,1242440400.0,1380027500.0,1049280600.0
2039.0,1192080400.0,1159824600.0,1155736400.0,1203934200.0,1318091100.0,978875100.0
2040.0,1153640600.0,1110434700.0,1115113000.0,1173612300.0,1274012000.0,931310200.0
2041.0,1108635900.0,1072673900.0,1083130000.0,1111236400.0,1225921000.0,891898200.0
2042.0,1061201150.0,1016419100.0,1020348700.0,1113806700.0,1200777000.0,846029700.0
2043.0,1057100800.0,960728200.0,979927000.0,1029253500.0,1166269800.0,808491650.0
2044.0,968601700.0,896435100.0,962063600.0,1045384700.0,1147194600.0,791932900.0
2045.0,910066940.0,835715900.0,931933700.0,982970430.0,1107714800.0,738764860.0
2046.0,840928800.0,786203000.0,907904400.0,945862400.0,1075599400.0,718999200.0
2047.0,796913150.0,726558500.0,887472300.0,892189950.0,1029947900.0,671923840.0
2048.0,753112770.0,672586500.0,837250050.0,857930500.0,995912450.0,652382400.0
2049.0,712512300.0,619839400.0,801284300.0,819445600.0,957621760.0,622140000.0
2050.0,679692600.0,566190660.0,779466000.0,799764740.0,904501300.0,589715460.0
2051.0,641162800.0,514785100.0,735675800.0,753789400.0,860365500.0,564252860.0
2052.0,611044740.0,477623300.0,713972200.0,725687940.0,822482600.0,535335420.0
2053.0,569881540.0,496123970.0,683003500.0,687320640.0,800834940.0,520766300.0
2054.0,540429000.0,446421800.0,639269440.0,648692030.0,754256700.0,493434340.0
2055.0,510779600.0,456775650.0,601229200.0,610309300.0,730144640.0,467283230.0
2056.0,483519170.0,396161730.0,564206800.0,597805400.0,682274100.0,447934340.0
2057.0,443525980.0,409482370.0,536507360.0,565865150.0,648661700.0,431304900.0
2058.0,407287740.0,361465000.0,493427040.0,539074700.0,621001000.0,447404320.0
2059.0,370332930.0,324086000.0,457368770.0,496639360.0,588341000.0,401770530.0
2060.0,346961020.0,286711600.0,437354900.0,459334400.0,582946500.0,396217760.0
2061.0,321741400.0,251707860.0,395712640.0,435007700.0,547092740.0,381040900.0
2062.0,291363400.0,242182300.0,366018700.0,415931550.0,507629340.0,367120700.0
2063.0,269976420.0,232141390.0,329696030.0,382845470.0,483000930.0,357344640.0
2064.0,249438140.0,224855680.0,306176830.0,359176320.0,458231840.0,337810460.0
2065.0,237036510.0,209359550.0,275052960.0,335374430.0,420003460.0,325121660.0
2066.0,205425730.0,189137090.0,260112860.0,320319700.0,394189600.0,312436540.0
2067.0,190668020.0,177846400.0,250586980.0,298626780.0,368762720.0,302579620.0
2068.0,183562980.0,166665100.0,242194660.0,280103300.0,349679550.0,294474720.0
2069.0,165407700.0,159545100.0,228467790.0,257629440.0,327094340.0,280500930.0
2070.0,142001180.0,170549780.0,210433580.0,237367780.0,311598240.0,265041420.0
2071.0,137210020.0,148543620.0,187401840.0,219640830.0,288827040.0,255358640.0
2072.0,129001940.0,143567620.0,177225520.0,199018850.0,265882350.0,245434960.0
2073.0,118864180.0,132124980.0,158049150.0,176589280.0,244909260.0,240431200.0
2074.0,100819820.0,120708420.0,150088860.0,162205800.0,227199710.0,234702580.0
2075.0,90250170.0,114226344.0,143317170.0,147532020.0,202368880.0,226437000.0
2076.0,81500460.0,104242630.0,123198400.0,134998270.0,185162780.0,212580740.0
2077.0,75915340.0,92364220.0,117895230.0,125926840.0,168229520.0,209095200.0
2078.0,70951170.0,88799100.0,114514450.0,116608380.0,160109760.0,199978940.0
2079.0,66224804.0,86617930.0,108637050.0,100749550.0,147238600.0,195170160.0
2080.0,53815504.0,83280280.0,103223410.0,94164600.0,130909224.0,194758880.0
2081.0,49204876.0,77668690.0,93301920.0,82450640.0,110619950.0,180449740.0
2082.0,44662636.0,67580760.0,86032970.0,78509840.0,102735260.0,168261100.0
2083.0,42816940.0,61453890.0,80123256.0,71636344.0,87510820.0,150230580.0
2084.0,39685052.0,53209476.0,68486490.0,68622584.0,85885830.0,145562830.0
2085.0,38194170.0,49623430.0,62770430.0,61251236.0,84458024.0,141971500.0
2086.0,36331624.0,48012036.0,57213560.0,53704280.0,73673630.0,135948980.0
2087.0,34506390.0,46815650.0,53012096.0,48565090.0,67249784.0,125398020.0
