time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0
2001.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0
2002.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0
2003.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0
2004.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0
2005.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0
2006.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0
2007.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0
2008.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0
2009.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0
2010.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0
2011.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0
2012.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0
2013.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0
2014.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0
2015.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0
2016.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0
2017.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0
2018.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0
2019.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0
2020.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0
2021.0,8087278700000.0,8088731000000.0,8102392400000.0,8122261000000.0
2022.0,8053331600000.0,8052200000000.0,8036792400000.0,8082974300000.0
2023.0,7995231000000.0,8031672700000.0,7994528000000.0,8072003000000.0
2024.0,7919399000000.0,7996189000000.0,7916010000000.0,8068663000000.0
2025.0,7825836000000.0,7954252000000.0,7856903000000.0,8021444000000.0
2026.0,7733468700000.0,7932953000000.0,7814009300000.0,8018714400000.0
2027.0,7708212000000.0,7849759500000.0,7760756300000.0,8007969700000.0
2028.0,7623955000000.0,7794290000000.0,7700702000000.0,7991595000000.0
2029.0,7595540600000.0,7758288500000.0,7632232000000.0,7987817600000.0
2030.0,7536339000000.0,7751520000000.0,7554431000000.0,7952215300000.0
2031.0,7466623000000.0,7710131000000.0,7460893500000.0,7918430700000.0
2032.0,7401762000000.0,7670281500000.0,7407948000000.0,7892899000000.0
2033.0,7287796700000.0,7602808000000.0,7326440000000.0,7865372000000.0
2034.0,7203353300000.0,7536652600000.0,7250061600000.0,7802982000000.0
2035.0,7099192400000.0,7491578000000.0,7149950300000.0,7735660000000.0
2036.0,7038865000000.0,7419477400000.0,7041004000000.0,7664962600000.0
2037.0,6967230700000.0,7387499500000.0,6944599000000.0,7659391000000.0
2038.0,6893377000000.0,7333304000000.0,6845223000000.0,7620787700000.0
2039.0,6810856000000.0,7266820000000.0,6768575000000.0,7584512700000.0
2040.0,6764163000000.0,7244878000000.0,6669453000000.0,7521460300000.0
2041.0,6682258700000.0,7171100000000.0,6562528000000.0,7469051400000.0
2042.0,6603514300000.0,7064134000000.0,6512413000000.0,7416363000000.0
2043.0,6499435000000.0,6968808000000.0,6477974000000.0,7379150700000.0
2044.0,6404187000000.0,6889551700000.0,6437328700000.0,7348317000000.0
2045.0,6317024500000.0,6843581600000.0,6375573300000.0,7340107000000.0
2046.0,6216231700000.0,6815444600000.0,6305285700000.0,7299676500000.0
2047.0,6140211000000.0,6752590000000.0,6239725000000.0,7237179300000.0
2048.0,6047755400000.0,6702143000000.0,6215442000000.0,7191810000000.0
2049.0,5971692000000.0,6661391000000.0,6129605700000.0,7152827600000.0
2050.0,5856379300000.0,6578344300000.0,6067972500000.0,7129986500000.0
2051.0,5757341000000.0,6494828400000.0,6012260600000.0,7100530400000.0
2052.0,5662027300000.0,6447388000000.0,5939765000000.0,7085822000000.0
2053.0,5607699000000.0,6405184000000.0,5856079400000.0,7071523000000.0
2054.0,5537087000000.0,6323473000000.0,5806548300000.0,7020731000000.0
2055.0,5477632600000.0,6272770400000.0,5754755500000.0,6957627300000.0
2056.0,5401912300000.0,6225868000000.0,5663618500000.0,6897260000000.0
2057.0,5313178000000.0,6168067000000.0,5596354400000.0,6862897000000.0
2058.0,5229578300000.0,6118281000000.0,5543879000000.0,6838772300000.0
2059.0,5155408000000.0,5999656700000.0,5520196000000.0,6819017000000.0
2060.0,5099143000000.0,5965439600000.0,5480326400000.0,6767654000000.0
2061.0,5039401000000.0,5897948500000.0,5432854000000.0,6732230700000.0
2062.0,4978893700000.0,5831633400000.0,5422175000000.0,6680444700000.0
2063.0,4894266000000.0,5783820000000.0,5345511000000.0,6649184000000.0
2064.0,4820292000000.0,5715142000000.0,5268015000000.0,6641978700000.0
2065.0,4728600700000.0,5674228000000.0,5239667000000.0,6624851300000.0
2066.0,4650508500000.0,5575747300000.0,5218507400000.0,6565658000000.0
2067.0,4567725500000.0,5515033700000.0,5180971000000.0,6523097400000.0
2068.0,4493164000000.0,5443150000000.0,5115944600000.0,6473936500000.0
2069.0,4380278700000.0,5364612000000.0,5092540000000.0,6442253000000.0
2070.0,4335844000000.0,5294195700000.0,5046166000000.0,6352603000000.0
2071.0,4273988700000.0,5238366400000.0,5044040000000.0,6342750000000.0
2072.0,4200969800000.0,5201149300000.0,5011819500000.0,6318649000000.0
2073.0,4128455000000.0,5149091700000.0,4982269500000.0,6281773000000.0
2074.0,4049147800000.0,5065058000000.0,4941556500000.0,6257636000000.0
2075.0,3994825000000.0,5005445000000.0,4922618000000.0,6230917500000.0
2076.0,3922842000000.0,4951846000000.0,4889335300000.0,6219121600000.0
2077.0,3849501500000.0,4913120700000.0,4821297400000.0,6181084500000.0
2078.0,3788912500000.0,4856194500000.0,4779740000000.0,6165695600000.0
2079.0,3712170900000.0,4791573000000.0,4730866600000.0,6128132000000.0
2080.0,3652774500000.0,4748760000000.0,4699061000000.0,6132241000000.0
