time,UKESM1-0-LL,IPSL-CM6A-LR,IITM-ESM,GFDL-ESM4,MPI-ESM1-2-HR,MRI-ESM2-0,KACE-1-0-G,TAIESM1,CESM2-WACCM
2000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0
2001.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0
2002.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0
2003.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0
2004.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0
2005.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0
2006.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0
2007.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0
2008.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0
2009.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0
2010.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0
2011.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0
2012.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0
2013.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0
2014.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0
2015.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0
2016.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0
2017.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0
2018.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0
2019.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0
2020.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0
2021.0,8078890600000.0,8109212000000.0,8059922400000.0,8078050700000.0,8075247000000.0,8101672000000.0,8084759500000.0,8109269000000.0,8115256000000.0
2022.0,8015239400000.0,8076548600000.0,8000304000000.0,8041406700000.0,8019041000000.0,8054939000000.0,8057497000000.0,8083475500000.0,8100720000000.0
2023.0,7977812000000.0,7996054000000.0,7971548000000.0,8014251000000.0,7983388400000.0,8041672500000.0,7993274400000.0,8003888600000.0,8055178000000.0
2024.0,7961834400000.0,7956008500000.0,7915880600000.0,7998417700000.0,7979524000000.0,8015287700000.0,7898143000000.0,7937164000000.0,7999986000000.0
2025.0,7901876300000.0,7894680000000.0,7851112700000.0,7985907600000.0,7965071400000.0,7938661400000.0,7851619000000.0,7917035000000.0,7986656000000.0
2026.0,7872385600000.0,7861619400000.0,7804859400000.0,7935413000000.0,7924134400000.0,7890936000000.0,7763031000000.0,7843848700000.0,7933895600000.0
2027.0,7855203000000.0,7806313000000.0,7759432500000.0,7877316000000.0,7910166000000.0,7841565400000.0,7690835000000.0,7744497000000.0,7857184000000.0
2028.0,7777179700000.0,7777424500000.0,7705108000000.0,7832215000000.0,7863625300000.0,7786967000000.0,7597345700000.0,7674155500000.0,7823136000000.0
2029.0,7757022000000.0,7745780600000.0,7663121000000.0,7797836000000.0,7803501500000.0,7760067400000.0,7530674000000.0,7610433000000.0,7744835000000.0
2030.0,7722566000000.0,7704434000000.0,7633622000000.0,7766298000000.0,7753619700000.0,7714013400000.0,7491222500000.0,7605634000000.0,7618066000000.0
2031.0,7673063000000.0,7675638700000.0,7600008600000.0,7745256300000.0,7735107600000.0,7640699600000.0,7435511700000.0,7516697000000.0,7499588600000.0
2032.0,7632472500000.0,7599972400000.0,7559962400000.0,7692055000000.0,7689319000000.0,7562847000000.0,7366529000000.0,7440844700000.0,7445197400000.0
2033.0,7540387000000.0,7540575000000.0,7514341500000.0,7652209000000.0,7654848000000.0,7483674000000.0,7312243000000.0,7346203400000.0,7391426400000.0
2034.0,7494834300000.0,7445473000000.0,7461603400000.0,7616470700000.0,7664334500000.0,7465560000000.0,7267012300000.0,7266723000000.0,7339725000000.0
2035.0,7406624000000.0,7389303000000.0,7386978000000.0,7572299000000.0,7610177700000.0,7427120400000.0,7191311000000.0,7177868000000.0,7299136000000.0
2036.0,7335114700000.0,7328005400000.0,7332918000000.0,7546644000000.0,7595697400000.0,7366193000000.0,7134453000000.0,7058970000000.0,7254363000000.0
2037.0,7279049400000.0,7248209000000.0,7279443000000.0,7547493300000.0,7562331700000.0,7269712400000.0,7060015500000.0,6971313000000.0,7216331500000.0
2038.0,7177694000000.0,7157767500000.0,7224267000000.0,7481572500000.0,7514960700000.0,7146266700000.0,6978344600000.0,6865548000000.0,7143834500000.0
2039.0,7070206000000.0,7076614000000.0,7158315400000.0,7421879000000.0,7469107500000.0,7084381300000.0,6868578000000.0,6746598300000.0,7069908300000.0
2040.0,7002586600000.0,7001302600000.0,7095442700000.0,7371901000000.0,7436814500000.0,7050835000000.0,6808393000000.0,6652855000000.0,7012099000000.0
2041.0,6919555000000.0,6977248300000.0,7055735000000.0,7316658000000.0,7390930000000.0,7016693600000.0,6729569000000.0,6537485500000.0,6961770300000.0
2042.0,6822906000000.0,6890252700000.0,6995076700000.0,7268110700000.0,7367597000000.0,6941733600000.0,6651626000000.0,6416229000000.0,6922321300000.0
2043.0,6751240000000.0,6840906000000.0,6930862400000.0,7228656500000.0,7327542000000.0,6891295000000.0,6552196500000.0,6330041000000.0,6894134500000.0
2044.0,6658212000000.0,6779088400000.0,6883739000000.0,7142526400000.0,7272766000000.0,6835520700000.0,6465680000000.0,6223320600000.0,6873915000000.0
2045.0,6573266600000.0,6685901500000.0,6826679600000.0,7122626500000.0,7228261700000.0,6753483000000.0,6369771500000.0,6160987000000.0,6835580400000.0
2046.0,6505803300000.0,6645650300000.0,6785654600000.0,7097164500000.0,7213127000000.0,6690496000000.0,6327271700000.0,6004289300000.0,6763597000000.0
2047.0,6431334000000.0,6605521000000.0,6731824400000.0,7059366500000.0,7178946000000.0,6597812000000.0,6274809300000.0,5841043300000.0,6734820700000.0
2048.0,6374101600000.0,6577803000000.0,6664909500000.0,6984157400000.0,7133910300000.0,6490665500000.0,6208137000000.0,5727809700000.0,6672068000000.0
