time,CESM2-WACCM,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR
2000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0
2001.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0
2002.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0
2003.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0
2004.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0
2005.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0
2006.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0
2007.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0
2008.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0
2009.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0
2010.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0
2011.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0
2012.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0
2013.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0
2014.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0
2015.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0
2016.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0
2017.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0
2018.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0
2019.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0
2020.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0
2021.0,104718540000.0,104984170000.0,104713240000.0,104731410000.0
2022.0,104678060000.0,104806450000.0,104639950000.0,104605204000.0
2023.0,104629450000.0,104662204000.0,104588900000.0,104568390000.0
2024.0,104625136000.0,104614260000.0,104566235000.0,104564130000.0
2025.0,104535590000.0,105190100000.0,104473130000.0,104482270000.0
2026.0,104498540000.0,104845350000.0,104464335000.0,104438650000.0
2027.0,104545410000.0,104640240000.0,104442210000.0,104409220000.0
2028.0,104861360000.0,104540010000.0,104368740000.0,104370710000.0
2029.0,104484290000.0,104523465000.0,104301420000.0,104331846000.0
2030.0,104465555000.0,104452600000.0,104327420000.0,104429240000.0
2031.0,104447295000.0,104502950000.0,104237440000.0,104260910000.0
2032.0,104392590000.0,104389030000.0,104192380000.0,104184200000.0
2033.0,104306790000.0,104514280000.0,104112415000.0,104152056000.0
2034.0,104252850000.0,104305530000.0,104033660000.0,104107130000.0
2035.0,104201265000.0,104265490000.0,103966230000.0,104332170000.0
2036.0,104189550000.0,104313310000.0,103884700000.0,104059126000.0
2037.0,104149610000.0,104171350000.0,103814950000.0,103966100000.0
2038.0,104053555000.0,104274100000.0,103684120000.0,103949610000.0
2039.0,103958176000.0,104070670000.0,103584580000.0,103864480000.0
2040.0,103887150000.0,104046150000.0,103506080000.0,103907705000.0
2041.0,103793990000.0,104367415000.0,103424420000.0,103987560000.0
2042.0,103773676000.0,103961390000.0,103275730000.0,103788050000.0
2043.0,103674710000.0,103895570000.0,103183290000.0,103617080000.0
2044.0,103562820000.0,103846986000.0,103014700000.0,103493270000.0
2045.0,103594940000.0,103693610000.0,102928610000.0,103383860000.0
2046.0,103408270000.0,103594746000.0,103083475000.0,103319320000.0
2047.0,103310910000.0,103509900000.0,102817500000.0,103220140000.0
2048.0,103285195000.0,103510720000.0,102610670000.0,103066214000.0
2049.0,103102170000.0,103352660000.0,102452210000.0,102887640000.0
2050.0,102923665000.0,103218750000.0,102295360000.0,102785290000.0
2051.0,102874055000.0,103102270000.0,102186120000.0,102705635000.0
2052.0,102672730000.0,103001030000.0,101962820000.0,102600390000.0
2053.0,102559190000.0,102795310000.0,101773296000.0,102476750000.0
2054.0,102419390000.0,102553030000.0,101575850000.0,102323400000.0
2055.0,102282355000.0,102718160000.0,101323790000.0,102216155000.0
2056.0,102141420000.0,102384950000.0,101240620000.0,102034465000.0
2057.0,102012350000.0,102342600000.0,100942480000.0,101901810000.0
2058.0,101837540000.0,102117660000.0,100771800000.0,101724960000.0
2059.0,101617740000.0,101874520000.0,100529530000.0,101515740000.0
2060.0,101490524000.0,101785010000.0,100267460000.0,101269684000.0
2061.0,101253480000.0,101519950000.0,100029230000.0,101014140000.0
2062.0,101102230000.0,101348336000.0,99739610000.0,100933460000.0
2063.0,100848180000.0,101202936000.0,99522820000.0,100637600000.0
2064.0,100524910000.0,100989714000.0,99268080000.0,100893030000.0
2065.0,100147950000.0,100847620000.0,99084110000.0,100805575000.0
2066.0,99939120000.0,100609700000.0,98842526000.0,100311605000.0
2067.0,99649130000.0,100649630000.0,98860950000.0,100040640000.0
2068.0,99189340000.0,100689090000.0,98513220000.0,99716090000.0
2069.0,98943980000.0,100526375000.0,98147900000.0,99317960000.0
2070.0,98670800000.0,100086080000.0,98031310000.0,98993775000.0
2071.0,98469730000.0,99903780000.0,97777280000.0,98750250000.0
2072.0,98208640000.0,99842940000.0,97518840000.0,98710380000.0
2073.0,97968180000.0,99527340000.0,97191670000.0,98398945000.0
2074.0,97612880000.0,99291824000.0,97285140000.0,98091040000.0
2075.0,97976050000.0,99119260000.0,96632440000.0,97988330000.0
2076.0,97003135000.0,99003770000.0,96254710000.0,97454230000.0
2077.0,97004446000.0,98614730000.0,95915320000.0,97537790000.0
2078.0,96380960000.0,98431260000.0,95673650000.0,97162290000.0
2079.0,96042380000.0,98245030000.0,95539270000.0,97141350000.0
2080.0,95769240000.0,97943150000.0,95273030000.0,96888900000.0
2081.0,95341700000.0,97611220000.0,95000340000.0,96744810000.0
2082.0,95922530000.0,97561420000.0,94727730000.0,96508780000.0
2083.0,94939290000.0,97123050000.0,94435660000.0,96222855000.0
2084.0,94562180000.0,96874300000.0,94118855000.0,95969845000.0
2085.0,94372960000.0,96653550000.0,93841630000.0,95653420000.0
2086.0,96126706000.0,96641170000.0,93761880000.0,95361130000.0
2087.0,94648690000.0,97369210000.0,93412440000.0,94982414000.0
2088.0,93649020000.0,97311240000.0,93266960000.0,94926430000.0
2089.0,93277930000.0,96995230000.0,92803380000.0,95195720000.0
2090.0,92936520000.0,96547950000.0,92495370000.0,94273176000.0
2091.0,92622290000.0,95931710000.0,92226820000.0,93971860000.0
2092.0,93040720000.0,95508520000.0,92479670000.0,93863846000.0
2093.0,92150370000.0,95393390000.0,92050860000.0,93573095000.0
2094.0,91676380000.0,95014610000.0,91542740000.0,93225730000.0
2095.0,91087640000.0,95153920000.0,91778290000.0,93165800000.0
2096.0,90659275000.0,94853910000.0,90926410000.0,93268770000.0
2097.0,90560730000.0,95657870000.0,90662340000.0,93073350000.0
2098.0,89895000000.0,94630260000.0,90400180000.0,92335194000.0
2099.0,90359510000.0,94354400000.0,90177060000.0,92287750000.0
2100.0,90788545000.0,94154560000.0,89810150000.0,91852160000.0
2101.0,89671160000.0,93917045000.0,89624470000.0,91515640000.0
2102.0,88897840000.0,94850900000.0,89311270000.0,91195400000.0
2103.0,88387780000.0,94360400000.0,89145025000.0,90983370000.0
2104.0,88076780000.0,94959430000.0,88855990000.0,90780260000.0
2105.0,88686666000.0,95929000000.0,88991605000.0,90414600000.0
2106.0,89629090000.0,96468976000.0,88346804000.0,90127680000.0
2107.0,90198700000.0,95228860000.0,88115090000.0,89667830000.0
2108.0,88271160000.0,93940105000.0,87738420000.0,90778290000.0
2109.0,86675190000.0,93718890000.0,87895100000.0,89507550000.0
2110.0,86312550000.0,93402720000.0,87721525000.0,89608590000.0
2111.0,86517610000.0,93923030000.0,86931600000.0,88903710000.0
2112.0,85790260000.0,93006000000.0,87764190000.0,90403365000.0
2113.0,85418025000.0,92653896000.0,86561870000.0,88774476000.0
2114.0,84983590000.0,93114840000.0,86274654000.0,87979426000.0
2115.0,84737570000.0,92772260000.0,85988910000.0,88068860000.0
2116.0,84300000000.0,92307040000.0,86031974000.0,87481025000.0
2117.0,83815250000.0,92193690000.0,85890425000.0,88280690000.0
2118.0,83603200000.0,92146740000.0,86156665000.0,87092420000.0
2119.0,83197534000.0,92200395000.0,85261440000.0,86941245000.0
2120.0,82990510000.0,91560920000.0,85012900000.0,86760430000.0
2121.0,82930150000.0,91297830000.0,84699150000.0,86271386000.0
2122.0,83228120000.0,92729385000.0,84438680000.0,86133430000.0
2123.0,82254586000.0,91027440000.0,84375030000.0,85937300000.0
2124.0,89218490000.0,90865115000.0,84048080000.0,85413140000.0
2125.0,85273660000.0,91931270000.0,85166250000.0,85501070000.0
2126.0,85159100000.0,91129380000.0,84290585000.0,85002250000.0
2127.0,83339210000.0,90617860000.0,83538256000.0,84521030000.0
2128.0,81900590000.0,91419780000.0,83218480000.0,84282530000.0
2129.0,81532355000.0,90895410000.0,82734140000.0,83956610000.0
2130.0,81234670000.0,90226524000.0,82501810000.0,84207110000.0
2131.0,80650710000.0,93545540000.0,82215760000.0,84593880000.0
2132.0,85356840000.0,92151790000.0,82012780000.0,83659940000.0
2133.0,88931720000.0,91767050000.0,81981930000.0,83575990000.0
2134.0,81984586000.0,91147760000.0,81583930000.0,83320240000.0
2135.0,81256180000.0,90928210000.0,81505270000.0,82606040000.0
2136.0,81392000000.0,91963030000.0,81053065000.0,83969204000.0
2137.0,79948464000.0,90443284000.0,81583160000.0,83560510000.0
2138.0,79586090000.0,90434314000.0,82928706000.0,82528610000.0
2139.0,80214430000.0,89916710000.0,80703136000.0,81588540000.0
2140.0,78989930000.0,89595520000.0,80222890000.0,81349255000.0
2141.0,79135830000.0,89769740000.0,79973000000.0,80874680000.0
2142.0,78432170000.0,89499680000.0,79786050000.0,80969140000.0
2143.0,78360640000.0,89638700000.0,80409960000.0,81958780000.0
2144.0,77836255000.0,91531840000.0,79212340000.0,81041210000.0
2145.0,82447320000.0,91201150000.0,78882070000.0,80304140000.0
2146.0,80700490000.0,90988855000.0,78529630000.0,80541170000.0
2147.0,79522560000.0,90278420000.0,79043535000.0,79923950000.0
2148.0,79244900000.0,89828330000.0,78312960000.0,79641125000.0
2149.0,77823795000.0,90382790000.0,77953620000.0,79472310000.0
2150.0,77859316000.0,89776630000.0,77611114000.0,78905750000.0
2151.0,83383010000.0,89099680000.0,77349650000.0,78479500000.0
2152.0,81747540000.0,88951030000.0,77794930000.0,78182556000.0
2153.0,77311510000.0,88855580000.0,76987980000.0,78054960000.0
2154.0,76766110000.0,88383310000.0,76718560000.0,79786470000.0
2155.0,76198110000.0,88939620000.0,76210740000.0,77931856000.0
2156.0,75901010000.0,88616380000.0,75939720000.0,78196060000.0
2157.0,76277015000.0,88568160000.0,76436050000.0,77746455000.0
2158.0,75343260000.0,92346970000.0,77052190000.0,78114456000.0
2159.0,75218090000.0,90870610000.0,76104974000.0,77798690000.0
2160.0,80887880000.0,88871270000.0,75362615000.0,77152090000.0
2161.0,76558240000.0,88792940000.0,75434560000.0,79931320000.0
2162.0,76326140000.0,88066850000.0,75095530000.0,78628020000.0
2163.0,74763740000.0,87706790000.0,74747720000.0,77019050000.0
2164.0,80084720000.0,88606300000.0,75100580000.0,76273580000.0
2165.0,75849196000.0,87460890000.0,75100650000.0,75995680000.0
2166.0,75794370000.0,98545790000.0,74455460000.0,77136460000.0
2167.0,74634830000.0,93961590000.0,75238460000.0,76107140000.0
2168.0,75523530000.0,90466440000.0,73800065000.0,75633150000.0
2169.0,73858600000.0,88692580000.0,73748050000.0,75555250000.0
2170.0,73470680000.0,88347880000.0,73528975000.0,74924370000.0
2171.0,73345260000.0,87183120000.0,73676150000.0,77839730000.0
2172.0,74291630000.0,88836520000.0,74189365000.0,76871156000.0
2173.0,76113140000.0,91796720000.0,75135074000.0,75427220000.0
2174.0,73729250000.0,90278680000.0,73361810000.0,75189035000.0
2175.0,73403470000.0,88658800000.0,72630166000.0,75125620000.0
2176.0,72356930000.0,95255690000.0,72703070000.0,74384630000.0
2177.0,75892250000.0,91342040000.0,72351030000.0,74034340000.0
2178.0,78308280000.0,89222650000.0,72184430000.0,73935260000.0
2179.0,73664480000.0,88547590000.0,71965020000.0,73547380000.0
2180.0,71801100000.0,88358580000.0,72136380000.0,73831050000.0
2181.0,81806910000.0,87283100000.0,71876540000.0,73270610000.0
2182.0,72778150000.0,87977950000.0,71459450000.0,77095760000.0
2183.0,72491570000.0,87084410000.0,71736960000.0,73278650000.0
2184.0,71047630000.0,89068040000.0,71173050000.0,73290770000.0
2185.0,71290030000.0,87071650000.0,71004620000.0,72662974000.0
2186.0,70678815000.0,86523570000.0,70766660000.0,73319160000.0
2187.0,70917500000.0,86069400000.0,70531375000.0,72387190000.0
2188.0,70516965000.0,85931320000.0,70489740000.0,74115050000.0
2189.0,70062160000.0,85861980000.0,70750910000.0,74454884000.0
2190.0,77040500000.0,85974500000.0,70761005000.0,76955940000.0
2191.0,71731200000.0,85631190000.0,70336270000.0,73573660000.0
2192.0,76703056000.0,91371450000.0,70626296000.0,72360034000.0
2193.0,76374410000.0,86707315000.0,69709250000.0,72440726000.0
2194.0,73925770000.0,86106250000.0,69670380000.0,72116190000.0
2195.0,71739170000.0,94813820000.0,70076930000.0,72171520000.0
2196.0,76840920000.0,87895990000.0,69792010000.0,71314460000.0
2197.0,72356550000.0,86869475000.0,71883780000.0,70931464000.0
2198.0,70601785000.0,86353990000.0,69690270000.0,70981706000.0
2199.0,70161610000.0,86639130000.0,69109620000.0,70540650000.0
2200.0,69782090000.0,86237290000.0,74986530000.0,71357000000.0
2201.0,76814080000.0,86042520000.0,71716900000.0,70712820000.0
2202.0,78349110000.0,85121010000.0,69140780000.0,70362300000.0
2203.0,71485940000.0,85449080000.0,68966650000.0,70736940000.0
2204.0,73172940000.0,92195750000.0,68651233000.0,72891090000.0
2205.0,69878100000.0,86069360000.0,68353774000.0,71129490000.0
2206.0,69341635000.0,90887420000.0,68106887000.0,70363680000.0
2207.0,73874620000.0,95629844000.0,67903840000.0,69749540000.0
2208.0,73763810000.0,89632350000.0,68230603000.0,69997940000.0
2209.0,70719070000.0,87408770000.0,67839824000.0,69206060000.0
2210.0,70914390000.0,85739995000.0,67351663000.0,68951880000.0
2211.0,68882880000.0,86096460000.0,67297130000.0,68927440000.0
2212.0,68235500000.0,84802494000.0,67572322000.0,70707310000.0
2213.0,68138200000.0,84463090000.0,67045070000.0,69224850000.0
2214.0,68707160000.0,84279984000.0,66877465000.0,68652040000.0
2215.0,67763090000.0,84176910000.0,66940990000.0,73930890000.0
2216.0,70751990000.0,84164240000.0,67586560000.0,68944855000.0
2217.0,68341080000.0,84104480000.0,67033040000.0,68322580000.0
2218.0,67021124000.0,84206050000.0,66515284000.0,68102873000.0
2219.0,66893940000.0,83979950000.0,67186328000.0,68862075000.0
2220.0,66737120000.0,83848030000.0,66477650000.0,69918245000.0
2221.0,66385453000.0,85405700000.0,66096714000.0,68285110000.0
2222.0,66414680000.0,84451540000.0,66285597000.0,69281956000.0
2223.0,69993520000.0,85463230000.0,65823474000.0,67774240000.0
2224.0,65964360000.0,88482810000.0,65614627000.0,67388617000.0
2225.0,66662932000.0,85283830000.0,65478554000.0,67374367000.0
2226.0,65985024000.0,85352400000.0,65368195000.0,67113340000.0
2227.0,66635235000.0,85493300000.0,65215730000.0,66912563000.0
2228.0,65513333000.0,84551650000.0,65036497000.0,67023315000.0
2229.0,65244705000.0,84005470000.0,64895710000.0,66763910000.0
2230.0,64939717000.0,84592460000.0,68767640000.0,67452346000.0
2231.0,64824280000.0,83883300000.0,65855620000.0,66537173000.0
2232.0,64542460000.0,85040220000.0,68848165000.0,75964700000.0
2233.0,74530080000.0,84177640000.0,64571710000.0,68093895000.0
2234.0,64347000000.0,85847200000.0,65709605000.0,68246594000.0
2235.0,64344576000.0,83694220000.0,64547780000.0,67037794000.0
2236.0,64017490000.0,85219475000.0,65711820000.0,66819285000.0
2237.0,65477980000.0,83414810000.0,64618975000.0,66556068000.0
2238.0,66503470000.0,83153770000.0,64449937000.0,68031150000.0
2239.0,66227184000.0,84479840000.0,64000720000.0,65932200000.0
2240.0,75745346000.0,83100930000.0,63960820000.0,65659520000.0
2241.0,65133056000.0,88525480000.0,64350917000.0,66960544000.0
2242.0,64162714000.0,84290940000.0,64070697000.0,65578710000.0
2243.0,63449035000.0,85721130000.0,66508055000.0,65311625000.0
2244.0,65570566000.0,84751840000.0,64280460000.0,65220776000.0
2245.0,63073194000.0,83358380000.0,64632676000.0,66734180000.0
2246.0,62833700000.0,85143710000.0,63532503000.0,66983576000.0
2247.0,62534600000.0,86270706000.0,63298585000.0,65687904000.0
2248.0,62856913000.0,84743100000.0,63103783000.0,65016080000.0
2249.0,67770577000.0,83707140000.0,68060520000.0,64795726000.0
2250.0,63761640000.0,84969870000.0,63152630000.0,65501417000.0
2251.0,64783217000.0,83175880000.0,62840540000.0,64745920000.0
2252.0,62236586000.0,83094300000.0,63368753000.0,64350974000.0
2253.0,61971090000.0,84398020000.0,63814554000.0,64698655000.0
2254.0,61916033000.0,83552620000.0,63147086000.0,64182972000.0
2255.0,62524723000.0,83971210000.0,62744910000.0,64841155000.0
2256.0,61481150000.0,86321760000.0,62523660000.0,68667703000.0
2257.0,64361345000.0,83858465000.0,62373134000.0,64677663000.0
2258.0,61297440000.0,83563590000.0,66496012000.0,63782986000.0
2259.0,61077115000.0,82965370000.0,62500504000.0,64255447000.0
2260.0,61309415000.0,85829200000.0,62378720000.0,65454010000.0
2261.0,60987814000.0,84959535000.0,62149136000.0,64876350000.0
2262.0,60733960000.0,82944100000.0,61942670000.0,64892040000.0
2263.0,60976325000.0,82821520000.0,62303445000.0,64202520000.0
2264.0,60397662000.0,82729230000.0,61805220000.0,63463133000.0
2265.0,60127756000.0,82719300000.0,62462857000.0,64994600000.0
2266.0,60012405000.0,82604850000.0,61818597000.0,63991402000.0
2267.0,63148330000.0,82550350000.0,64955646000.0,63644840000.0
2268.0,59966165000.0,82626030000.0,61460300000.0,63073810000.0
2269.0,59536413000.0,83840295000.0,61275316000.0,64380318000.0
2270.0,59457438000.0,82572180000.0,65280995000.0,62875540000.0
2271.0,59345576000.0,82812340000.0,61453190000.0,63382210000.0
2272.0,59464890000.0,82846245000.0,64658297000.0,62943396000.0
2273.0,60653453000.0,84790830000.0,62639608000.0,62723723000.0
2274.0,60784345000.0,83664030000.0,61590180000.0,63323857000.0
2275.0,58986287000.0,82415750000.0,61063225000.0,62696760000.0
2276.0,58978540000.0,84060725000.0,61496400000.0,62316765000.0
2277.0,60460460000.0,82538700000.0,61184823000.0,62186670000.0
2278.0,59283395000.0,88788705000.0,60915320000.0,63579808000.0
2279.0,58772505000.0,85260400000.0,60614005000.0,62184137000.0
2280.0,59547220000.0,83923470000.0,60796610000.0,61871200000.0
2281.0,58191192000.0,87966110000.0,60853658000.0,61705570000.0
2282.0,58000028000.0,84712686000.0,60525728000.0,61614936000.0
2283.0,57919900000.0,84086840000.0,60188307000.0,63913562000.0
2284.0,58520117000.0,83582935000.0,60009450000.0,64315855000.0
2285.0,61217907000.0,83190440000.0,60166000000.0,66511524000.0
2286.0,57381528000.0,82537280000.0,60028846000.0,66677567000.0
2287.0,57229275000.0,82322145000.0,59738055000.0,63490798000.0
2288.0,57140750000.0,82992360000.0,59681124000.0,63438705000.0
2289.0,73402720000.0,82273490000.0,61623996000.0,62593597000.0
2290.0,62500712000.0,82246386000.0,61344674000.0,63047890000.0
2291.0,57252508000.0,82210610000.0,61654940000.0,63067967000.0
2292.0,57406415000.0,83749520000.0,60278900000.0,63261594000.0
2293.0,58555610000.0,82326640000.0,59974580000.0,62352355000.0
2294.0,56756610000.0,82532050000.0,59669697000.0,61972283000.0
2295.0,56261337000.0,82063250000.0,59613585000.0,62494890000.0
2296.0,56130690000.0,84668500000.0,59834937000.0,63235396000.0
2297.0,56004817000.0,83993260000.0,61142565000.0,62317224000.0
2298.0,55802760000.0,82575800000.0,59738223000.0,61848617000.0
2299.0,55786880000.0,82350350000.0,59240587000.0,61535480000.0
2300.0,55668543000.0,82451700000.0,61139296000.0,61108048000.0
