time,CESM2-WACCM,ACCESS-CM2,MRI-ESM2-0,CANESM5,ACCESS-ESM1-5,IPSL-CM6A-LR
2000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0
2001.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0
2002.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0
2003.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0
2004.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0
2005.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0
2006.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0
2007.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0
2008.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0
2009.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0
2010.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0
2011.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0
2012.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0
2013.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0
2014.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0
2015.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0
2016.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0
2017.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0
2018.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0
2019.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0
2020.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0
2021.0,104674530000.0,104680540000.0,104617870000.0,104675570000.0,104669430000.0,104632850000.0
2022.0,104838200000.0,104703630000.0,104823820000.0,104628080000.0,104600625000.0,104585760000.0
2023.0,105946550000.0,104648870000.0,104645090000.0,104615330000.0,104532580000.0,104518450000.0
2024.0,104988870000.0,104896360000.0,104685320000.0,104983440000.0,104523440000.0,104498220000.0
2025.0,104792810000.0,105069700000.0,104508620000.0,104621785000.0,104431575000.0,104432030000.0
2026.0,104619830000.0,104696240000.0,104468190000.0,104507470000.0,104393360000.0,104377600000.0
2027.0,104561720000.0,104543200000.0,104439005000.0,104467920000.0,104339775000.0,104338550000.0
2028.0,104520370000.0,104482720000.0,104414040000.0,104462030000.0,104286410000.0,104289880000.0
2029.0,104564800000.0,104472700000.0,104344100000.0,104399266000.0,104220344000.0,104225210000.0
2030.0,104469774000.0,104386036000.0,104329310000.0,104349640000.0,104227020000.0,104183160000.0
2031.0,104432890000.0,104382095000.0,104220025000.0,104291340000.0,104179220000.0,104115950000.0
2032.0,104341280000.0,104378070000.0,104164300000.0,104234330000.0,104088080000.0,104134120000.0
2033.0,104402070000.0,104363000000.0,104462520000.0,104134970000.0,104060390000.0,104060486000.0
2034.0,104303305000.0,104253570000.0,104110350000.0,104074486000.0,103996280000.0,104043050000.0
2035.0,104238970000.0,104260665000.0,104026800000.0,104024515000.0,104152470000.0,103939480000.0
2036.0,104165220000.0,104191710000.0,103985840000.0,103921890000.0,103908270000.0,103845405000.0
2037.0,104052910000.0,104192620000.0,103923060000.0,103807910000.0,104024040000.0,103857640000.0
2038.0,103974970000.0,104158080000.0,103826416000.0,103729060000.0,103864295000.0,104018030000.0
2039.0,104132540000.0,104022900000.0,103709740000.0,103662830000.0,103926860000.0,103768910000.0
2040.0,103916540000.0,103947166000.0,103680745000.0,103537200000.0,103821885000.0,103628530000.0
2041.0,103772365000.0,103854120000.0,103681220000.0,103430530000.0,103673210000.0,103534264000.0
2042.0,103683560000.0,103795790000.0,103543180000.0,103361800000.0,103576000000.0,103501955000.0
2043.0,103644240000.0,103720124000.0,103401456000.0,103224320000.0,103710474000.0,103421570000.0
2044.0,103650060000.0,103584326000.0,103305280000.0,103104830000.0,103450480000.0,103281530000.0
2045.0,103461620000.0,103516996000.0,103259510000.0,102983115000.0,103349800000.0,103153770000.0
2046.0,103344970000.0,103412260000.0,103249880000.0,102951360000.0,103219040000.0,103145620000.0
2047.0,103218780000.0,103320110000.0,103193190000.0,102806970000.0,103157550000.0,102989880000.0
2048.0,103255930000.0,103152030000.0,103094936000.0,102705470000.0,103063470000.0,102874120000.0
2049.0,103056310000.0,103094920000.0,102942230000.0,102581180000.0,103262320000.0,102723240000.0
2050.0,102970360000.0,103013384000.0,102805740000.0,102541270000.0,102998880000.0,102611130000.0
2051.0,102823470000.0,102875780000.0,102741110000.0,102319440000.0,102792750000.0,102676250000.0
2052.0,102705380000.0,102809300000.0,102591750000.0,102287950000.0,102706220000.0,102353535000.0
2053.0,102707240000.0,102661970000.0,102557360000.0,102119890000.0,102615890000.0,102359060000.0
2054.0,102550135000.0,102564086000.0,102450480000.0,102026190000.0,102549280000.0,102149620000.0
2055.0,102316786000.0,102396985000.0,102313900000.0,101816120000.0,102532645000.0,102562420000.0
2056.0,102147740000.0,102335350000.0,102139120000.0,101650690000.0,102465550000.0,102043100000.0
