time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0
2000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0
2001.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0
2002.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0
2003.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0
2004.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0
2005.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0
2006.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0
2007.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0
2008.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0
2009.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0
2010.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0
2011.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0
2012.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0
2013.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0
2014.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0
2015.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0
2016.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0
2017.0,86080180000.0,86080180000.0,86080180000.0,86080180000.0,86080180000.0,86080180000.0,86080180000.0
2018.0,85873100000.0,85873100000.0,85873100000.0,85873100000.0,85873100000.0,85873100000.0,85873100000.0
2019.0,85684470000.0,85684470000.0,85684470000.0,85684470000.0,85684470000.0,85684470000.0,85684470000.0
2020.0,85378500000.0,85378500000.0,85378500000.0,85378500000.0,85378500000.0,85378500000.0,85378500000.0
2021.0,85142260000.0,85140520000.0,85326880000.0,85238930000.0,85124970000.0,85070684000.0,85344450000.0
2022.0,84962705000.0,84907500000.0,85030560000.0,85114750000.0,84946610000.0,84801390000.0,85010320000.0
2023.0,84700180000.0,84608430000.0,84743635000.0,84733590000.0,84627220000.0,84339630000.0,84727070000.0
2024.0,84499235000.0,84579350000.0,84374110000.0,84577980000.0,84268450000.0,83748405000.0,84531440000.0
2025.0,84272400000.0,84254106000.0,83942100000.0,84383440000.0,84104930000.0,83222946000.0,84236430000.0
2026.0,84194330000.0,84026710000.0,83704020000.0,84217274000.0,83793510000.0,82715310000.0,84009690000.0
2027.0,83811280000.0,83659200000.0,85524865000.0,83993450000.0,83435225000.0,82095790000.0,83611420000.0
2028.0,83454590000.0,83499820000.0,85074035000.0,83802270000.0,83122780000.0,81748170000.0,83453300000.0
2029.0,83289300000.0,82953580000.0,83735945000.0,83362420000.0,82827805000.0,81225155000.0,83169370000.0
2030.0,82873680000.0,82452150000.0,83374120000.0,82933820000.0,82378250000.0,80527490000.0,82844170000.0
2031.0,82388380000.0,82061170000.0,82708040000.0,82798090000.0,82124170000.0,79926610000.0,82596700000.0
2032.0,82030510000.0,81413325000.0,82230624000.0,82267890000.0,81574180000.0,79250300000.0,82128180000.0
