time,GFDL-CM3,MPI-ESM-LR,CNRM-CM5,GISS-E2-R,NORESM1-M,CANESM2,CESM1-CAM5,GFDL-ESM2G,CSIRO-MK3-6-0,IPSL-CM5A-LR,CCSM4
2000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0
2001.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0
2002.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0
2003.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0
2004.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0
2005.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0
2006.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0
2007.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0
2008.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0
2009.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0
2010.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0
2011.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0
2012.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0
2013.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0
2014.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0
2015.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0
2016.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0
2017.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0
2018.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0
2019.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0
2020.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0
2021.0,33331919000.0,33387538000.0,33469667000.0,33388200000.0,33339976000.0,33878102000.0,33297512000.0,33285902000.0,33398155000.0,33385578000.0,33449531000.0
2022.0,33246687000.0,33598560000.0,33260480000.0,33419470000.0,33285587000.0,33511246000.0,33438798000.0,33300111000.0,33280578000.0,33255193000.0,33303308000.0
2023.0,33136964000.0,33278767000.0,33161325000.0,33330708000.0,33201283000.0,33309380000.0,33218877000.0,33236976000.0,33212867000.0,33201955000.0,33432496000.0
2024.0,33020703000.0,33187895000.0,33118919000.0,33304877000.0,33249415000.0,33396068000.0,33179273000.0,33191758000.0,33125335000.0,33272111000.0,33389779000.0
2025.0,32915802000.0,33123432000.0,33140630000.0,33293578000.0,33023338000.0,33220882000.0,33654893000.0,33049426000.0,33320602000.0,33026378000.0,33226273000.0
2026.0,32785287000.0,33342642000.0,33127730000.0,33166019000.0,32952402000.0,33035241000.0,33743403000.0,32973423000.0,33053820000.0,33027637000.0,33398690000.0
2027.0,32740667000.0,33158010000.0,33090793000.0,33100542000.0,32830171000.0,32907740000.0,33112960000.0,32872140000.0,32935023000.0,33365053000.0,33123324000.0
2028.0,32831918000.0,32990350000.0,32878408000.0,33021243000.0,32722405000.0,32729188000.0,33013592000.0,33423600000.0,32805134000.0,32920660000.0,33122738000.0
2029.0,32509809000.0,32888000000.0,32724310000.0,32972560000.0,32740348000.0,32613747000.0,32949862000.0,32865171000.0,32706152000.0,32736140000.0,32986431000.0
