time,MPI-ESM-LR,CNRM-CM5,GFDL-CM3,GISS-E2-R,NORESM1-M,CANESM2,CCSM4,IPSL-CM5A-LR,GFDL-ESM2G,CSIRO-MK3-6-0
2000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0
2001.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0
2002.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0
2003.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0
2004.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0
2005.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0
2006.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0
2007.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0
2008.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0
2009.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0
2010.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0
2011.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0
2012.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0
2013.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0
2014.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0
2015.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0
2016.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0
2017.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0
2018.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0
2019.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0
2020.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0
2021.0,33554401000.0,33427306000.0,33336910000.0,33623106000.0,33457900000.0,33289892000.0,33329019000.0,33542685000.0,33405624000.0,33284202000.0
2022.0,33427690000.0,33580060000.0,33288829000.0,33378535000.0,33347863000.0,33205567000.0,33240426000.0,33374206000.0,33444092000.0,33247922000.0
2023.0,33326414000.0,33368777000.0,33258949000.0,33343023000.0,33368918000.0,33210520000.0,33182876000.0,33496353000.0,33335945000.0,33131837000.0
2024.0,33234756000.0,33323799000.0,33150198000.0,33342978000.0,33268496000.0,33066803000.0,33089520000.0,33309436000.0,33247652000.0,33019148000.0
2025.0,33238061000.0,33563390000.0,33057677000.0,33203055000.0,33184635000.0,32982084000.0,33031797000.0,33206040000.0,33144058000.0,32927224000.0
2026.0,33366030000.0,33211746000.0,32943634000.0,33115455000.0,33101548000.0,32982907000.0,33101984000.0,33429488000.0,33231313000.0,32786885000.0
2027.0,33681482000.0,33768212000.0,32841450000.0,33146362000.0,33016048000.0,32727091000.0,33133440000.0,33248182000.0,32943086000.0,32712278000.0
2028.0,33303982000.0,33505546000.0,32691137000.0,32986230000.0,32944460000.0,32608342000.0,33117039000.0,33214360000.0,33689526000.0,32584858000.0
2029.0,33070354000.0,33254349000.0,32519997000.0,32887060000.0,32812186000.0,32435597000.0,32802497000.0,33020654000.0,33587894000.0,32434688000.0
2030.0,33030554000.0,33070592000.0,32355164000.0,32788247000.0,32641995000.0,32339706000.0,32722072000.0,32869618000.0,32880290000.0,32272271000.0
2031.0,32911346000.0,33000876000.0,32234240000.0,32886300000.0,32518134000.0,32110316000.0,32616606000.0,32762962000.0,32666165000.0,32437390000.0
2032.0,32778594000.0,32968403000.0,31986379000.0,32646318000.0,32522052000.0,31988965000.0,32411052000.0,32645069000.0,32633657000.0,32082924000.0
2033.0,32688724000.0,32921313000.0,31766010000.0,32496101000.0,32313473000.0,32030659000.0,32283138000.0,32477618000.0,32443128000.0,31830843000.0
