time,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,GFDL-ESM2G,CCSM4,IPSL-CM5A-LR,GFDL-CM3,GISS-E2-R
2000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0
2001.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0
2002.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0
2003.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0
2004.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0
2005.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0
2006.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0
2007.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0
2008.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0
2009.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0
2010.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0
2011.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0
2012.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0
2013.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0
2014.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0
2015.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0
2016.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0
2017.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0
2018.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0
2019.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0
2020.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0
2021.0,34565935000.0,33589551000.0,33445736000.0,33645746000.0,33331390000.0,33392372000.0,33369061000.0,33522674000.0
2022.0,33672966000.0,33307396000.0,33389636000.0,33571592000.0,33289462000.0,33317667000.0,33288163000.0,33431849000.0
2023.0,33494292000.0,33203393000.0,33434153000.0,33604590000.0,33469905000.0,33921972000.0,33176037000.0,33351190000.0
2024.0,33636172000.0,33132882000.0,33432535000.0,33402600000.0,33214171000.0,33340613000.0,33075130000.0,33333524000.0
2025.0,33484354000.0,33267530000.0,33328402000.0,33278073000.0,33146716000.0,33272662000.0,32949314000.0,33241063000.0
2026.0,33307898000.0,33118327000.0,33242044000.0,33238845000.0,33206776000.0,33248264000.0,32914137000.0,33142684000.0
2027.0,33261865000.0,33058380000.0,33167847000.0,33078362000.0,33438820000.0,33164149000.0,32693654000.0,33053348000.0
2028.0,33253702000.0,33095438000.0,33204783000.0,32988223000.0,33109600000.0,33077164000.0,32539034000.0,33083083000.0
2029.0,33152897000.0,32916419000.0,34110867000.0,32952283000.0,33062588000.0,32994908000.0,32356858000.0,33491132000.0
2030.0,33560447000.0,32817850000.0,33533750000.0,32782023000.0,33106115000.0,32896823000.0,32229456000.0,33117930000.0
2031.0,33534988000.0,32762600000.0,33083218000.0,32768498000.0,34267520000.0,32892346000.0,31955108000.0,32979149000.0
2032.0,33454066000.0,32703345000.0,32938684000.0,32697813000.0,33489950000.0,32826163000.0,31702508000.0,32825561000.0
2033.0,33136437000.0,33091963000.0,33115703000.0,32602782000.0,33084676000.0,33381167000.0,31644940000.0,32738306000.0
2034.0,33060332000.0,32565120000.0,32832946000.0,32441948000.0,32904894000.0,32667546000.0,31275125000.0,32668348000.0
2035.0,32962132000.0,32399081000.0,32741313000.0,32399536000.0,32891163000.0,32440183000.0,31009386000.0,32559895000.0
2036.0,33069726000.0,32295746000.0,32983261000.0,32198685000.0,32770796000.0,32317788000.0,30685741000.0,32437158000.0
2037.0,32904946000.0,32129020000.0,32798702000.0,33055396000.0,32714990000.0,32177816000.0,30403283000.0,32473932000.0
2038.0,32779362000.0,32096098000.0,32618484000.0,32516745000.0,32552237000.0,32052568000.0,30039122000.0,32219023000.0
2039.0,32681890000.0,32059260000.0,32474480000.0,32174176000.0,32422066000.0,31830060000.0,29676374000.0,32117651000.0
2040.0,32568037000.0,32474995000.0,32570919000.0,32045046000.0,32415128000.0,31511142000.0,29365590000.0,32112892000.0
2041.0,32479610000.0,31897813000.0,32429853000.0,31841171000.0,32224356000.0,31924695000.0,28973603000.0,31813579000.0
2042.0,32304212000.0,31630143000.0,32422510000.0,31562142000.0,32139719000.0,31327855000.0,28572363000.0,31627217000.0
2043.0,32201132000.0,31492650000.0,32708864000.0,31426824000.0,32018370000.0,31156950000.0,28184547000.0,31483679000.0
2044.0,32094155000.0,31294362000.0,32275304000.0,31214942000.0,32347140000.0,30881403000.0,27626834000.0,31480590000.0
2045.0,31985690000.0,31127783000.0,32125993000.0,30998850000.0,31757896000.0,30674598000.0,27178138000.0,31351706000.0
2046.0,31821203000.0,31076710000.0,32231674000.0,30849905000.0,31616594000.0,30365262000.0,26746962000.0,31142484000.0
2047.0,31706126000.0,30787353000.0,31966693000.0,31136664000.0,31549060000.0,30406300000.0,26415202000.0,30914435000.0
2048.0,31565287000.0,30623517000.0,31874230000.0,30514788000.0,31420455000.0,29893450000.0,26061873000.0,30714282000.0
2049.0,31385960000.0,30379905000.0,31791528000.0,30370273000.0,31256529000.0,29296800000.0,25551178000.0,30577050000.0
2050.0,31236434000.0,30162086000.0,32446781000.0,30169778000.0,31021120000.0,29043080000.0,25325531000.0,30372325000.0
2051.0,30983119000.0,30083086000.0,31765486000.0,30077714000.0,30799462000.0,28878787000.0,24908240000.0,30236815000.0
2052.0,30742299000.0,29926318000.0,31753916000.0,29969310000.0,30671925000.0,29051922000.0,24537540000.0,30067862000.0
2053.0,30583800000.0,29665985000.0,31421473000.0,29609880000.0,30486256000.0,28420037000.0,24069997000.0,29839405000.0
2054.0,30819308000.0,29451887000.0,31234148000.0,29403224000.0,30249103000.0,28167473000.0,23839267000.0,29681197000.0
2055.0,30259124000.0,29327684000.0,31078003000.0,29177481000.0,30082230000.0,27791766000.0,23320842000.0,29483289000.0
2056.0,29938092000.0,30894948000.0,31086470000.0,28977877000.0,30058287000.0,27483740000.0,22893867000.0,29324986000.0
2057.0,29749470000.0,29288180000.0,30724524000.0,28644899000.0,29879871000.0,27111733000.0,22468071000.0,29126949000.0
2058.0,29431824000.0,28875778000.0,30543500000.0,28300722000.0,29652089000.0,26800464000.0,22068597000.0,28956070000.0
2059.0,29311330000.0,29344535000.0,30397202000.0,28067150000.0,29397465000.0,26847920000.0,21710529000.0,28863533000.0
2060.0,29085602000.0,28679240000.0,30187370000.0,27645706000.0,29126552000.0,26546018000.0,21319387000.0,28681562000.0
2061.0,28928838000.0,28454154000.0,29940974000.0,27265147000.0,28870566000.0,26117913000.0,20845870000.0,28467413000.0
2062.0,28722295000.0,28138891000.0,29676260000.0,27035826000.0,28671695000.0,25748625000.0,20478070000.0,28386963000.0
2063.0,28613650000.0,27930747000.0,29513646000.0,26791973000.0,28472110000.0,25476184000.0,20064383000.0,28167094000.0
2064.0,28432128000.0,27838018000.0,29264265000.0,26422508000.0,28270406000.0,25225780000.0,19592854000.0,28015544000.0
2065.0,28173697000.0,27613549000.0,29034700000.0,26136347000.0,28030106000.0,24913338000.0,19237593000.0,27848587000.0
2066.0,28234607000.0,27390517000.0,28869090000.0,25835954000.0,27776033000.0,24598276000.0,18942060000.0,27796860000.0
2067.0,27720230000.0,27200692000.0,28611285000.0,25844306000.0,27534840000.0,24307036000.0,18496827000.0,27540732000.0
2068.0,27650722000.0,26929443000.0,28318685000.0,25487516000.0,27239576000.0,24067858000.0,18070018000.0,27356440000.0
2069.0,27283510000.0,26677428000.0,28114352000.0,25057080000.0,26952800000.0,23770393000.0,17698286000.0,27197139000.0
2070.0,26948766000.0,26454905000.0,27761043000.0,25011053000.0,26754860000.0,23398134000.0,17212232000.0,26946656000.0
2071.0,26652758000.0,26218699000.0,27348052000.0,24570683000.0,26510037000.0,23159126000.0,16879002000.0,26816977000.0
2072.0,26400358000.0,25961070000.0,27138408000.0,24252109000.0,26225885000.0,22860190000.0,16487015000.0,26621155000.0
2073.0,26126354000.0,25792936000.0,27145982000.0,23863734000.0,25909820000.0,22539792000.0,16097722000.0,26388107000.0
2074.0,25931837000.0,25558342000.0,26697820000.0,24117527000.0,25769943000.0,22196795000.0,15733809000.0,26279938000.0
2075.0,25622944000.0,25268750000.0,26323260000.0,23594740000.0,25546400000.0,21823463000.0,15350101000.0,26046476000.0
2076.0,25192542000.0,24910854000.0,25955300000.0,23354057000.0,25128468000.0,21379100000.0,14921104000.0,25801920000.0
2077.0,24950039000.0,24634960000.0,26069723000.0,23081828000.0,24825050000.0,21098697000.0,14458759000.0,25588349000.0
2078.0,24757594000.0,24395784000.0,25576255000.0,22852725000.0,24585918000.0,20678212000.0,14061759000.0,25407461000.0
2079.0,24477966000.0,24160838000.0,25371126000.0,22525243000.0,24309680000.0,20200098000.0,13638372000.0,25328250000.0
2080.0,24140194000.0,23782052000.0,25040028000.0,22228396000.0,24486113000.0,19815850000.0,13236922000.0,25092960000.0
2081.0,23814066000.0,23472670000.0,24946130000.0,21938614000.0,24047225000.0,19555424000.0,12790886000.0,24894886000.0
2082.0,23542514000.0,23192807000.0,24388147000.0,21726978000.0,23581802000.0,19240225000.0,12406832000.0,24557500000.0
2083.0,23246084000.0,22856243000.0,24067035000.0,21465481000.0,23371770000.0,18915383000.0,11941359000.0,24338717000.0
2084.0,22979430000.0,22524050000.0,24369990000.0,21077518000.0,23092711000.0,18525780000.0,11578611000.0,24131720000.0
2085.0,22703806000.0,22097314000.0,23845468000.0,20990390000.0,22723680000.0,18196689000.0,11147808000.0,23871324000.0
2086.0,23148042000.0,21735946000.0,23640138000.0,20745724000.0,22699639000.0,17808140000.0,10776728000.0,23589110000.0
2087.0,22316388000.0,21545181000.0,23521251000.0,20557242000.0,22290000000.0,17506505000.0,10534744000.0,23411653000.0
2088.0,21938360000.0,21256247000.0,23022810000.0,20373574000.0,22040672000.0,17181993000.0,10070236000.0,23189983000.0
2089.0,21800520000.0,20948842000.0,22720684000.0,20143544000.0,21989337000.0,16880348000.0,9705401000.0,22915545000.0
2090.0,21583522000.0,20633150000.0,22545662000.0,19976964000.0,21699828000.0,16544633000.0,9383928000.0,22725206000.0
2091.0,21221734000.0,20798527000.0,22033297000.0,19716284000.0,21355137000.0,16217044000.0,9065050000.0,22377430000.0
2092.0,21079390000.0,20141287000.0,21748787000.0,19546636000.0,21076146000.0,15879242000.0,8723694000.0,22090390000.0
2093.0,20780863000.0,19755573000.0,21413442000.0,19363783000.0,20807141000.0,15399756000.0,8337814000.0,21837603000.0
2094.0,20581804000.0,19458273000.0,21215887000.0,19022780000.0,20539867000.0,15021112000.0,8099631600.0,22773699000.0
2095.0,20249506000.0,19280468000.0,20880464000.0,18815097000.0,20293745000.0,14688472000.0,7844726000.0,21494936000.0
2096.0,20007512000.0,18842946000.0,20609008000.0,19126866000.0,20080520000.0,14349108000.0,7574945300.0,21237211000.0
2097.0,19726807000.0,18402769000.0,20334688000.0,18823379000.0,19835226000.0,14042894000.0,7334768600.0,21066932000.0
2098.0,19385936000.0,17997064000.0,20076182000.0,18546553000.0,19550276000.0,13815882000.0,7105116000.0,20794188000.0
2099.0,19095030000.0,17852936000.0,19864769000.0,18252860000.0,19335977000.0,15202464000.0,6822094000.0,20517538000.0
2100.0,18903390000.0,17504500000.0,19557313000.0,18133530000.0,19097725000.0,13325193000.0,6631391000.0,20266056000.0
