time,CESM2,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,GFDL-ESM4,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,MRI-ESM2-0
2000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0
2001.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0
2002.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0
2003.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0
2004.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0
2005.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0
2006.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0
2007.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0
2008.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0
2009.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0
2010.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0
2011.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0
2012.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0
2013.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0
2014.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0
2015.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0
2016.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0
2017.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0
2018.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0
2019.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0
2020.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0
2021.0,48744497000.0,48927986000.0,48824443000.0,49158560000.0,48902164000.0,48813860000.0,49017220000.0,48747180000.0,48669282000.0,48671990000.0,48753990000.0,48818344000.0,48949137000.0,48740667000.0
2022.0,48473706000.0,48812044000.0,48623395000.0,49619046000.0,48890510000.0,48542507000.0,48694096000.0,48541516000.0,48459186000.0,48527204000.0,48639406000.0,48731360000.0,48811815000.0,48487400000.0
2023.0,48242520000.0,48515097000.0,48415162000.0,48880360000.0,48654127000.0,48429367000.0,48601797000.0,48521270000.0,48260137000.0,48322376000.0,48564100000.0,48467150000.0,48730903000.0,48314540000.0
2024.0,47967687000.0,48298377000.0,48314294000.0,48552575000.0,48520397000.0,48203846000.0,48460320000.0,48099447000.0,47984850000.0,48199300000.0,48431985000.0,48171012000.0,48465932000.0,48126770000.0
2025.0,47780190000.0,48518790000.0,50560643000.0,48366580000.0,48603615000.0,47999920000.0,48092430000.0,47868735000.0,47700414000.0,48025096000.0,49071740000.0,47922524000.0,48123556000.0,47820055000.0
2026.0,47510390000.0,48047900000.0,48626640000.0,48227336000.0,48530043000.0,47799180000.0,47856680000.0,47662326000.0,47443816000.0,47788868000.0,48677614000.0,47704330000.0,47901910000.0,47572767000.0
2027.0,47321047000.0,47825785000.0,48207553000.0,48009236000.0,48119220000.0,47618036000.0,47795786000.0,47508930000.0,47083450000.0,47595454000.0,48340386000.0,47669957000.0,47944823000.0,47405040000.0
2028.0,47069303000.0,47565490000.0,47735472000.0,47651684000.0,48045527000.0,47352220000.0,47511933000.0,47234980000.0,46771370000.0,47529040000.0,48706210000.0,47390786000.0,47488980000.0,47059366000.0
2029.0,46890484000.0,48423657000.0,47790375000.0,47632253000.0,47758930000.0,47055630000.0,47253955000.0,46960714000.0,46317904000.0,47285720000.0,47695176000.0,47190778000.0,47287656000.0,46765030000.0
2030.0,46449066000.0,47560126000.0,47676330000.0,47787135000.0,47520000000.0,46707892000.0,46957666000.0,47046640000.0,45951365000.0,47058952000.0,47784706000.0,46867276000.0,46909710000.0,46534020000.0
2031.0,46176870000.0,47031865000.0,47449040000.0,47333655000.0,47386680000.0,46450156000.0,46744070000.0,46925710000.0,45480317000.0,46963990000.0,47443386000.0,46720710000.0,46527934000.0,46125404000.0
2032.0,45844490000.0,46717450000.0,47505924000.0,47026890000.0,47133500000.0,46120632000.0,46450790000.0,46336795000.0,45027750000.0,46621086000.0,47176870000.0,46305200000.0,46230350000.0,45772833000.0
2033.0,45454627000.0,46483104000.0,46978640000.0,46877740000.0,46853673000.0,45700910000.0,46262305000.0,45951275000.0,44608127000.0,46373150000.0,47053857000.0,46054044000.0,45899444000.0,45413073000.0
2034.0,44995120000.0,46104500000.0,46851340000.0,46615180000.0,46695797000.0,45388600000.0,45871444000.0,45870660000.0,44116017000.0,46185075000.0,46647775000.0,45815177000.0,45617693000.0,44981850000.0
2035.0,44702430000.0,46144300000.0,47020260000.0,47542680000.0,46640538000.0,45088300000.0,45402620000.0,45409330000.0,43724567000.0,46001627000.0,46659166000.0,45495513000.0,45177670000.0,44659466000.0
2036.0,44371788000.0,45626855000.0,46516842000.0,46361900000.0,46263878000.0,44887040000.0,45206870000.0,45055164000.0,43462164000.0,45708130000.0,46180290000.0,45248827000.0,44827017000.0,44161890000.0
2037.0,43824000000.0,45291184000.0,46289410000.0,45795870000.0,46138716000.0,44296425000.0,45024750000.0,44749943000.0,42787135000.0,45395340000.0,46492620000.0,44920710000.0,44685836000.0,43547963000.0
