time,MPI-ESM1-2-HR,CAMS-CSM1-0,CESM2-WACCM,CESM2,EC-EARTH3,NORESM2-MM,INM-CM4-8,INM-CM5-0,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0
2000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0
2001.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0
2002.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0
2003.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0
2004.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0
2005.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0
2006.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0
2007.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0
2008.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0
2009.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0
2010.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0
2011.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0
2012.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0
2013.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0
2014.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0
2015.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0
2016.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0
2017.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0
2018.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0
2019.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0
2020.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0
2021.0,48753463000.0,49164313000.0,48847057000.0,48777265000.0,48804553000.0,48824455000.0,48703386000.0,48923050000.0,48944636000.0,48816990000.0,49032050000.0,48930840000.0,48690065000.0
2022.0,48556480000.0,48768160000.0,48722465000.0,48496520000.0,48496230000.0,48584710000.0,48638930000.0,48793416000.0,48689390000.0,48648167000.0,48741790000.0,49151447000.0,48575648000.0
2023.0,48357896000.0,48485077000.0,48469082000.0,48256130000.0,48314356000.0,48393544000.0,49377526000.0,48559292000.0,48437770000.0,48510665000.0,48557715000.0,48682775000.0,48331310000.0
2024.0,48147878000.0,48457322000.0,48482320000.0,48086684000.0,48022544000.0,48254280000.0,48562696000.0,48375490000.0,48323777000.0,48374104000.0,48459170000.0,48296993000.0,48122350000.0
2025.0,47823954000.0,48167875000.0,48406835000.0,47869825000.0,47767740000.0,48015667000.0,48457904000.0,48171966000.0,48221740000.0,48187360000.0,48386100000.0,48146550000.0,47985394000.0
2026.0,47722385000.0,47954530000.0,47931224000.0,47724356000.0,47473885000.0,47835517000.0,48180060000.0,48022385000.0,47816233000.0,48184310000.0,49838790000.0,47916687000.0,47685490000.0
2027.0,47499854000.0,47711896000.0,47723420000.0,47449584000.0,47157460000.0,47667225000.0,47996084000.0,48061440000.0,47546000000.0,48112894000.0,48474833000.0,47815496000.0,47457653000.0
2028.0,47338004000.0,47542645000.0,47557020000.0,47184120000.0,46858514000.0,47801487000.0,47990608000.0,47643714000.0,47307354000.0,47695780000.0,47857287000.0,47506813000.0,47197954000.0
2029.0,47136424000.0,47780168000.0,47331238000.0,46896120000.0,46460090000.0,47232820000.0,47695160000.0,47300604000.0,46935675000.0,47522476000.0,47702827000.0,47326794000.0,46857916000.0
2030.0,46776580000.0,47747710000.0,47057175000.0,46746505000.0,46038688000.0,46912940000.0,47502033000.0,46958690000.0,46659370000.0,47277183000.0,47468884000.0,47112900000.0,46567570000.0
