time,ACCESS-ESM1-5,MRI-ESM2-0,CESM2-WACCM,CANESM5,ACCESS-CM2,IPSL-CM6A-LR
2000.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0
2001.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0
2002.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0
2003.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0
2004.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0
2005.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0
2006.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0
2007.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0
2008.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0
2009.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0
2010.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0
2011.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0
2012.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0
2013.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0
2014.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0
2015.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0
2016.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0
2017.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0
2018.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0
2019.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0
2020.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0
2021.0,693290433200.0,692675774200.0,693160581300.0,693125571760.0,693808233100.0,694967337700.0
2022.0,691505387900.0,691786677900.0,692419564900.0,694357675900.0,691905830600.0,692691017100.0
2023.0,690531773000.0,690117436200.0,692348834360.0,690863886730.0,690489225450.0,691631012440.0
2024.0,689673789900.0,688652788940.0,689016107300.0,689265236300.0,689960371100.0,690656378560.0
2025.0,688112329800.0,686720346100.0,687012789440.0,686463522740.0,687795423300.0,688450727950.0
2026.0,686103542600.0,685564259100.0,684492105900.0,684570281200.0,686086551060.0,687191438360.0
2027.0,684342984660.0,683072330800.0,682473584100.0,682586224200.0,684053971540.0,686327772270.0
2028.0,681764522600.0,681672165250.0,680572467400.0,680372970800.0,681242670560.0,684484950000.0
2029.0,679781467460.0,679266700840.0,678349165040.0,677675523370.0,679118146680.0,683675878570.0
