time,FGOALS-F3-L,GFDL-ESM4,EC-EARTH3-VEG,CMCC-CM2-SR5,NORESM2-MM,CAMS-CSM1-0,INM-CM5-0,BCC-CSM2-MR,CESM2,MPI-ESM1-2-HR,MRI-ESM2-0,INM-CM4-8,EC-EARTH3,CESM2-WACCM
2000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0
2001.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0
2002.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0
2003.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0
2004.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0
2005.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0
2006.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0
2007.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0
2008.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0
2009.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0
2010.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0
2011.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0
2012.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0
2013.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0
2014.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0
2015.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0
2016.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0
2017.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0
2018.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0
2019.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0
2020.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0
2021.0,7262119000000.0,7261393500000.0,7238472700000.0,7294390000000.0,7256524000000.0,7268688000000.0,7257730300000.0,7250432000000.0,7244681000000.0,7273986000000.0,7279875700000.0,7264415000000.0,7244823400000.0,7288738000000.0
2022.0,7244386700000.0,7230242400000.0,7194729000000.0,7289019300000.0,7245787000000.0,7251649600000.0,7211607700000.0,7241955000000.0,7225247500000.0,7256766000000.0,7264660000000.0,7226386000000.0,7209976600000.0,7284591000000.0
2023.0,7220267000000.0,7207728400000.0,7158225000000.0,7281552400000.0,7233851000000.0,7236268600000.0,7167255500000.0,7202949600000.0,7203218000000.0,7213140700000.0,7244449600000.0,7222071400000.0,7179586000000.0,7263965000000.0
2024.0,7209470700000.0,7176656000000.0,7143504000000.0,7268790700000.0,7226423500000.0,7233761000000.0,7124964000000.0,7182649000000.0,7176347700000.0,7196532300000.0,7223495400000.0,7219386500000.0,7144233000000.0,7251147400000.0
2025.0,7189234000000.0,7149787300000.0,7117943600000.0,7251477700000.0,7217408400000.0,7188492000000.0,7085102000000.0,7156809600000.0,7150957000000.0,7164430000000.0,7202358000000.0,7215083700000.0,7106921000000.0,7242439000000.0
2026.0,7166937000000.0,7133524400000.0,7079832600000.0,7223293500000.0,7208657000000.0,7172239400000.0,7068952600000.0,7149773000000.0,7135985000000.0,7142954000000.0,7160142000000.0,7192902600000.0,7073178000000.0,7228633000000.0
2027.0,7135240400000.0,7087323000000.0,7013347600000.0,7191627000000.0,7202922000000.0,7172121400000.0,7037784700000.0,7140759000000.0,7118933000000.0,7116271600000.0,7116107000000.0,7182053000000.0,7039650000000.0,7212622700000.0
2028.0,7123887000000.0,7056193000000.0,6970076000000.0,7164709000000.0,7197439300000.0,7136221000000.0,7025265700000.0,7121611000000.0,7100577000000.0,7064839000000.0,7092768000000.0,7174303500000.0,7004161600000.0,7175398000000.0
2029.0,7086878500000.0,7036225000000.0,6933733400000.0,7128527400000.0,7182159000000.0,7113548500000.0,6986857000000.0,7094616000000.0,7071066500000.0,7041521300000.0,7051077000000.0,7146314400000.0,6956697000000.0,7157960400000.0
2030.0,7077354000000.0,7014261000000.0,6875778000000.0,7111746000000.0,7179455700000.0,7082959000000.0,6962619000000.0,7101356000000.0,7045543000000.0,7004179000000.0,7012292000000.0,7128364400000.0,6939493000000.0,7147438500000.0
2031.0,7057837700000.0,7004494500000.0,6825278700000.0,7110478000000.0,7170198000000.0,7070443600000.0,6921168000000.0,7056981000000.0,7035591000000.0,6984673000000.0,7000611000000.0,7117733000000.0,6914732700000.0,7144394000000.0
2032.0,7019897600000.0,6962537300000.0,6773941000000.0,7109732700000.0,7156098700000.0,7043694500000.0,6877216000000.0,7043096000000.0,6998479000000.0,6978345600000.0,6963727400000.0,7103575500000.0,6887647000000.0,7141235600000.0
2033.0,6995656000000.0,6942007000000.0,6742029600000.0,7068559000000.0,7139491000000.0,7030203000000.0,6873241000000.0,7044864700000.0,6969355700000.0,6962737600000.0,6942317600000.0,7067699000000.0,6866818600000.0,7112979000000.0
2034.0,6978794400000.0,6930630000000.0,6720165000000.0,7032121000000.0,7114812600000.0,7007665000000.0,6849633500000.0,7059363300000.0,6941240700000.0,6906256000000.0,6909773500000.0,7048006000000.0,6835070300000.0,7086257000000.0
2035.0,6947059000000.0,6908925700000.0,6667733300000.0,7004165000000.0,7089288600000.0,6993608700000.0,6823237000000.0,7016205500000.0,6925992000000.0,6895136400000.0,6897289000000.0,7015354600000.0,6796287700000.0,7063630500000.0
2036.0,6941505500000.0,6843222500000.0,6622070400000.0,6988882000000.0,7067393300000.0,6978031600000.0,6803830600000.0,6970226500000.0,6904865000000.0,6848032000000.0,6884738700000.0,7007054000000.0,6747132500000.0,7042326600000.0
2037.0,6905063000000.0,6792390600000.0,6583436000000.0,6949591000000.0,7045122000000.0,6970624400000.0,6768832000000.0,6961876700000.0,6890291000000.0,6815382000000.0,6858491000000.0,6981826000000.0,6705682300000.0,7040299700000.0
2038.0,6846435300000.0,6775141600000.0,6537679500000.0,6904564000000.0,7026155000000.0,6953995600000.0,6750206000000.0,6937126000000.0,6831591000000.0,6777323700000.0,6838517500000.0,6967725700000.0,6642502000000.0,7012869000000.0
2039.0,6825777300000.0,6739277000000.0,6505369000000.0,6870217500000.0,7014404600000.0,6924342000000.0,6724259000000.0,6920846000000.0,6784228000000.0,6766442600000.0,6781467600000.0,6961092400000.0,6606647500000.0,6999411000000.0
2040.0,6802472700000.0,6718083000000.0,6453327000000.0,6843560600000.0,7002739700000.0,6917510400000.0,6683856700000.0,6878079000000.0,6733726000000.0,6757541000000.0,6738046000000.0,6931090000000.0,6559772000000.0,6998127000000.0
2041.0,6758932700000.0,6687367400000.0,6405686000000.0,6834554000000.0,6994882000000.0,6904075500000.0,6649894000000.0,6862194000000.0,6705207300000.0,6748593000000.0,6679122000000.0,6908559000000.0,6520570400000.0,6965828000000.0
