time,CANESM5,IPSL-CM6A-LR,ACCESS-ESM1-5,CESM2-WACCM,ACCESS-CM2,MRI-ESM2-0
2000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0
2001.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0
2002.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0
2003.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0
2004.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0
2005.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0
2006.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0
2007.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0
2008.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0
2009.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0
2010.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0
2011.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0
2012.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0
2013.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0
2014.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0
2015.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0
2016.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0
2017.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0
2018.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0
2019.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0
2020.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0
2021.0,33453320000.0,33659974000.0,33579010000.0,33371240000.0,33320296000.0,33371890000.0
2022.0,34698224000.0,33366500000.0,33406490000.0,33499689000.0,33266237000.0,33325760000.0
2023.0,33263383000.0,33302864000.0,33327505000.0,33438028000.0,33251797000.0,33219300000.0
2024.0,33130189000.0,33222334000.0,33218013000.0,33260460000.0,33128116000.0,33121931000.0
2025.0,32982827000.0,33177123000.0,33149415000.0,33212470000.0,33064516000.0,33054458000.0
2026.0,32900526000.0,33244985000.0,33053032000.0,33117810000.0,32970950000.0,33015052000.0
2027.0,32793743000.0,33051052000.0,32972340000.0,32972261000.0,32829686000.0,32909130000.0
2028.0,32684354000.0,32928748000.0,32890270000.0,32862005000.0,32695850000.0,32770918000.0
2029.0,32623196000.0,32806162000.0,32829370000.0,32795460000.0,32587233000.0,32646371000.0
2030.0,32422021000.0,32709147000.0,32766505000.0,32712600000.0,32673751000.0,32588456000.0
2031.0,32507832000.0,32575848000.0,32668465000.0,32628853000.0,32429937000.0,32469109000.0
2032.0,33142286000.0,32424854000.0,32535570000.0,32476817000.0,32288348000.0,32344030000.0
2033.0,32592017000.0,32332659000.0,32408711000.0,32551805000.0,32131396000.0,32182817000.0
2034.0,32313948000.0,32213131000.0,32269416000.0,32309436000.0,31905823000.0,32108542000.0
2035.0,31976830000.0,31960144000.0,32141070000.0,32231504000.0,31801666000.0,31936557000.0
2036.0,31717134000.0,31687311000.0,32022820000.0,32087773000.0,31624507000.0,31695813000.0
2037.0,31549460000.0,31620833000.0,31864891000.0,32254167000.0,31744578000.0,31531209000.0
2038.0,31187874000.0,31391980000.0,31690584000.0,31871800000.0,31372777000.0,31337270000.0
2039.0,31167644000.0,31458759000.0,31614200000.0,31794246000.0,31212143000.0,31294652000.0
2040.0,30722015000.0,31057357000.0,31433300000.0,31601062000.0,31076096000.0,30903093000.0
2041.0,30404140000.0,30926098000.0,31209957000.0,31393384000.0,30803675000.0,30626163000.0
2042.0,30097596000.0,30835184000.0,31051550000.0,31332372000.0,30611350000.0,30381763000.0
2043.0,29726343000.0,30503727000.0,30771673000.0,31007156000.0,30581572000.0,31033428000.0
2044.0,29423657000.0,30378437000.0,30586493000.0,30840010000.0,30293565000.0,30492684000.0
2045.0,28915964000.0,30144731000.0,30319448000.0,30728507000.0,30094911000.0,30040447000.0
2046.0,28575795000.0,30074348000.0,30154263000.0,30436630000.0,29781416000.0,29788338000.0
2047.0,28484123000.0,29936968000.0,29985528000.0,30326528000.0,29445765000.0,29507291000.0
2048.0,27913566000.0,29757820000.0,29704500000.0,30080750000.0,29199420000.0,29277536000.0
2049.0,27618585000.0,29529560000.0,29468539000.0,29907562000.0,28968735000.0,29065159000.0
2050.0,27788160000.0,29259532000.0,29252504000.0,29755265000.0,28575158000.0,28782776000.0
2051.0,27140186000.0,28996332000.0,28999860000.0,29733896000.0,28202942000.0,28533217000.0
2052.0,26813415000.0,28896760000.0,28741640000.0,29423997000.0,28004385000.0,28268210000.0
2053.0,26663200000.0,28625764000.0,28436610000.0,29193240000.0,27762366000.0,27983899000.0
2054.0,26249100000.0,28500530000.0,28294062000.0,28964622000.0,27494187000.0,27790529000.0
2055.0,25839198000.0,28263690000.0,27966327000.0,28783346000.0,27225238000.0,27491178000.0
2056.0,25638337000.0,28703451000.0,27726910000.0,28699200000.0,26927366000.0,27321571000.0
2057.0,25354357000.0,27943838000.0,27549372000.0,28316987000.0,26790191000.0,27115768000.0
2058.0,26423658000.0,27588024000.0,27344703000.0,28176038000.0,26527693000.0,26831952000.0
2059.0,25061691000.0,27961188000.0,27492368000.0,27899648000.0,26305325000.0,26703327000.0
2060.0,24535196000.0,27390325000.0,26997190000.0,27532835000.0,25880105000.0,26450166000.0
2061.0,25891406000.0,27051225000.0,26756647000.0,27341623000.0,25594485000.0,26211817000.0
2062.0,24593449000.0,26865654000.0,26710204000.0,27136223000.0,25356250000.0,26782992000.0
2063.0,24000047000.0,26680375000.0,26545370000.0,26898040000.0,25176408000.0,25956874000.0
2064.0,23700343000.0,26416552000.0,26272893000.0,27016757000.0,24952504000.0,25744169000.0
2065.0,23380281000.0,26447907000.0,26016620000.0,26629239000.0,24688175000.0,25612972000.0
2066.0,23208688000.0,26060528000.0,26288984000.0,26508626000.0,24385163000.0,25364543000.0
2067.0,23047082000.0,25830631000.0,25910570000.0,26207142000.0,24123560000.0,25122226000.0
2068.0,22772060000.0,25675784000.0,25749350000.0,26067173000.0,24009132000.0,25050825000.0
2069.0,22579360000.0,25541091000.0,25471180000.0,25955040000.0,23647980000.0,25204169000.0
2070.0,22586065000.0,25510260000.0,25231362000.0,25770922000.0,23381883000.0,24763372000.0
2071.0,23674862000.0,25300349000.0,25036825000.0,25483842000.0,23179635000.0,24580186000.0
2072.0,22305118000.0,25097456000.0,24771539000.0,25284233000.0,22982156000.0,24591116000.0
2073.0,22038290000.0,24941150000.0,24590342000.0,25642918000.0,22638576000.0,24371468000.0
2074.0,22051054000.0,24793027000.0,24394279000.0,24982188000.0,22425913000.0,24275458000.0
2075.0,23653452000.0,24619516000.0,24259578000.0,24787671000.0,22525338000.0,24042598000.0
2076.0,22092042000.0,24430963000.0,24035703000.0,24610206000.0,22140996000.0,23808840000.0
2077.0,21795390000.0,24300378000.0,23846445000.0,24461621000.0,22025255000.0,23671257000.0
2078.0,21262740000.0,24111560000.0,23669550000.0,24368695000.0,21715042000.0,23500202000.0
2079.0,21031029000.0,23959704000.0,23517137000.0,24115430000.0,21541695000.0,23519785000.0
2080.0,20855298000.0,23872172000.0,23332557000.0,24104040000.0,21413636000.0,23263177000.0
2081.0,20711324000.0,23725406000.0,23238871000.0,23833300000.0,21158226000.0,23272862000.0
2082.0,20895728000.0,23550003000.0,23076890000.0,23618900000.0,20907000000.0,22957638000.0
2083.0,20499090000.0,23388985000.0,22968148000.0,23423193000.0,20706079000.0,22794664000.0
2084.0,20255177000.0,23483357000.0,22807441000.0,23818285000.0,20523311000.0,22722281000.0
2085.0,21544720000.0,23169657000.0,22680359000.0,23509557000.0,20296910000.0,22922406000.0
2086.0,21889670000.0,23022785000.0,22746073000.0,23322012000.0,20064557000.0,22726349000.0
2087.0,23168889000.0,22844692000.0,22432420000.0,23126866000.0,19857727000.0,22528248000.0
