time,EC-EARTH3,CMCC-CM2-SR5,EC-EARTH3-VEG,MRI-ESM2-0,INM-CM4-8,INM-CM5-0,CESM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR,NORESM2-MM,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L
2000.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0
2001.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0
2002.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0
2003.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0
2004.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0
2005.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0
2006.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0
2007.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0
2008.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0
2009.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0
2010.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0
2011.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0
2012.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0
2013.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0
2014.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0,1156562200.0
2015.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0,1149749500.0
