time,CESM2,INM-CM5-0,INM-CM4-8,MRI-ESM2-0,EC-EARTH3-VEG,EC-EARTH3,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,NORESM2-MM,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4
2000.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0,1160050400.0
2001.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0,1156214100.0
2002.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0,1163069700.0
2003.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0,1161962100.0
2004.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0,1168997600.0
2005.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0,1187017300.0
2006.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0,1188000500.0
2007.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0,1177802200.0
2008.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0,1172711200.0
2009.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0,1170564900.0
2010.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0,1186047700.0
2011.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0,1167215100.0
2012.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0,1165633000.0
2013.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0,1159283500.0
