time,IITM-ESM,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4,KACE-1-0-G,IPSL-CM6A-LR,MPI-ESM1-2-HR,TAIESM1,CESM2-WACCM
2000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0
2001.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0
2002.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0
2003.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0
2004.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0
2005.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0
2006.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0
2007.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0
2008.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0
2009.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0
2010.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0
2011.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0
2012.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0
2013.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0
2014.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0
2015.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0
2016.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0
2017.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0
2018.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0
2019.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0
2020.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0
2021.0,13858201000.0,13804935000.0,13782111000.0,13796229000.0,13837583000.0,13785174000.0,13783269000.0,13751652000.0,13755621000.0
2022.0,13759514000.0,13676529000.0,13608836000.0,13649193000.0,13792068000.0,13663871000.0,13714633000.0,13658016000.0,13565727000.0
2023.0,13652239000.0,13527710000.0,13541589000.0,13584230000.0,13834945000.0,13462740000.0,13517585000.0,13524188000.0,13451441000.0
2024.0,13532110000.0,13407953000.0,13353004000.0,13573683000.0,13489736000.0,13241989000.0,13334106000.0,13335924000.0,13282959000.0
2025.0,13401976000.0,13178947000.0,13174951000.0,13276835000.0,13309445000.0,13171426000.0,13244777000.0,13239819000.0,13092584000.0
2026.0,13397414000.0,12996016000.0,13043985000.0,13120429000.0,13305945000.0,13101917000.0,13090198000.0,13014290000.0,12937576000.0
2027.0,13295879000.0,12789916000.0,12841753000.0,12965520000.0,13092621000.0,12850183000.0,12959584000.0,12745833000.0,12764541000.0
2028.0,13125413000.0,12784421000.0,12691160000.0,12940969000.0,12874813000.0,12724305000.0,12950516000.0,12641283000.0,12642683000.0
2029.0,13016781000.0,12520361000.0,12659783000.0,12658521000.0,12635365000.0,12553438000.0,12715727000.0,12371720000.0,12522302000.0
2030.0,12879601000.0,12286561000.0,12545817000.0,12642848000.0,12460927000.0,12327196000.0,12575496000.0,12184775000.0,12308110000.0
2031.0,12790198000.0,12060760000.0,12250878000.0,12879269000.0,12362632000.0,12244645000.0,12437785000.0,11984389000.0,12039226000.0
2032.0,12662488000.0,11767520000.0,12073544000.0,12379469000.0,12204374000.0,11976695000.0,12284881000.0,11746138000.0,11803112000.0
2033.0,12510643000.0,11541386000.0,11886915000.0,12163357000.0,11998984000.0,11778250000.0,12156386000.0,11522408000.0,11644529000.0
