time,ACCESS-ESM1-5,CESM2-WACCM,ACCESS-CM2,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0
2001.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0
2002.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0
2003.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0
2004.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0
2005.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0
2006.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0
2007.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0
2008.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0
2009.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0
2010.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0
2011.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0
2012.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0
2013.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0
2014.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0
2015.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0
2016.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0
2017.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0
2018.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0
2019.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0
2020.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0
2021.0,830253000000.0,842402760000.0,825809200000.0,836088900000.0,833823900000.0,830080160000.0
2022.0,820843600000.0,819520340000.0,807857750000.0,811791300000.0,817710560000.0,819897900000.0
2023.0,823081600000.0,797431560000.0,782651800000.0,787904100000.0,814896000000.0,806199400000.0
2024.0,804978000000.0,780030900000.0,766812550000.0,764774100000.0,802729300000.0,790279100000.0
2025.0,790056340000.0,751704300000.0,747248350000.0,740169800000.0,783726100000.0,766952400000.0
2026.0,777063960000.0,727773200000.0,727528200000.0,724482460000.0,771925930000.0,754355000000.0
2027.0,756016100000.0,713173800000.0,717197540000.0,703528440000.0,760327440000.0,747878200000.0
2028.0,747055300000.0,681545500000.0,703355800000.0,684899300000.0,744880300000.0,738067400000.0
2029.0,726159650000.0,659814940000.0,680362900000.0,677633700000.0,735322700000.0,717026750000.0
2030.0,711699330000.0,635937900000.0,655396800000.0,655016600000.0,713834500000.0,707077700000.0
2031.0,696812800000.0,621793250000.0,628343400000.0,634689200000.0,701409100000.0,701164800000.0
2032.0,676922100000.0,614347400000.0,611583300000.0,617263600000.0,683390700000.0,677769250000.0
2033.0,654696000000.0,588500800000.0,586803400000.0,594742540000.0,666618500000.0,648883340000.0
2034.0,639727200000.0,566671600000.0,581132100000.0,578919600000.0,649975040000.0,623576550000.0
2035.0,622431040000.0,545495100000.0,564328300000.0,561389400000.0,617279100000.0,603512400000.0
2036.0,597302840000.0,525463320000.0,545217450000.0,548563800000.0,611211400000.0,576945200000.0
2037.0,573046900000.0,504219440000.0,517135930000.0,540652830000.0,591874750000.0,558183200000.0
2038.0,556849100000.0,484119740000.0,498363240000.0,518888360000.0,570845800000.0,533479000000.0
2039.0,540371800000.0,464540530000.0,476671600000.0,500015730000.0,562450100000.0,510862620000.0
2040.0,531296420000.0,444847720000.0,454901270000.0,485714820000.0,549229460000.0,485434900000.0
2041.0,517823370000.0,424825400000.0,439913350000.0,464601940000.0,532917620000.0,472391000000.0
2042.0,495896360000.0,406828940000.0,423968640000.0,448109380000.0,520708330000.0,450954330000.0
2043.0,475782740000.0,394583740000.0,412350380000.0,436278950000.0,513701020000.0,434661980000.0
2044.0,468135000000.0,380758600000.0,394985770000.0,426061560000.0,495540340000.0,421180700000.0
2045.0,451010720000.0,365357040000.0,387103000000.0,411623500000.0,481553680000.0,410340850000.0
2046.0,442780100000.0,355194040000.0,372477200000.0,401743450000.0,465564700000.0,395993600000.0
2047.0,429407470000.0,344006950000.0,360394200000.0,386648540000.0,458386640000.0,384158960000.0
2048.0,417286100000.0,329631430000.0,338542600000.0,374363720000.0,445505340000.0,369433020000.0
2049.0,402941540000.0,318664500000.0,322844620000.0,367115900000.0,434470880000.0,361667360000.0
2050.0,386911900000.0,309979640000.0,313171570000.0,357860540000.0,427203330000.0,352826850000.0
2051.0,374124940000.0,295909360000.0,305780980000.0,349262580000.0,409682100000.0,336872100000.0
2052.0,363398660000.0,283571680000.0,293367380000.0,341889700000.0,398898070000.0,326154750000.0
2053.0,354566440000.0,269474400000.0,280887030000.0,328227130000.0,391217770000.0,316987600000.0
2054.0,346594930000.0,259538440000.0,271756540000.0,317231530000.0,383603500000.0,309689680000.0
2055.0,331950750000.0,249695500000.0,257342280000.0,305185260000.0,369800400000.0,299283200000.0
2056.0,326921680000.0,242689880000.0,250081400000.0,297497070000.0,360769850000.0,290475100000.0
2057.0,319453170000.0,231462930000.0,239759490000.0,283628770000.0,355768470000.0,277444700000.0
2058.0,308688880000.0,222221070000.0,231035080000.0,269995670000.0,353698970000.0,272621400000.0
2059.0,294854260000.0,213215360000.0,221956900000.0,258266900000.0,345490980000.0,261870570000.0
2060.0,287000530000.0,204338350000.0,213957950000.0,246246440000.0,337757730000.0,249874170000.0
2061.0,278980070000.0,195874360000.0,202100460000.0,235052580000.0,330575000000.0,247143510000.0
2062.0,272173120000.0,189154640000.0,194646790000.0,228777750000.0,324167930000.0,238715700000.0
2063.0,267621320000.0,184827740000.0,187388760000.0,221007640000.0,319984470000.0,226731310000.0
2064.0,258186690000.0,177881800000.0,180085150000.0,212453980000.0,314736280000.0,215956100000.0
2065.0,252994670000.0,169421800000.0,171246240000.0,202566730000.0,304832120000.0,209965730000.0
2066.0,249952420000.0,163583750000.0,165986030000.0,196425220000.0,296582000000.0,202968190000.0
2067.0,239516370000.0,158201300000.0,158921440000.0,188478540000.0,291810640000.0,197707600000.0
2068.0,233671920000.0,150186690000.0,150153900000.0,181770530000.0,291117800000.0,192109430000.0
2069.0,228250860000.0,144126230000.0,143678440000.0,175495860000.0,284914550000.0,183543370000.0
2070.0,222773440000.0,139832670000.0,137440000000.0,169344500000.0,279825700000.0,173017890000.0
2071.0,213327350000.0,137389970000.0,131706905000.0,162105820000.0,277083400000.0,166053460000.0
2072.0,210410980000.0,132802870000.0,127928940000.0,154514540000.0,273270400000.0,157759080000.0
2073.0,204908860000.0,129985270000.0,122471330000.0,146932450000.0,265742320000.0,151506190000.0
2074.0,198683000000.0,127435090000.0,117697960000.0,142690750000.0,264821960000.0,143703300000.0
2075.0,194552790000.0,123581874000.0,112003785000.0,137002050000.0,259840410000.0,137037370000.0
2076.0,189505490000.0,121797120000.0,107587750000.0,134317646000.0,254050860000.0,132018815000.0
2077.0,187523990000.0,119087030000.0,104932170000.0,128935280000.0,249929100000.0,124730020000.0
2078.0,181225110000.0,115209210000.0,101041906000.0,124478420000.0,245874870000.0,118318110000.0
2079.0,178507550000.0,113226120000.0,95980134000.0,119452950000.0,239939170000.0,115832760000.0
2080.0,173275630000.0,109346740000.0,91634500000.0,114815770000.0,232735390000.0,110918130000.0
2081.0,166853770000.0,107162100000.0,89345425000.0,110636380000.0,231157330000.0,106656710000.0
2082.0,160040910000.0,106315000000.0,85941090000.0,106422690000.0,227193770000.0,100794250000.0
2083.0,155988050000.0,104974300000.0,81960034000.0,104734490000.0,225131790000.0,98064105000.0
2084.0,147765640000.0,100444020000.0,81157415000.0,100774360000.0,221872900000.0,94536740000.0
2085.0,143775970000.0,97848280000.0,78306450000.0,97432670000.0,218396900000.0,91296040000.0
2086.0,136029190000.0,93194265000.0,76697400000.0,91979790000.0,213127540000.0,89475514000.0
2087.0,126786790000.0,90534600000.0,72838270000.0,88594960000.0,207043400000.0,88792500000.0
2088.0,123777220000.0,89522676000.0,69837650000.0,88126130000.0,201686580000.0,86346620000.0
2089.0,120696455000.0,87523470000.0,66524484000.0,86926475000.0,196911430000.0,84195205000.0
2090.0,118476750000.0,83864950000.0,64056320000.0,86101890000.0,192624120000.0,82529970000.0
2091.0,115577455000.0,82694310000.0,61639690000.0,82702650000.0,187082880000.0,79420020000.0
2092.0,111956660000.0,79757386000.0,58998260000.0,81285150000.0,183694540000.0,76389470000.0
2093.0,109212650000.0,77341610000.0,56637070000.0,81301270000.0,179913330000.0,76073900000.0
2094.0,107495630000.0,76004000000.0,54468846000.0,78567850000.0,179367940000.0,74431545000.0
2095.0,103282156000.0,74131120000.0,52536150000.0,77131055000.0,175852520000.0,73506120000.0
2096.0,102614970000.0,72436744000.0,50529747000.0,75318980000.0,170449100000.0,72527900000.0
2097.0,101357490000.0,71348855000.0,49012646000.0,72756036000.0,168478400000.0,72425540000.0
2098.0,100286915000.0,70056215000.0,47276890000.0,71168170000.0,167519860000.0,71894516000.0
2099.0,98050060000.0,67518790000.0,46331216000.0,70992445000.0,165187010000.0,69370044000.0
2100.0,95311330000.0,65903022000.0,45478597000.0,69052916000.0,162880550000.0,67371938000.0
2101.0,93916865000.0,65496478000.0,44081656000.0,67027804000.0,163915900000.0,65791463000.0
2102.0,90390320000.0,63300500000.0,43650367000.0,66074034000.0,163721720000.0,63942130000.0
2103.0,89499840000.0,61983883000.0,41605485000.0,64468360000.0,161857700000.0,62480306000.0
2104.0,88924630000.0,61445226000.0,39362896000.0,65541970000.0,164232800000.0,62257480000.0
2105.0,86037135000.0,60270633000.0,38331253000.0,64416354000.0,163875700000.0,62231896000.0
2106.0,85264180000.0,59772006000.0,37456630000.0,63998290000.0,164615500000.0,62657372000.0
2107.0,83501195000.0,58580464000.0,36646720000.0,63887167000.0,164223420000.0,62031704000.0
2108.0,83789455000.0,57339564000.0,35852660000.0,63191920000.0,164510060000.0,60353307000.0
2109.0,82286850000.0,56635834000.0,35173274000.0,60944170000.0,167966650000.0,60561867000.0
2110.0,80771530000.0,54883213000.0,34125873000.0,59137413000.0,166815190000.0,61119910000.0
2111.0,79483640000.0,54391000000.0,33480235000.0,58790978000.0,170080240000.0,61881127000.0
2112.0,76940030000.0,53363528000.0,32545851000.0,57898537000.0,170394830000.0,63401040000.0
2113.0,76147655000.0,52591145000.0,32049832000.0,57524888000.0,173355680000.0,62028915000.0
2114.0,74038420000.0,51974940000.0,31755209000.0,58117190000.0,175064710000.0,61116735000.0
2115.0,73305750000.0,52201607000.0,31307600000.0,58668710000.0,173691490000.0,60389400000.0
2116.0,71421575000.0,50925110000.0,31426986000.0,57985266000.0,168416280000.0,60241695000.0
2117.0,70085214000.0,50158940000.0,30338939000.0,58551108000.0,168902980000.0,58242417000.0
2118.0,72362050000.0,49232660000.0,30071468000.0,57929716000.0,166266390000.0,57728760000.0
2119.0,70577414000.0,49021616000.0,28792082000.0,58509560000.0,166521750000.0,56358474000.0
2120.0,68991580000.0,48669487000.0,29170698000.0,58111590000.0,169581540000.0,56183890000.0
2121.0,67417297000.0,48095752000.0,28802564000.0,57907945000.0,172286640000.0,56703430000.0
2122.0,65776144000.0,47470158000.0,28671314000.0,56376730000.0,170547530000.0,56798044000.0
2123.0,64016073000.0,47133010000.0,28535450000.0,56951930000.0,169287200000.0,55301177000.0
2124.0,63389210000.0,46841590000.0,28246893000.0,57215650000.0,171258460000.0,54830030000.0
2125.0,59954720000.0,46710063000.0,27515281000.0,58064654000.0,169998910000.0,54898970000.0
2126.0,58448180000.0,46342720000.0,27268053000.0,57678615000.0,170837250000.0,54524420000.0
2127.0,58271280000.0,45978542000.0,26583233000.0,57294373000.0,171258270000.0,54055764000.0
2128.0,57519840000.0,45584794000.0,26604510000.0,56957755000.0,172287310000.0,53891883000.0
2129.0,55772873000.0,46105813000.0,26639688000.0,57436086000.0,179524600000.0,52851606000.0
2130.0,54533837000.0,46362796000.0,27346395000.0,57966780000.0,181499120000.0,53416300000.0
2131.0,52956110000.0,46059364000.0,26598482000.0,57830390000.0,176975970000.0,53075680000.0
2132.0,51935570000.0,44591534000.0,26396074000.0,58551780000.0,178685430000.0,51911176000.0
2133.0,49738580000.0,43502117000.0,26243490000.0,58678830000.0,180580450000.0,51574415000.0
2134.0,48926913000.0,43185807000.0,25841392000.0,59007844000.0,184238620000.0,50924986000.0
2135.0,48702910000.0,42832384000.0,25985485000.0,59489473000.0,183929360000.0,50901080000.0
2136.0,47192910000.0,42548523000.0,25425840000.0,59461080000.0,183385390000.0,50696750000.0
2137.0,46161960000.0,42347250000.0,25265074000.0,59250643000.0,182703470000.0,50254380000.0
2138.0,45851406000.0,41824830000.0,25124660000.0,59710226000.0,181997930000.0,51218076000.0
2139.0,46894883000.0,41628990000.0,24804618000.0,59137647000.0,182050550000.0,50334314000.0
2140.0,46953447000.0,41866180000.0,24299717000.0,59876696000.0,185315800000.0,49874050000.0
2141.0,46899966000.0,41798670000.0,23648866000.0,59405780000.0,183480680000.0,49581760000.0
2142.0,46820880000.0,41866723000.0,23576168000.0,59216180000.0,187539180000.0,50454390000.0
2143.0,46595432000.0,41370240000.0,24408336000.0,59876258000.0,188561000000.0,50090025000.0
2144.0,46310326000.0,41565086000.0,24322898000.0,60516090000.0,189763600000.0,50278625000.0
2145.0,46055866000.0,40955900000.0,24311546000.0,60417167000.0,191312020000.0,50597106000.0
2146.0,45656814000.0,41035854000.0,24639699000.0,60172767000.0,191767130000.0,50661077000.0
2147.0,44329255000.0,40599196000.0,24469787000.0,59727716000.0,194813600000.0,50776293000.0
2148.0,43860103000.0,39460010000.0,24282171000.0,61083554000.0,195908780000.0,50669050000.0
