time,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,ACCESS-CM2,CESM2-WACCM,ACCESS-ESM1-5
2000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0
2001.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0
2002.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0
2003.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0
2004.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0
2005.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0
2006.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0
2007.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0
2008.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0
2009.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0
2010.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0
2011.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0
2012.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0
2013.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0
2014.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0
2015.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0
2016.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0
2017.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0
2018.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0
2019.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0
2020.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0
2021.0,830822300000.0,819117200000.0,826256900000.0,828188260000.0,827881400000.0,833335260000.0
2022.0,823391600000.0,798429700000.0,809362800000.0,814045270000.0,793540400000.0,829260230000.0
2023.0,808979000000.0,782329250000.0,794601460000.0,802838800000.0,772232840000.0,822171530000.0
2024.0,783345060000.0,770154950000.0,772739300000.0,782311160000.0,753477940000.0,823015700000.0
2025.0,757905600000.0,755050100000.0,753519360000.0,773484640000.0,724923300000.0,805423300000.0
2026.0,736033240000.0,730486150000.0,736031400000.0,749447000000.0,705434550000.0,793925600000.0
2027.0,728294950000.0,715794500000.0,720233700000.0,725708600000.0,684533300000.0,766937900000.0
2028.0,710802340000.0,686586130000.0,699340100000.0,697477100000.0,658021150000.0,743713140000.0
2029.0,690910700000.0,663712560000.0,674588850000.0,682317840000.0,628595950000.0,727292000000.0
2030.0,673432500000.0,636635700000.0,649061700000.0,665472470000.0,597492300000.0,702942740000.0
2031.0,651498750000.0,602999600000.0,626874800000.0,643482000000.0,583172900000.0,669995000000.0
2032.0,626628100000.0,584669000000.0,596382450000.0,623353660000.0,563496900000.0,642289800000.0
2033.0,606718800000.0,568819450000.0,570519650000.0,609953100000.0,540904060000.0,608343800000.0
2034.0,597871000000.0,561253400000.0,551523400000.0,586438200000.0,516704730000.0,583765500000.0
2035.0,591229550000.0,546055720000.0,536486870000.0,575538270000.0,487481930000.0,557896960000.0
2036.0,577357800000.0,531499550000.0,515812800000.0,557538150000.0,467557250000.0,548108660000.0
2037.0,563906700000.0,510671500000.0,500052100000.0,542516970000.0,445658860000.0,536080970000.0
2038.0,539191180000.0,500653300000.0,478123620000.0,525309200000.0,426900400000.0,524802950000.0
2039.0,524443200000.0,481396200000.0,460895750000.0,510585600000.0,411261140000.0,498078320000.0
2040.0,502360080000.0,463883860000.0,434405280000.0,492929600000.0,398839640000.0,469334700000.0
2041.0,479945750000.0,449590820000.0,414826070000.0,468332300000.0,383443100000.0,452392060000.0
2042.0,462887900000.0,428826620000.0,400857240000.0,448609300000.0,359078040000.0,439699830000.0
2043.0,443008000000.0,414442880000.0,384489200000.0,432063020000.0,342524430000.0,420614300000.0
2044.0,422389800000.0,397289720000.0,363012360000.0,406551900000.0,330182160000.0,402986370000.0
2045.0,402630400000.0,375588880000.0,340226400000.0,386242250000.0,311729400000.0,386800220000.0
2046.0,385847430000.0,358342950000.0,324055760000.0,360452850000.0,295558200000.0,370392370000.0
2047.0,373387070000.0,345316500000.0,311466950000.0,347861580000.0,281718750000.0,356629940000.0
2048.0,355256500000.0,329049440000.0,289916260000.0,339468260000.0,268850280000.0,345742540000.0
2049.0,339828800000.0,314981480000.0,275298220000.0,322306500000.0,249343720000.0,330617160000.0
2050.0,324150230000.0,295422530000.0,263466340000.0,297533730000.0,232300460000.0,318459480000.0
2051.0,314243250000.0,280870680000.0,248111350000.0,276037800000.0,224043900000.0,299428580000.0
2052.0,309501600000.0,263845510000.0,231939670000.0,263132770000.0,215797380000.0,288975680000.0
2053.0,292186130000.0,255279040000.0,218884030000.0,242178740000.0,207522170000.0,271396720000.0
2054.0,281818700000.0,236573470000.0,207795180000.0,221993750000.0,190298730000.0,258841990000.0
2055.0,271964640000.0,222397250000.0,191838730000.0,206628440000.0,177438520000.0,244096840000.0
2056.0,252537440000.0,206499280000.0,177446400000.0,192300190000.0,167692480000.0,228595830000.0
2057.0,239646020000.0,192872280000.0,160888800000.0,176895620000.0,154952120000.0,214651860000.0
2058.0,226594100000.0,178079480000.0,147771830000.0,163950840000.0,143676460000.0,199674270000.0
2059.0,217693630000.0,166867960000.0,137118090000.0,150497770000.0,135043390000.0,186564430000.0
2060.0,204691620000.0,153185700000.0,126105600000.0,139609240000.0,124391810000.0,172426940000.0
2061.0,195597660000.0,140784900000.0,114682190000.0,126009720000.0,111679410000.0,157474730000.0
2062.0,189466600000.0,129105764000.0,102655295000.0,114528305000.0,104826380000.0,144100250000.0
2063.0,179731810000.0,119074530000.0,93993620000.0,102708580000.0,94794695000.0,134013215000.0
2064.0,171331160000.0,107404350000.0,85064100000.0,91169350000.0,86172840000.0,123789950000.0
2065.0,165579850000.0,96341150000.0,77420044000.0,82229440000.0,77551320000.0,112626320000.0
2066.0,156714170000.0,87140710000.0,69999920000.0,74683380000.0,68600857000.0,103024270000.0
2067.0,148678510000.0,76193660000.0,61263905000.0,67902423000.0,62055977000.0,93808220000.0
2068.0,138738780000.0,66671174000.0,56304530000.0,61656367000.0,55573987000.0,82182410000.0
2069.0,132493206000.0,57816404000.0,50581300000.0,54105194000.0,49745360000.0,73180240000.0
2070.0,128586580000.0,50124304000.0,43936320000.0,46763598000.0,44641632000.0,63078170000.0
2071.0,118773710000.0,43294425000.0,37374747000.0,39930340000.0,38673916000.0,54911422000.0
2072.0,110861740000.0,37600180000.0,32460716000.0,35715523000.0,32957487000.0,46603993000.0
2073.0,103657040000.0,32241775000.0,28097366000.0,31498054000.0,28625547000.0,40753650000.0
2074.0,97051420000.0,28084420000.0,23966652000.0,27582958000.0,23936834000.0,34853302000.0
2075.0,90151950000.0,23075832000.0,20333122000.0,23592362000.0,19781300000.0,30172430000.0
2076.0,82831800000.0,19330574000.0,17000994000.0,20293853000.0,16750451000.0,25754737000.0
2077.0,78028180000.0,16072771000.0,14368874000.0,17331208000.0,13867914000.0,21807129000.0
2078.0,73584990000.0,13021886000.0,12371246000.0,15221543000.0,11755300000.0,18730177000.0
2079.0,69062345000.0,10724986000.0,10533715000.0,12806142000.0,9731780000.0,16137911000.0
2080.0,64128640000.0,8730179000.0,8807392000.0,10989270000.0,8353614300.0,13385660000.0
2081.0,59067040000.0,6951290400.0,7395098600.0,9239914000.0,6753894000.0,10244269000.0
2082.0,54821590000.0,5765068000.0,5988325000.0,7934757000.0,5829064000.0,8160371700.0
2083.0,52509794000.0,5006737400.0,4875953000.0,7044253000.0,4919117000.0,6924878300.0
2084.0,47594860000.0,4518787600.0,4090605000.0,6425776600.0,4295201000.0,5831252500.0
2085.0,44543685000.0,3968143000.0,3475949800.0,5511620600.0,3674855400.0,5031662600.0
2086.0,41936220000.0,3626055000.0,2887640600.0,4948605000.0,3292917200.0,4427686000.0
2087.0,39522394000.0,3164468700.0,2538707200.0,4491750000.0,2904650500.0,3867984400.0
2088.0,36149723000.0,2799046700.0,2270774800.0,4191157800.0,2649515000.0,3480834800.0
2089.0,33308440000.0,2480430800.0,2044608000.0,3851040300.0,2420253000.0,2974521600.0
2090.0,31710400000.0,2199730400.0,1866036500.0,3615787300.0,2323159300.0,2652482800.0
2091.0,29934103000.0,1978481300.0,1678535000.0,3317445600.0,2150465300.0,2420741600.0
2092.0,28493468000.0,1845278700.0,1438296400.0,3066784800.0,1966357200.0,2191563800.0
2093.0,26301018000.0,1710285800.0,1285280400.0,2800307000.0,1790900700.0,2014898700.0
2094.0,24048095000.0,1579097100.0,1207335400.0,2623052300.0,1661321600.0,1867909100.0
2095.0,21925165000.0,1459994100.0,1186403700.0,2405814300.0,1514351500.0,1793021800.0
2096.0,20430283000.0,1333589600.0,1148429400.0,2179159300.0,1429040000.0,1737607700.0
2097.0,18773170000.0,1230252400.0,1082374500.0,2015535600.0,1329276900.0,1611534700.0
2098.0,17030925000.0,1145781500.0,1051628200.0,1875594100.0,1240396400.0,1503563100.0
2099.0,16286503000.0,1090245800.0,1021999940.0,1763071600.0,1219437600.0,1451981300.0
2100.0,14803207000.0,1020217150.0,955691140.0,1655060100.0,1146485400.0,1383729900.0
2101.0,13089581000.0,943059140.0,869467260.0,1545411300.0,1078908300.0,1345750800.0
2102.0,12257080000.0,901809600.0,857392200.0,1383321000.0,1000278660.0,1276737400.0
2103.0,11105590000.0,837692200.0,793215400.0,1294133000.0,954556540.0,1270212600.0
2104.0,10384422000.0,792222660.0,723400000.0,1163467300.0,918519600.0,1209666300.0
2105.0,9557136000.0,731829440.0,661330000.0,1038966140.0,887389000.0,1177740000.0
2106.0,8913009000.0,694084030.0,599184260.0,928265700.0,825944100.0,1124826800.0
2107.0,8389570600.0,647241540.0,567268030.0,802904700.0,786718300.0,1062591600.0
2108.0,7799893000.0,594069570.0,527511170.0,736185900.0,756151600.0,1059871200.0
2109.0,7368634400.0,563855600.0,504360200.0,653687800.0,724534800.0,1042286500.0
2110.0,6993546000.0,527422460.0,466798800.0,587863740.0,691346050.0,1028924350.0
2111.0,6682150400.0,497563700.0,432364450.0,526583300.0,668186500.0,1003219100.0
2112.0,6325286000.0,448724860.0,412578980.0,476642660.0,639293300.0,965274750.0
2113.0,5823168500.0,411293860.0,368025000.0,438771680.0,604416800.0,942614700.0
2114.0,5528969000.0,381689180.0,341718340.0,405808580.0,571272260.0,877848960.0
2115.0,5248294000.0,354126620.0,322733700.0,361918800.0,545620200.0,835516160.0
2116.0,4913809400.0,317042050.0,309529600.0,320933730.0,524828770.0,799116540.0
2117.0,4708935000.0,294134800.0,288703170.0,298285440.0,504304960.0,761804400.0
2118.0,4531702000.0,274846600.0,272759870.0,277652580.0,492573120.0,729009660.0
2119.0,4474214000.0,256554530.0,257518850.0,251939680.0,467947740.0,678936260.0
2120.0,4170450000.0,234720160.0,246453600.0,221786800.0,448222820.0,629092600.0
2121.0,3872878800.0,221041340.0,230970300.0,196981460.0,435550500.0,573177340.0
2122.0,3529506600.0,198032540.0,218118300.0,182888140.0,431294100.0,535581800.0
2123.0,3328688000.0,184833360.0,203850540.0,170981780.0,403928200.0,513134180.0
2124.0,3218640400.0,167988750.0,191984720.0,154349860.0,384040320.0,478961660.0
2125.0,3134927000.0,147613070.0,176466190.0,139589660.0,365473950.0,460764860.0
2126.0,3016029400.0,135680450.0,160597550.0,125429350.0,343372220.0,438889760.0
2127.0,2869815000.0,132067000.0,149758620.0,116785120.0,315256160.0,438336420.0
2128.0,2736941000.0,122805570.0,137168900.0,104053030.0,303083650.0,423115550.0
2129.0,2621753600.0,115769720.0,126213670.0,87429620.0,285936400.0,404467460.0
2130.0,2495967200.0,109918104.0,122618500.0,77971220.0,273800800.0,401642370.0
2131.0,2367251500.0,105525190.0,113614056.0,72683740.0,257604270.0,387992100.0
2132.0,2282177800.0,98448470.0,109518550.0,67807080.0,245073860.0,375345440.0
2133.0,2268132400.0,94599050.0,99463070.0,65231388.0,239911650.0,355334430.0
2134.0,2183598300.0,89601100.0,94588730.0,62361384.0,235836880.0,341771400.0
2135.0,2119568300.0,86222340.0,87930710.0,60081260.0,217172220.0,322992580.0
2136.0,2094030000.0,80307930.0,82158490.0,57814460.0,203971540.0,320883300.0
2137.0,2009689000.0,76750504.0,78528010.0,56840730.0,195762080.0,312280500.0
2138.0,1910435700.0,73792990.0,73242610.0,54130030.0,181293340.0,304523650.0
2139.0,1826056100.0,70494120.0,68470170.0,53278690.0,180259380.0,287355000.0
2140.0,1753512100.0,68864104.0,63212876.0,51106988.0,175885740.0,274924540.0
2141.0,1707565400.0,66308364.0,60283196.0,49078860.0,173634370.0,263004030.0
2142.0,1680425200.0,59917452.0,57674830.0,47668740.0,173863020.0,244632880.0
2143.0,1625636500.0,58098216.0,54815536.0,45569656.0,160975820.0,236928640.0
2144.0,1595668700.0,56698264.0,51905004.0,43915212.0,155165780.0,215710940.0
2145.0,1532841200.0,54929530.0,49018316.0,43421870.0,150556260.0,207054770.0
2146.0,1483639700.0,52888784.0,46202496.0,43208020.0,145098130.0,187238110.0
2147.0,1434547500.0,52238996.0,44607852.0,42802400.0,142897520.0,180296290.0
2148.0,1385362800.0,50065450.0,43244244.0,42990440.0,137297040.0,177336270.0
2149.0,1345443500.0,49216970.0,42465384.0,42717210.0,127885096.0,175723340.0
2150.0,1311723100.0,48712132.0,41127924.0,42422710.0,121258630.0,168944980.0
2151.0,1284949400.0,48621576.0,40329730.0,42531064.0,112733830.0,158746110.0
2152.0,1259343200.0,47260572.0,39926000.0,41973104.0,108866580.0,150282880.0
2153.0,1253992100.0,46993124.0,39891708.0,42262716.0,104122910.0,138627410.0
2154.0,1219774000.0,46409380.0,39396372.0,42395948.0,98807170.0,131174296.0
