time,CESM1-CAM5,CSIRO-MK3-6-0,MPI-ESM-LR,NORESM1-M
2000.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0
2001.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0
2002.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0
2003.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0
2004.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0
2005.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0
2006.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0
2007.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0
2008.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0
2009.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0
2010.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0
2011.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0
2012.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0
2013.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0
2014.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0
2015.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0
2016.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0
2017.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0
2018.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0
2019.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0
2020.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0
2021.0,2048113200.0,2042052200.0,2040695300.0,2047706800.0
2022.0,2018819800.0,2000028900.0,2005163600.0,2011264600.0
2023.0,1997182500.0,1960847500.0,1984626600.0,1984218100.0
2024.0,1980421900.0,1928403800.0,1976076400.0,1944000300.0
2025.0,1941766700.0,1882321200.0,1958038800.0,1907207300.0
2026.0,1908502800.0,1835746000.0,1928423300.0,1883296800.0
2027.0,1885766700.0,1805864600.0,1903077800.0,1857439900.0
2028.0,1869206300.0,1774936800.0,1888765200.0,1831801100.0
2029.0,1852825300.0,1747041500.0,1865478700.0,1798518300.0
2030.0,1818645600.0,1714943200.0,1843153900.0,1768714100.0
2031.0,1765466100.0,1690302500.0,1827712000.0,1736431100.0
2032.0,1724230400.0,1666062200.0,1807090800.0,1707209500.0
2033.0,1697749500.0,1643391900.0,1765507000.0,1674053500.0
2034.0,1647212400.0,1615826200.0,1697671000.0,1636337700.0
2035.0,1590524800.0,1600564500.0,1651841200.0,1606248300.0
2036.0,1539654800.0,1560089100.0,1605908000.0,1579456500.0
2037.0,1485951700.0,1525018400.0,1515563100.0,1541606500.0
2038.0,1411437300.0,1482881300.0,1436328600.0,1500536400.0
2039.0,1370343000.0,1433036800.0,1374685300.0,1463519000.0
2040.0,1336467800.0,1390468600.0,1302641500.0,1429350900.0
2041.0,1306186600.0,1331418400.0,1239237500.0,1382797400.0
2042.0,1272100700.0,1235058700.0,1248691700.0,1364377600.0
2043.0,1240982800.0,1146460700.0,1212431500.0,1321533600.0
2044.0,1208122000.0,1062193000.0,1159944600.0,1266998800.0
2045.0,1160527000.0,1002379500.0,1110942800.0,1210603400.0
2046.0,1135275500.0,936682200.0,1078159400.0,1154970500.0
2047.0,1107487000.0,902226800.0,1047354500.0,1148993800.0
2048.0,1060545340.0,876159940.0,1023984900.0,1126008200.0
2049.0,1031950340.0,824311360.0,999666800.0,1102819700.0
2050.0,1003204600.0,782583550.0,971938200.0,1077286100.0
2051.0,965763840.0,742221800.0,944077950.0,1061397440.0
2052.0,918320900.0,702139970.0,909884300.0,1037666300.0
2053.0,894729540.0,665990100.0,868808300.0,1008171800.0
2054.0,864531260.0,634277250.0,834859650.0,988311940.0
2055.0,839544200.0,583135740.0,799471360.0,976140700.0
2056.0,811350460.0,523662660.0,774022300.0,956934300.0
2057.0,797677000.0,498904770.0,761136830.0,942197440.0
2058.0,778327000.0,463895970.0,753486100.0,927298750.0
2059.0,765181060.0,427333060.0,724577000.0,914934340.0
2060.0,742243840.0,399408030.0,697659400.0,907871740.0
2061.0,724763700.0,373426980.0,685524860.0,890833860.0
2062.0,711935600.0,353131500.0,676786300.0,868779800.0
2063.0,706069760.0,334468770.0,663407900.0,857995200.0
2064.0,697778750.0,325300320.0,643366340.0,844234100.0
2065.0,687808960.0,319394340.0,629640400.0,832496100.0
2066.0,676479170.0,314695970.0,624738400.0,816994000.0
2067.0,663831900.0,302971600.0,617168400.0,804955200.0
2068.0,647174900.0,294577380.0,633628900.0,791309440.0
2069.0,633082900.0,286917900.0,613275970.0,792623740.0
2070.0,613266370.0,278916960.0,595619800.0,781989600.0
2071.0,587738050.0,271558750.0,585281400.0,772968800.0
2072.0,580193100.0,273345470.0,627844000.0,757917800.0
2073.0,569683500.0,259762530.0,620217400.0,748855900.0
2074.0,544347460.0,254455650.0,596526000.0,738433860.0
2075.0,526914530.0,251725140.0,581819840.0,726766460.0
2076.0,528770430.0,247573730.0,575795000.0,722547460.0
2077.0,523826620.0,242417170.0,569539500.0,720311740.0
2078.0,511427740.0,236228910.0,576928960.0,716969400.0
2079.0,502001340.0,228631500.0,565694600.0,717404300.0
2080.0,502183000.0,222139460.0,559698400.0,703692100.0
2081.0,497963740.0,217210500.0,549029400.0,697881800.0
2082.0,488137900.0,219863060.0,533122100.0,691814000.0
2083.0,478580540.0,208370180.0,529268100.0,691447360.0
2084.0,471738660.0,207470110.0,544584000.0,688450370.0
2085.0,466832260.0,204241460.0,519607420.0,678458100.0
2086.0,459225900.0,200073800.0,509581900.0,671877200.0
2087.0,450358700.0,201870110.0,497837060.0,677772200.0
2088.0,445859330.0,198591230.0,490995260.0,696974400.0
2089.0,442393900.0,194556860.0,483332260.0,684846600.0
2090.0,432854140.0,189783780.0,479258020.0,672100350.0
2091.0,420470880.0,188041600.0,469302370.0,666277000.0
2092.0,416738850.0,186201300.0,469121500.0,656205630.0
2093.0,406869760.0,183408460.0,489950400.0,652500000.0
2094.0,396536420.0,182265680.0,485415870.0,648391300.0
2095.0,392915650.0,181654770.0,481271420.0,643461900.0
2096.0,389052600.0,177811820.0,479080130.0,632386400.0
2097.0,383120260.0,176149440.0,474860000.0,619555260.0
2098.0,375640160.0,174129040.0,482592220.0,614563000.0
2099.0,367069800.0,170937140.0,493220860.0,601079100.0
2100.0,364314800.0,169001010.0,491764000.0,594322800.0
2101.0,360005060.0,168580770.0,475589540.0,585772160.0
2102.0,353895680.0,171448640.0,466537800.0,576244300.0
2103.0,347967900.0,175326020.0,463739000.0,586501250.0
2104.0,348412500.0,171534910.0,458571360.0,609922560.0
2105.0,347190750.0,170869700.0,453847040.0,600823500.0
2106.0,342828540.0,167627540.0,449132860.0,593265900.0
2107.0,331307140.0,166058670.0,439227230.0,585922400.0
2108.0,328201280.0,165139570.0,426995780.0,601255700.0
2109.0,325390140.0,163313660.0,418437600.0,591149900.0
2110.0,321341570.0,162193860.0,422483680.0,579410600.0
2111.0,316940160.0,160718930.0,411172900.0,574283100.0
