time,MPI-ESM-LR,CSIRO-MK3-6-0,CCSM4
2000.0,154846990780000.0,154846990780000.0,154846990780000.0
2001.0,154740725020000.0,154740725020000.0,154740725020000.0
2002.0,154551745019000.0,154551745019000.0,154551745019000.0
2003.0,154219225948000.0,154219225948000.0,154219225948000.0
2004.0,153909147275000.0,153909147275000.0,153909147275000.0
2005.0,153661811517000.0,153661811517000.0,153661811517000.0
2006.0,153454006270000.0,153454006270000.0,153454006270000.0
2007.0,153162498533000.0,153162498533000.0,153162498533000.0
2008.0,152762676147000.0,152762676147000.0,152762676147000.0
2009.0,152499089637000.0,152499089637000.0,152499089637000.0
2010.0,151992339880000.0,151992339880000.0,151992339880000.0
2011.0,151633380180000.0,151633380180000.0,151633380180000.0
2012.0,151278846061000.0,151278846061000.0,151278846061000.0
2013.0,150957431022000.0,150957431022000.0,150957431022000.0
2014.0,150618963757000.0,150618963757000.0,150618963757000.0
2015.0,150448330412000.0,150448330412000.0,150448330412000.0
2016.0,150156339333000.0,150156339333000.0,150156339333000.0
2017.0,149737891828000.0,149737891828000.0,149737891828000.0
2018.0,149320884259000.0,149320884259000.0,149320884259000.0
2019.0,149064874895000.0,149064874895000.0,149064874895000.0
2020.0,148624635187000.0,148624635187000.0,148624635187000.0
2021.0,148065391514000.0,148037909249000.0,148268826797000.0
2022.0,147807664539000.0,147397587833000.0,147893274200000.0
2023.0,147255071453000.0,147023538369000.0,147519581381000.0
2024.0,146730934092000.0,146682282816000.0,146866247030000.0
2025.0,146288756117000.0,146081894682000.0,146379258280000.0
2026.0,145918723394000.0,145562446430000.0,145893780261000.0
2027.0,145235207127000.0,145105327573000.0,145300701785000.0
2028.0,144795297841000.0,144609480117000.0,144567622422000.0
2029.0,144290241740000.0,144218455236000.0,143901377770000.0
2030.0,143864426668000.0,143821725526000.0,143412789738000.0
2031.0,143404764993000.0,143550119496000.0,142911704030000.0
2032.0,142978566346000.0,143105918887000.0,142345841717000.0
2033.0,142375464591000.0,142653635314000.0,141573421169000.0
2034.0,141589189500000.0,142107710633000.0,141033718443000.0
2035.0,141158064759000.0,141508307464000.0,140305413834000.0
2036.0,140700188589000.0,140899092525000.0,139688410006000.0
2037.0,140208151638000.0,140273907934000.0,138936553766000.0
