time,CCSM4,CESM1-CAM5
2151.0,53163852582500.0,25526473168750.0
2152.0,52622289520800.0,24975154242210.0
2153.0,52149095408500.0,24457673914290.0
2154.0,51592290264600.0,23949355763120.0
2155.0,50909381785600.0,23356341784664.0
2156.0,50251787706500.0,22853659328036.0
2157.0,49763293145000.0,22371552344370.0
2158.0,49310086292700.0,21879202798936.0
2159.0,48810332358000.0,21348459854530.0
2160.0,48363088085100.0,20888004906080.0
2161.0,47819803197000.0,20428420122004.0
2162.0,47326770317300.0,19976276143456.0
2163.0,46748988563400.0,19569032401816.0
2164.0,46284774335700.0,19154575284690.0
2165.0,45700406467250.0,18788416025412.0
2166.0,45180917974400.0,18434691986308.0
2167.0,44674954053740.0,18038046494000.0
2168.0,44099080058120.0,17642222645660.0
2169.0,43599509903980.0,17240588430950.0
2170.0,43157356372300.0,16906554216732.0
2171.0,42731040593940.0,16584914462224.0
2172.0,42264162275260.0,16271629540360.0
2173.0,41757919166200.0,15935125468276.0
2174.0,41272734931130.0,15617891968870.0
2175.0,40704883286300.0,15328632824804.0
2176.0,40166083661740.0,15003902097592.0
2177.0,39721466343340.0,14686393192776.0
2178.0,39332566277860.0,14341031867660.0
2179.0,38888035437100.0,14070513294124.0
2180.0,38407637120300.0,13835865423208.0
2181.0,38023501691600.0,13624192069570.0
2182.0,37618936117480.0,13376902636204.0
2183.0,37309461314080.0,13072338475540.0
2184.0,36940970350440.0,12846208142610.0
2185.0,36466700774900.0,12650185890932.0
2186.0,36066481163640.0,12424387241232.0
2187.0,35762822465560.0,12209713284870.0
2188.0,35447529230730.0,12014353746572.0
2189.0,35132862294064.0,11769205288472.0
2190.0,34743436148970.0,11551718908140.0
2191.0,34378154131796.0,11382915615716.0
2192.0,34105320373970.0,11206359966600.0
2193.0,33872689396880.0,11036131115728.0
2194.0,33597374932104.0,10843985359590.0
2195.0,33335602199570.0,10680174207560.0
2196.0,32960182443376.0,10463125631436.0
2197.0,32659680856220.0,10248181860204.0
2198.0,32381939739950.0,10102864515570.0
2199.0,32126391093450.0,9919345085212.0
2200.0,31835949340340.0,9753885417804.0
2201.0,31590399402150.0,9574082422490.0
2202.0,31284853359340.0,9403434681768.0
2203.0,31040704898584.0,9228861752572.0
2204.0,30817528158420.0,9063686007408.0
2205.0,30573409448576.0,8904849335568.0
2206.0,30355087746290.0,8745816345400.0
2207.0,30084905446636.0,8548496592840.0
2208.0,29774226463288.0,8382922816560.0
2209.0,29555502339496.0,8241173783050.0
2210.0,29364508173270.0,8100447857540.0
2211.0,29059165480410.0,7945299632076.0
2212.0,28752064049750.0,7810191862400.0
2213.0,28508713241816.0,7635674944160.0
2214.0,28329175419264.0,7488072446330.0
2215.0,28084107266484.0,7387079523484.0
2216.0,27895572018510.0,7277632687976.0
2217.0,27593643502090.0,7158686061010.0
2218.0,27323158391252.0,7011807018012.0
2219.0,27067978938748.0,6878576949324.0
2220.0,26834805374370.0,6747425781930.0
2221.0,26575737732156.0,6639288913564.0
2222.0,26363116079070.0,6547225490248.0
2223.0,26176172356104.0,6455820425280.0
2224.0,25998307616410.0,6344190024088.0
2225.0,25851267708120.0,6254499130044.0
2226.0,25616350105050.0,6137886674200.0
2227.0,25407182970556.0,6023648154830.0
2228.0,25183984039644.0,5923768706780.0
2229.0,24889179237228.0,5804099586940.0
2230.0,24729407845780.0,5702121079110.0
2231.0,24483400150704.0,5613239516008.0
2232.0,24285350992372.0,5508255070922.0
2233.0,24083993815460.0,5426275659396.0
2234.0,23902084275740.0,5345221837322.0
2235.0,23781857437444.0,5253029019350.0
2236.0,23534515521760.0,5190712739740.0
2237.0,23306731631400.0,5117645276780.0
2238.0,23120904512048.0,5035722671292.0
2239.0,22883140493924.0,4967455124042.0
2240.0,22733691782610.0,4883232854844.0
2241.0,22545919001310.0,4817866282576.0
2242.0,22333074736756.0,4732608989668.0
2243.0,22136905832524.0,4663699942744.0
2244.0,21967821068990.0,4592627273642.0
2245.0,21811255408456.0,4538573026002.0
2246.0,21626906769808.0,4493954102922.0
2247.0,21486855354100.0,4423128022576.0
2248.0,21327817945184.0,4354653433832.0
2249.0,21168785619276.0,4281727540536.0
2250.0,21033687664476.0,4221590885716.0
2251.0,20914892123264.0,4167586799724.0
2252.0,20787352715148.0,4116056420444.0
2253.0,20649997644960.0,4087403634836.0
2254.0,20483813756780.0,4025640061486.0
2255.0,20375768138370.0,3983958987506.0
2256.0,20266010346644.0,3917552850438.0
2257.0,20100030532472.0,3847701786536.0
2258.0,19962013590136.0,3814245341434.0
2259.0,19843776761292.0,3778372602952.0
2260.0,19717336972984.0,3725071318792.0
2261.0,19579642282590.0,3686731281030.0
2262.0,19426497687016.0,3646759713732.0
2263.0,19312045833504.0,3601791702254.0
2264.0,19233932616790.0,3553747742846.0
