time,NORESM1-M,CSIRO-MK3-6-0,CANESM2,GFDL-CM3,CNRM-CM5,MPI-ESM-LR,IPSL-CM5A-LR,GFDL-ESM2G,CCSM4,GISS-E2-R
2000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0
2001.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0
2002.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0
2003.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0
2004.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0
2005.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0
2006.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0
2007.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0
2008.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0
2009.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0
2010.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0
2011.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0
2012.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0
2013.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0
2014.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0
2015.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0
2016.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0
2017.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0
2018.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0
2019.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0
2020.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0
2021.0,13866448000.0,13808886000.0,13743215000.0,13780262000.0,13777920000.0,13760110000.0,13931336000.0,13722337000.0,13786549000.0,13802992000.0
2022.0,13773253000.0,13848603000.0,13690850000.0,13813579000.0,13682485000.0,13626157000.0,13697060000.0,13690178000.0,13721448000.0,13953853000.0
2023.0,13650904000.0,14084619000.0,13587146000.0,13633595000.0,13569854000.0,13521117000.0,13630210000.0,13575245000.0,13546077000.0,13667162000.0
2024.0,13602968000.0,13830429000.0,13504053000.0,13457864000.0,13530180000.0,13447977000.0,13505614000.0,13377366000.0,13238980000.0,13573316000.0
2025.0,13827480000.0,13635765000.0,13358001000.0,13387329000.0,13548877000.0,13377148000.0,13386650000.0,13234569000.0,13123599000.0,13469773000.0
2026.0,13527669000.0,13452944000.0,13225900000.0,13196586000.0,13644913000.0,13270932000.0,13231413000.0,13258727000.0,12851011000.0,13411068000.0
2027.0,13303244000.0,13483407000.0,13154386000.0,12921375000.0,13336790000.0,13115970000.0,13073785000.0,13151627000.0,12555707000.0,13293039000.0
2028.0,13128192000.0,13303863000.0,13222624000.0,12673581000.0,13101546000.0,13007531000.0,12856961000.0,12932119000.0,12424198000.0,13206203000.0
2029.0,12985356000.0,13112204000.0,12888121000.0,12494989000.0,12937757000.0,13056126000.0,12669987000.0,12826284000.0,12085580000.0,13452007000.0
