time,GFDL-ESM2G,IPSL-CM5A-LR,CESM1-CAM5,GISS-E2-R,CCSM4,NORESM1-M,GFDL-CM3,CSIRO-MK3-6-0
2000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0
2001.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0
2002.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0
2003.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0
2004.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0
2005.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0
2006.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0
2007.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0
2008.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0
2009.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0
2010.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0
2011.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0
2012.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0
2013.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0
2014.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0
2015.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0
2016.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0
2017.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0
2018.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0
2019.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0
2020.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0
2021.0,13807082000.0,13790345000.0,13791269000.0,13761457000.0,13807290000.0,13790214000.0,13762707000.0,13820178000.0
2022.0,13644038000.0,13763026000.0,13656612000.0,13716621000.0,13692086000.0,13631565000.0,13560264000.0,13637132000.0
2023.0,13518551000.0,13620377000.0,13618911000.0,13644429000.0,13708367000.0,13476236000.0,13432370000.0,13501708000.0
2024.0,13290082000.0,13502681000.0,13464621000.0,13527042000.0,13638616000.0,13288672000.0,13296863000.0,13392679000.0
2025.0,13177260000.0,13632638000.0,13380686000.0,13400447000.0,13441735000.0,13246551000.0,13163749000.0,13318328000.0
2026.0,13025714000.0,13372829000.0,13234057000.0,13300112000.0,13386630000.0,13066693000.0,12973011000.0,13167677000.0
2027.0,13009108000.0,13249337000.0,13079747000.0,13214762000.0,13284231000.0,12921657000.0,12769199000.0,13082000000.0
2028.0,12875642000.0,13127817000.0,12970554000.0,13099140000.0,13388790000.0,13225215000.0,12650863000.0,13165568000.0
