time,NORESM1-M,CNRM-CM5,MPI-ESM-LR,CANESM2,CSIRO-MK3-6-0,GFDL-CM3,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R,CESM1-CAM5,CCSM4
2066.0,4593065000.0,6001403000.0,6781129000.0,4060824800.0,5033456600.0,3221709000.0,7869468000.0,4517344000.0,7163621000.0,4791074000.0,7545309000.0
2067.0,4473331000.0,5731071000.0,6650662000.0,3957339000.0,4798810600.0,3106026500.0,7659585500.0,4396020000.0,7213799400.0,4626312700.0,7379122000.0
2068.0,4402211000.0,5595420700.0,6716202000.0,3817050400.0,4576504300.0,3007172900.0,7345593300.0,4304748500.0,6966862000.0,4637154000.0,7259847700.0
2069.0,4381973000.0,5448338000.0,6409231400.0,3580836400.0,4416664600.0,2875955000.0,7106006500.0,4212724000.0,6893654500.0,4353460000.0,7132231700.0
2070.0,4201677600.0,5275289000.0,6320459000.0,3435971800.0,4268358700.0,2751533600.0,7043111400.0,4103230200.0,6873770500.0,4142203600.0,6960445400.0
2071.0,4109631500.0,5158961700.0,6142330000.0,3342705700.0,4163169500.0,2644860400.0,6822205400.0,3976082000.0,6811164000.0,3954487000.0,6791412000.0
2072.0,4005938000.0,4958112300.0,5931582000.0,3198242300.0,3946829600.0,2525208600.0,6623801000.0,3832773600.0,6656943000.0,4290433300.0,6613063700.0
2073.0,3925361400.0,4845121500.0,6564773400.0,3072816000.0,3779957000.0,2426890500.0,6465785300.0,3744387600.0,6562879500.0,3754426600.0,6466980400.0
2074.0,3876848000.0,4759301600.0,6032827400.0,2944416800.0,3628895200.0,2306527500.0,6487016400.0,3609408800.0,6405062000.0,3586933800.0,6341095400.0
2075.0,3759108600.0,4592228400.0,5812115500.0,2796910000.0,3457904000.0,2206195000.0,6529664500.0,3517114400.0,6336537000.0,3469849600.0,6158510000.0
2076.0,3782283500.0,4388857000.0,6416765000.0,2693091300.0,3398725000.0,2151533800.0,6054824000.0,4029715500.0,6306479600.0,3403122200.0,5962311700.0
2077.0,3640740900.0,4209449700.0,6328831000.0,2596297200.0,3250380000.0,2062917200.0,5919085000.0,3395060500.0,6176770600.0,3224102400.0,5872602600.0
2078.0,3508778000.0,4156851000.0,5699034000.0,2494580500.0,3129537000.0,1940087400.0,5874917400.0,3281010200.0,6163318300.0,3099365400.0,5752892000.0
2079.0,3412674000.0,4719966000.0,5572972500.0,2397582300.0,3012099800.0,2078350000.0,5603335700.0,3164168400.0,6187154400.0,2979543600.0,5612351000.0
2080.0,3285524700.0,4065649400.0,5429336600.0,2286644700.0,2920597200.0,1818618200.0,5396658000.0,3064759800.0,5936777700.0,2873894400.0,5488368600.0
2081.0,3151356400.0,4451076600.0,5301302000.0,2241080000.0,2884709000.0,1664550800.0,5245336000.0,2962635500.0,6274327600.0,2781095400.0,5295720000.0
2082.0,3092025300.0,3884067000.0,5311736000.0,2138847700.0,2744028200.0,1576112300.0,5129815000.0,2876703700.0,5856583700.0,2628243500.0,5194947600.0
2083.0,3059718400.0,3886324700.0,5204788000.0,2095744600.0,2667498200.0,1481026400.0,5100354000.0,2791589000.0,5710523400.0,2453702700.0,5134836000.0
2084.0,2947415600.0,3724631800.0,5047899600.0,2059088800.0,2575612200.0,1437356400.0,5042865700.0,2729914600.0,5842389000.0,2352378000.0,5276257300.0
2085.0,2994180600.0,3821969200.0,4956538400.0,1914121700.0,2611476700.0,1404642800.0,4844595700.0,2626806300.0,5679852000.0,2197432600.0,4934736000.0
2086.0,2826388200.0,3631273700.0,4880345600.0,1807504300.0,2393091800.0,1349085400.0,4725613600.0,2525688800.0,5536912000.0,2099295400.0,4823534000.0
2087.0,2721471700.0,3495331600.0,4816600600.0,1705695100.0,2298730000.0,1305735700.0,4688450000.0,2464516400.0,5454713000.0,1973708200.0,4702225400.0
2088.0,2660470300.0,3381074200.0,4747304400.0,1567905900.0,2110114400.0,1250608300.0,4521449000.0,2391138300.0,5348055600.0,1890170200.0,4600739300.0
2089.0,2609172200.0,3267647200.0,4772692500.0,1496251000.0,2074488300.0,1214029200.0,4449006000.0,2279696600.0,5253548000.0,1797788500.0,4521838600.0
2090.0,2609885700.0,3283605500.0,4671932400.0,1429377900.0,2004072400.0,1121716600.0,4371493400.0,2189655600.0,5177857000.0,1673579800.0,4588684000.0
2091.0,2446028500.0,3157207300.0,4566876700.0,1336883500.0,1934377500.0,1032667200.0,4245796000.0,2106404500.0,5491806000.0,1562521700.0,4389843500.0
2092.0,2380829700.0,3080137200.0,5037772000.0,1290380300.0,1836194800.0,1004058940.0,4175078100.0,2068433900.0,5151850000.0,1524027000.0,4313339400.0
2093.0,2384388000.0,2977041700.0,4502627000.0,1240824400.0,1746525600.0,959878100.0,4264184300.0,2007766400.0,5084789000.0,1523049900.0,4221871900.0
2094.0,2319136800.0,2876282400.0,4511560000.0,1184964700.0,2029448000.0,939297300.0,4025126700.0,1968438400.0,5137437000.0,1481559700.0,4195774200.0
2095.0,2189083400.0,2850137600.0,4752142300.0,1148678000.0,1649236700.0,883102500.0,3920565000.0,2000425700.0,5191549400.0,1384966400.0,4005662700.0
2096.0,2101354200.0,2680748300.0,4767806000.0,1102010500.0,1592195000.0,864074200.0,3840053000.0,1818090200.0,4970097000.0,1325672800.0,3903664600.0
2097.0,1998400300.0,2533319400.0,4430207000.0,1070841540.0,1522212400.0,831201400.0,3752954400.0,1775942300.0,5311212000.0,1248504700.0,3786604800.0
2098.0,1913114100.0,2544970200.0,4350873600.0,1100229400.0,1451587100.0,806745900.0,3892653000.0,1715555200.0,4918793000.0,1186222600.0,3898176500.0
2099.0,1853928000.0,2392883500.0,4577069600.0,1032113800.0,1429212000.0,785038600.0,3619928300.0,1667286800.0,4809574000.0,1169360600.0,3699803100.0
2100.0,1786053100.0,2331163100.0,4251585500.0,999750660.0,1402058800.0,749405630.0,3542366000.0,1632431900.0,4769449000.0,1100911600.0,3552804000.0
