time,CESM1-CAM5,CSIRO-MK3-6-0,CANESM2,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR,CCSM4,GFDL-CM3,MPI-ESM-LR,GISS-E2-R,CNRM-CM5
2000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0
2001.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0
2002.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0
2003.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0
2004.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0
2005.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0
2006.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0
2007.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0
2008.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0
2009.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0
2010.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0
2011.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0
2012.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0
2013.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0
2014.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0
2015.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0
2016.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0
2017.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0
2018.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0
2019.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0
2020.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0
2021.0,47999926000.0,48024105000.0,48490545000.0,48032567000.0,47874110000.0,48167375000.0,48063013000.0,47794418000.0,48115820000.0,48277455000.0,48071602000.0
2022.0,47909550000.0,47727305000.0,47943352000.0,48196047000.0,47684690000.0,47746100000.0,47851663000.0,47542854000.0,48023597000.0,48035713000.0,47767160000.0
2023.0,47658190000.0,47495746000.0,47738470000.0,48232020000.0,47460680000.0,47639265000.0,47831937000.0,47296696000.0,47756380000.0,47886176000.0,47767540000.0
2024.0,47730254000.0,47309517000.0,47578480000.0,47877880000.0,47392220000.0,47579533000.0,48197780000.0,46965637000.0,47438356000.0,47783760000.0,47470498000.0
2025.0,47715680000.0,47367740000.0,47272854000.0,47601390000.0,47071490000.0,47367057000.0,47520944000.0,46625153000.0,47194480000.0,47795778000.0,47331310000.0
2026.0,47644037000.0,46927004000.0,46964230000.0,47377870000.0,46874255000.0,47151026000.0,47342273000.0,46259503000.0,47109880000.0,47463650000.0,47257890000.0
2027.0,47212732000.0,46681480000.0,46617940000.0,47150256000.0,46570422000.0,46903820000.0,47017546000.0,45830700000.0,46777897000.0,47434500000.0,47100797000.0
2028.0,47044518000.0,46496567000.0,46270484000.0,47072674000.0,46376923000.0,46691280000.0,46834823000.0,45438067000.0,46511415000.0,47207120000.0,46756020000.0
2029.0,46884594000.0,46323850000.0,46060380000.0,46689270000.0,46129857000.0,46456690000.0,46553050000.0,44948808000.0,46259720000.0,47067836000.0,46494860000.0
2030.0,46748987000.0,46057290000.0,45910786000.0,46415933000.0,45844386000.0,46167597000.0,46405878000.0,44354847000.0,46181980000.0,46811590000.0,46322074000.0
2031.0,46545314000.0,45836310000.0,45490094000.0,46304120000.0,45656465000.0,45812736000.0,46206820000.0,43787480000.0,45932294000.0,46614690000.0,46069293000.0
2032.0,46211777000.0,45536956000.0,45136280000.0,46015780000.0,45258748000.0,45547844000.0,45948785000.0,43088560000.0,46102120000.0,46336782000.0,45822984000.0
2033.0,45931327000.0,45278736000.0,44799586000.0,45816160000.0,44962260000.0,45217686000.0,46264422000.0,42298323000.0,45488740000.0,46022410000.0,45963907000.0
2034.0,45818147000.0,44892115000.0,44389237000.0,45967725000.0,44629017000.0,44891795000.0,45503836000.0,41534525000.0,45592547000.0,45859926000.0,45430500000.0
2035.0,45554184000.0,44486558000.0,43968238000.0,45744460000.0,44198502000.0,44522130000.0,45155020000.0,40893997000.0,44800885000.0,45963837000.0,45081300000.0
