time,CCSM4,GFDL-CM3,GISS-E2-R,CESM1-CAM5,CSIRO-MK3-6-0,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR
2000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0
2001.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0
2002.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0
2003.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0
2004.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0
2005.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0
2006.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0
2007.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0
2008.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0
2009.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0
2010.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0
2011.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0
2012.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0
2013.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0
2014.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0
2015.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0
2016.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0
2017.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0
2018.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0
2019.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0
2020.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0
2021.0,47902343000.0,47813220000.0,48407806000.0,48075200000.0,48257417000.0,48198046000.0,48695950000.0,48248010000.0
2022.0,47831690000.0,47538920000.0,48145750000.0,47841694000.0,48099510000.0,47923850000.0,47975907000.0,48030278000.0
2023.0,47713935000.0,47268872000.0,47857300000.0,47655485000.0,47861990000.0,47970537000.0,47788730000.0,48216904000.0
2024.0,47402672000.0,46965650000.0,47867400000.0,47486267000.0,47776370000.0,47768280000.0,47649796000.0,47778440000.0
2025.0,47469105000.0,46613594000.0,47598453000.0,47419585000.0,47569363000.0,47535750000.0,47450046000.0,47558040000.0
2026.0,47195582000.0,46191760000.0,47365845000.0,47237423000.0,47321678000.0,47263720000.0,47216194000.0,47605800000.0
2027.0,47157210000.0,45719990000.0,47116472000.0,47213375000.0,47156662000.0,47043240000.0,47062030000.0,47209173000.0
2028.0,46852272000.0,45283336000.0,47063250000.0,47076100000.0,46907620000.0,46798578000.0,46869864000.0,47018217000.0
2029.0,46816084000.0,44788507000.0,46969135000.0,46838608000.0,46975365000.0,47041913000.0,46597734000.0,46800126000.0
2030.0,46661374000.0,44314750000.0,46645944000.0,46587933000.0,46945292000.0,46691080000.0,46409515000.0,46559210000.0
2031.0,47430685000.0,43783930000.0,46610743000.0,46323937000.0,46502953000.0,46753260000.0,46400780000.0,46307740000.0
2032.0,46874804000.0,43247727000.0,46524190000.0,46547984000.0,46246130000.0,47650185000.0,46192923000.0,46093566000.0
2033.0,46241700000.0,42679546000.0,46208897000.0,46199804000.0,46083310000.0,46643663000.0,45778930000.0,45861716000.0
2034.0,45916780000.0,42062790000.0,46070450000.0,45761460000.0,45836280000.0,46030660000.0,45543154000.0,45567914000.0
2035.0,45713527000.0,41414926000.0,45808120000.0,45463433000.0,45766040000.0,46711370000.0,45341550000.0,45207920000.0
2036.0,45458477000.0,40711760000.0,45624287000.0,45255160000.0,45589700000.0,46163740000.0,45090247000.0,44893213000.0
2037.0,45223457000.0,40063940000.0,45352677000.0,44911137000.0,45286820000.0,46096510000.0,44781654000.0,44567510000.0
2038.0,44909625000.0,39265386000.0,45032255000.0,44711390000.0,45032140000.0,45614998000.0,44819490000.0,44188774000.0
2039.0,44590477000.0,38395564000.0,44798943000.0,44533957000.0,44689707000.0,45336650000.0,44273280000.0,43833823000.0
2040.0,44300330000.0,37601980000.0,44484186000.0,44279984000.0,44463518000.0,45535940000.0,43896580000.0,43367154000.0
2041.0,43893924000.0,36898710000.0,44218175000.0,44067620000.0,44121650000.0,45288990000.0,43638110000.0,43027034000.0
2042.0,43615540000.0,36098753000.0,43972740000.0,43623203000.0,43924423000.0,44770034000.0,43250280000.0,42659185000.0
2043.0,43272940000.0,35512460000.0,43724790000.0,43277234000.0,43701340000.0,44613587000.0,42944720000.0,42335140000.0
2044.0,43787604000.0,34438730000.0,43696415000.0,42894758000.0,43338486000.0,44308496000.0,42589290000.0,41847476000.0
