time,IPSL-CM5A-LR,CNRM-CM5,GISS-E2-R,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G,CSIRO-MK3-6-0,NORESM1-M,CANESM2,CCSM4
2036.0,3131763600000.0,3335467800000.0,3227886800000.0,3107223500000.0,3258587800000.0,3360693000000.0,3456572000000.0,3326088000000.0,3260991700000.0,3296722200000.0
2037.0,3096415000000.0,3322738600000.0,3198079000000.0,3081285700000.0,3252735000000.0,3354960300000.0,3448109000000.0,3303435100000.0,3237491800000.0,3268615000000.0
2038.0,3061776400000.0,3307464800000.0,3169598800000.0,3066613500000.0,3240106700000.0,3342779000000.0,3442399200000.0,3284308900000.0,3210902200000.0,3241753700000.0
2039.0,3021483300000.0,3290218600000.0,3149253300000.0,3044003500000.0,3222812000000.0,3322002300000.0,3435527000000.0,3269344400000.0,3190293300000.0,3232392800000.0
2040.0,2972397000000.0,3284248800000.0,3125695200000.0,3008574500000.0,3202681000000.0,3303091700000.0,3409188700000.0,3238373400000.0,3163909500000.0,3214313300000.0
2041.0,2943993500000.0,3268381500000.0,3100276400000.0,2987468300000.0,3189279300000.0,3285145400000.0,3405473000000.0,3211310000000.0,3151873700000.0,3200087000000.0
2042.0,2896880500000.0,3252161600000.0,3064966200000.0,2965395000000.0,3163762000000.0,3266793700000.0,3396115600000.0,3196214600000.0,3126971000000.0,3185024700000.0
2043.0,2863947800000.0,3242362100000.0,3024448400000.0,2935020300000.0,3142516000000.0,3265537200000.0,3397469000000.0,3173036000000.0,3107262600000.0,3171352800000.0
2044.0,2821686800000.0,3228156600000.0,2993238300000.0,2915284800000.0,3115603700000.0,3263312200000.0,3402672000000.0,3149340900000.0,3085904000000.0,3146558200000.0
2045.0,2767941500000.0,3216972700000.0,2959757800000.0,2886765400000.0,3098941800000.0,3259606200000.0,3380333200000.0,3122799800000.0,3058508800000.0,3134471500000.0
2046.0,2721201300000.0,3199903200000.0,2922204400000.0,2861561300000.0,3072223300000.0,3249033700000.0,3363887400000.0,3102040000000.0,3015107700000.0,3109969500000.0
2047.0,2679898000000.0,3188969700000.0,2884581500000.0,2827140700000.0,3050516500000.0,3243260000000.0,3354774700000.0,3083701600000.0,2992596600000.0,3086511000000.0
2048.0,2637958200000.0,3171570400000.0,2857476000000.0,2796981800000.0,3020375700000.0,3228852300000.0,3341827000000.0,3057649200000.0,2957868300000.0,3057664000000.0
2049.0,2596308800000.0,3157622300000.0,2825426300000.0,2761866600000.0,3015609200000.0,3218384600000.0,3352150100000.0,3023884300000.0,2919991300000.0,3032083000000.0
2050.0,2548158000000.0,3140264400000.0,2801313800000.0,2732452500000.0,3000858600000.0,3185791200000.0,3361060400000.0,3006059800000.0,2887457400000.0,3001516300000.0
2051.0,2500059700000.0,3129031300000.0,2769937800000.0,2703970800000.0,2977159400000.0,3164723700000.0,3350440200000.0,2973627600000.0,2865734600000.0,2977931000000.0
2052.0,2453804700000.0,3110618800000.0,2730908000000.0,2683548700000.0,2961358200000.0,3154555200000.0,3342873400000.0,2939183700000.0,2843733400000.0,2944664000000.0
2053.0,2417148000000.0,3103374700000.0,2705785000000.0,2657398000000.0,2943320900000.0,3145367300000.0,3336631200000.0,2903252100000.0,2814664200000.0,2918330400000.0
2054.0,2379882000000.0,3078395000000.0,2683368400000.0,2624080800000.0,2930200300000.0,3124763600000.0,3314250700000.0,2881648900000.0,2786341400000.0,2893593400000.0
2055.0,2334337500000.0,3057787300000.0,2661108200000.0,2597065900000.0,2911010000000.0,3098503300000.0,3318905300000.0,2852217000000.0,2753543500000.0,2874614700000.0
2056.0,2301023200000.0,3041421200000.0,2631099000000.0,2564972600000.0,2894479800000.0,3090183600000.0,3312033200000.0,2825326400000.0,2721661000000.0,2843733100000.0
