time,CAMS-CSM1-0,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4
2000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0
2001.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0
2002.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0
2003.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0
2004.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0
2005.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0
2006.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0
2007.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0
2008.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0
2009.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0
2010.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0
2011.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0
2012.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0
2013.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0
2014.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0
2015.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0
2016.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0
2017.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0
2018.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0
2019.0,10050993000.0,10050993000.0,10050993000.0,10050993000.0
2020.0,10044886000.0,10044886000.0,10044886000.0,10044886000.0
2021.0,10036630000.0,10038316000.0,10038697000.0,10041968000.0
2022.0,10029967000.0,10030967000.0,10031768000.0,10035244000.0
2023.0,10026025000.0,10026333000.0,10026276000.0,10026854000.0
2024.0,10020317000.0,10017737000.0,10020598000.0,10020081000.0
2025.0,10013527000.0,10012882000.0,10015694000.0,10014675000.0
2026.0,10005805000.0,10001569000.0,10007972000.0,10004261000.0
2027.0,9995909000.0,9986091000.0,9997705000.0,10000674000.0
2028.0,9978440000.0,9977225000.0,9982141000.0,9983548000.0
2029.0,9955921000.0,9954807000.0,9966530000.0,9975627000.0
2030.0,9945913000.0,9934629000.0,9945555000.0,9954862000.0
2031.0,9925913000.0,9915728000.0,9922394000.0,9939920000.0
2032.0,9915212000.0,9899923000.0,9917505000.0,9931767000.0
2033.0,9896719000.0,9878950000.0,9900628000.0,9905309000.0
2034.0,9870436000.0,9869071000.0,9877504000.0,9890963000.0
2035.0,9852150000.0,9829645000.0,9860214000.0,9881274000.0
2036.0,9820913000.0,9801989000.0,9838572000.0,9868953000.0
2037.0,9786140000.0,9776352000.0,9807433000.0,9840601000.0
2038.0,9760426000.0,9727599000.0,9780000000.0,9813828000.0
2039.0,9743066000.0,9687461000.0,9752317000.0,9787372000.0
2040.0,9710807000.0,9664748000.0,9718944000.0,9757866000.0
2041.0,9664497000.0,9637087000.0,9686713000.0,9737643000.0
2042.0,9627583000.0,9611147000.0,9672119000.0,9700307000.0
2043.0,9598036000.0,9574839000.0,9652240000.0,9673070000.0
2044.0,9557395000.0,9509176000.0,9639568000.0,9663230000.0
2045.0,9517386000.0,9468358000.0,9616214000.0,9648879000.0
2046.0,9473949000.0,9434132000.0,9601496000.0,9634471000.0
2047.0,9437174000.0,9372206000.0,9588010000.0,9620593000.0
2048.0,9375076000.0,9301740000.0,9546197000.0,9601334000.0
2049.0,9317967000.0,9266891000.0,9501308000.0,9580424000.0
2050.0,9257842000.0,9238892000.0,9477899000.0,9553701000.0
2051.0,9175885000.0,9168384000.0,9460826000.0,9528929000.0
2052.0,9131021000.0,9087055000.0,9411587000.0,9514488000.0
2053.0,9083224000.0,9050925000.0,9364947000.0,9481906000.0
2054.0,8997092000.0,9006416000.0,9315590000.0,9450596000.0
2055.0,8920835000.0,8949302000.0,9277502000.0,9429643000.0
2056.0,8848759000.0,8889539000.0,9238179000.0,9403736000.0
2057.0,8784218000.0,8846950000.0,9189208000.0,9386788000.0
2058.0,8709301000.0,8821797000.0,9137977000.0,9358340000.0
2059.0,8619181000.0,8764410000.0,9065467000.0,9327093000.0
2060.0,8519584300.0,8715831000.0,9017150000.0,9289686000.0
2061.0,8448555000.0,8697077000.0,8975052000.0,9257597000.0
2062.0,8394578400.0,8648873000.0,8927136000.0,9207004000.0
2063.0,8353550000.0,8606050000.0,8845787000.0,9178080000.0
2064.0,8300805000.0,8611054000.0,8802722000.0,9149639000.0
2065.0,8241081300.0,8571757000.0,8738784000.0,9124162000.0
2066.0,8177796600.0,8560720000.0,8689274000.0,9072507000.0
2067.0,8126686000.0,8539214000.0,8663425000.0,9011801000.0
2068.0,8047462400.0,8508387000.0,8624461000.0,9004347000.0
2069.0,7992370700.0,8471404000.0,8615690000.0,8956509000.0
2070.0,7918768000.0,8442141000.0,8549741600.0,8936245000.0
2071.0,7835376000.0,8407538000.0,8493242400.0,8901429000.0
2072.0,7790267000.0,8382483000.0,8464478000.0,8855234000.0
2073.0,7753942000.0,8349564400.0,8430545000.0,8801627000.0
2074.0,7679147000.0,8333523500.0,8383466000.0,8775172000.0
2075.0,7631478000.0,8298103000.0,8362009000.0,8756182000.0
2076.0,7523507000.0,8262873600.0,8308007000.0,8740380000.0
2077.0,7470664700.0,8234233300.0,8261091300.0,8727688000.0
2078.0,7425448400.0,8228084000.0,8234842600.0,8689800000.0
2079.0,7370660400.0,8224554500.0,8197775400.0,8659779000.0
2080.0,7300048000.0,8184131000.0,8171521000.0,8647375000.0
2081.0,7273610000.0,8181411300.0,8129153500.0,8665069000.0
2082.0,7234165000.0,8139055600.0,8092768000.0,8632547000.0
2083.0,7189147600.0,8124559000.0,8038202400.0,8605684000.0
2084.0,7165132000.0,8070870500.0,7996556000.0,8555669500.0
2085.0,7102353400.0,8052017700.0,7947440600.0,8534806500.0
2086.0,7053641700.0,8041886000.0,7915192300.0,8529417000.0
2087.0,7003756000.0,8036277000.0,7885072400.0,8489270300.0
2088.0,6949931000.0,8031150000.0,7824791000.0,8484526600.0
2089.0,6902661600.0,8025189000.0,7785603600.0,8478873600.0
2090.0,6877153300.0,8011251000.0,7742601700.0,8462442500.0
2091.0,6838053000.0,8018219500.0,7709881000.0,8454794000.0
2092.0,6777384400.0,8003293700.0,7679326000.0,8433500700.0
2093.0,6737039000.0,8003176400.0,7631850000.0,8398554000.0
2094.0,6710119400.0,7976065000.0,7589041000.0,8396180000.0
2095.0,6675750400.0,7990975000.0,7559388700.0,8374424600.0
2096.0,6610744300.0,7960402400.0,7528551400.0,8357906400.0
2097.0,6603604500.0,7945886000.0,7487609300.0,8326398500.0
2098.0,6580227000.0,7930770000.0,7448209400.0,8355679000.0
2099.0,6535697400.0,7973927400.0,7432345000.0,8326945300.0
2100.0,6505284600.0,7945213000.0,7415642000.0,8288864000.0
