time,GFDL-ESM4,MPI-ESM1-2-HR,NORESM2-MM,CANESM5,BCC-CSM2-MR,IPSL-CM6A-LR,FGOALS-F3-L,ACCESS-CM2,CESM2,EC-EARTH3-VEG,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8
2000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0
2001.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0
2002.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0
2003.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0
2004.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0
2005.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0
2006.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0
2007.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0
2008.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0
2009.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0
