time,BCC-CSM2-MR,FGOALS-F3-L,CESM2,GFDL-ESM4,MRI-ESM2-0,CMCC-CM2-SR5,MPI-ESM1-2-HR,NORESM2-MM,CAMS-CSM1-0,CESM2-WACCM,EC-EARTH3,EC-EARTH3-VEG,INM-CM4-8,INM-CM5-0
2000.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0
2001.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0
2002.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0
2003.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0
2004.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0
2005.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0
2006.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0
2007.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0
2008.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0
2009.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0
2010.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0
2011.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0
2012.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0
2013.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0
2014.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0
2015.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0
2016.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0
2017.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0
2018.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0
2019.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0
2020.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0
2021.0,1921517200.0,1917951500.0,1944353300.0,1964405800.0,1929644700.0,1873801300.0,1903611300.0,1903939800.0,1925452800.0,1920496500.0,1913175800.0,1927700500.0,1935115300.0,2014666500.0
2022.0,1894839000.0,1900746400.0,1891310700.0,1907625600.0,1872818200.0,1821103600.0,1858280700.0,1875575200.0,1911179900.0,1911109500.0,1904629000.0,1909055500.0,1899077800.0,1897391400.0
2023.0,1871090400.0,1851316100.0,1861004500.0,1879495400.0,1830647400.0,1882710700.0,1817887500.0,1841829400.0,1868058100.0,2001460700.0,1868640900.0,1900771100.0,1845261400.0,1850215600.0
2024.0,1800809900.0,1838578200.0,1809897200.0,1838166300.0,1787522800.0,1987419300.0,1971718800.0,1804129700.0,1828870400.0,1873311600.0,1820967800.0,1850807700.0,1802532000.0,1814401300.0
2025.0,1783193900.0,1806543200.0,1762265300.0,1827218000.0,1736493800.0,1817451100.0,1823088100.0,1775461900.0,1941008400.0,1835795500.0,1770180900.0,1844849400.0,1741875800.0,1828150700.0
2026.0,1742330800.0,1767640200.0,1694786400.0,1807995400.0,1668011000.0,1776870000.0,1708031000.0,1732488400.0,1853840900.0,1800143000.0,1732509300.0,1801602700.0,1703432800.0,1775438000.0
2027.0,1694287400.0,1713040600.0,1672021900.0,1751273100.0,1640109300.0,1748454900.0,1659803900.0,1709936500.0,1930751900.0,1770238600.0,1683523300.0,1771711500.0,1703585900.0,1740801900.0
2028.0,1657560800.0,1685312400.0,1685678000.0,2022079700.0,1584006800.0,1728543500.0,1612086800.0,1655208300.0,1768646800.0,1771489200.0,1642992400.0,1719970800.0,1669507500.0,1696705500.0
2029.0,1609296600.0,1644527200.0,1547712300.0,1772586400.0,1517986600.0,1739952100.0,1576224800.0,1618395900.0,1733198700.0,1718792600.0,1589804000.0,1704249100.0,1881243600.0,1654255400.0
2030.0,1547324000.0,1605435800.0,1607273700.0,1696982500.0,1458361700.0,1681395200.0,1520875400.0,1549364600.0,1758402200.0,1674078800.0,1553411500.0,1638035700.0,1643619200.0,1558935400.0
