time,GFDL-ESM4,MRI-ESM2-0,CESM2,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,IPSL-CM6A-LR,CESM2-WACCM,CAMS-CSM1-0,NORESM2-MM,INM-CM5-0,INM-CM4-8,EC-EARTH3-VEG,CANESM5,EC-EARTH3,ACCESS-CM2,ACCESS-ESM1-5
2000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0
2001.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0
2002.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0
2003.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0
2004.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0
2005.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0
2006.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0
2007.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0
2008.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0
2009.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0
2010.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0
2011.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0
