time,INM-CM4-8,INM-CM5-0,EC-EARTH3,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L
2000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0,29733663000.0
2001.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0,30042155000.0
2002.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0,29767254000.0
2003.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0,30284126000.0
2004.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0,29912414000.0
2005.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0,29560494000.0
2006.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0,29577593000.0
2007.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0,29510894000.0
2008.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0,29440094000.0
2009.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0,29337164000.0
2010.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0,29291272000.0
2011.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0,29228638000.0
2012.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0,29197402000.0
2013.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0,29003104000.0
2014.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0,28887525000.0
2015.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0,28997410000.0
2016.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0,28875350000.0
2017.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0,28675973000.0
2018.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0,28566374000.0
2019.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0,28482843000.0
2020.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0,28448883000.0
2021.0,28264511000.0,28285245000.0,28400687000.0,28270130000.0,28386126000.0,28352618000.0,28475781000.0,28383560000.0,28235130000.0,28255111000.0,28725699000.0,28492677000.0,28222237000.0,28273700000.0
2022.0,28174502000.0,28197681000.0,28332180000.0,28216074000.0,28147640000.0,28225212000.0,28454939000.0,28176626000.0,28164751000.0,28148200000.0,28523772000.0,28349286000.0,28283419000.0,28234250000.0
2023.0,28028120000.0,28100375000.0,28133575000.0,28149217000.0,28087423000.0,28065278000.0,28300126000.0,28002675000.0,28004390000.0,28091365000.0,28342856000.0,28150120000.0,28032422000.0,28143018000.0
2024.0,27869831000.0,28067504000.0,27952364000.0,27980333000.0,28038885000.0,27923532000.0,28179743000.0,27853810000.0,27881640000.0,28007393000.0,28143964000.0,28009245000.0,27934374000.0,27916007000.0
2025.0,27712262000.0,27947305000.0,27740672000.0,27903939000.0,27966022000.0,27807015000.0,28076454000.0,27802497000.0,27839035000.0,27747488000.0,28224666000.0,27888460000.0,27860658000.0,27780852000.0
2026.0,27653670000.0,27818656000.0,27715602000.0,27678593000.0,27821265000.0,27697097000.0,27918290000.0,27690346000.0,27910130000.0,27615764000.0,28048007000.0,27771750000.0,27683342000.0,27768949000.0
2027.0,27493370000.0,27753097000.0,27509993000.0,27567372000.0,27628648000.0,27572613000.0,27796541000.0,27757382000.0,27643210000.0,27436042000.0,28104557000.0,27624143000.0,27518984000.0,27517622000.0
2028.0,27335811000.0,27630338000.0,27329096000.0,27469558000.0,27456889000.0,27361860000.0,27930010000.0,27413540000.0,27633838000.0,27440806000.0,27814031000.0,27459983000.0,27292275000.0,27341904000.0
2029.0,27210488000.0,27428600000.0,27173042000.0,27288848000.0,27393358000.0,27313656000.0,27737532000.0,27330599000.0,27372495000.0,27191276000.0,27678986000.0,27327060000.0,26950173000.0,27154342000.0
2030.0,27128775000.0,27354698000.0,27096775000.0,27098632000.0,27384820000.0,26959776000.0,27582370000.0,27091468000.0,27471202000.0,27052421000.0,27537103000.0,27223886000.0,26728892000.0,26971175000.0
2031.0,26902733000.0,27153078000.0,26878425000.0,26958110000.0,27162112000.0,26786294000.0,27511386000.0,26873793000.0,27297681000.0,27057420000.0,27408001000.0,26964742000.0,26480904000.0,26717809000.0
2032.0,26681233000.0,26930710000.0,26935390000.0,26800114000.0,26908195000.0,26720635000.0,27341340000.0,26678524000.0,27239553000.0,26746653000.0,27326680000.0,26769953000.0,26149073000.0,26478790000.0
2033.0,26462759000.0,26802207000.0,26649120000.0,26707569000.0,26717923000.0,26436782000.0,27178530000.0,26525833000.0,26997494000.0,26615941000.0,27258733000.0,26603764000.0,26028792000.0,26368143000.0
2034.0,26296785000.0,26673746000.0,26456447000.0,26574322000.0,26816098000.0,26177456000.0,26987897000.0,26299193000.0,27088425000.0,26462386000.0,27224519000.0,26382553000.0,25875067000.0,26082402000.0
2035.0,26168117000.0,26599297000.0,26374058000.0,26239498000.0,26490820000.0,25993499000.0,26846843000.0,26113440000.0,26708402000.0,26342939000.0,27078746000.0,26147727000.0,25594903000.0,25817756000.0
2036.0,26028886000.0,26402587000.0,26171589000.0,26157392000.0,26421678000.0,25500156000.0,26638199000.0,26071806000.0,26651400000.0,26148663000.0,26923545000.0,25868830000.0,25418000000.0,25498892000.0
