time,CESM1-CAM5,NORESM1-M,CNRM-CM5,CCSM4,GFDL-CM3,CSIRO-MK3-6-0,GFDL-ESM2G,IPSL-CM5A-LR,MPI-ESM-LR,GISS-E2-R,CANESM2
2000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0
2001.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0
2002.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0
2003.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0
2004.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0
2005.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0
2006.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0
2007.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0
2008.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0
2009.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0
2010.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0
2011.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0
2012.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0
2013.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0
2014.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0
2015.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0
2016.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0
2017.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0
2018.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0
2019.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0
2020.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0
2021.0,87489380000.0,87426070000.0,87561600000.0,87796790000.0,87351206000.0,87482530000.0,88025590000.0,87322180000.0,87474010000.0,87430955000.0,87469930000.0
2022.0,87519160000.0,87413390000.0,87499555000.0,87478000000.0,87106420000.0,87404010000.0,87596630000.0,87513440000.0,87233620000.0,88940090000.0,87618360000.0
2023.0,87518175000.0,87240350000.0,87278250000.0,87377880000.0,86934040000.0,87207970000.0,87686070000.0,90247400000.0,87104590000.0,88039950000.0,87120810000.0
2024.0,87264270000.0,87022000000.0,88438280000.0,87488660000.0,86877980000.0,87536750000.0,87273980000.0,88660296000.0,87073950000.0,87598020000.0,86892995000.0
2025.0,87000780000.0,86891710000.0,87298920000.0,87180280000.0,86616480000.0,87073500000.0,87382700000.0,89165650000.0,86837840000.0,87450690000.0,86893896000.0
2026.0,86826210000.0,86822460000.0,87045490000.0,87083295000.0,86431924000.0,86871250000.0,86961120000.0,87960090000.0,86874250000.0,88142480000.0,86784060000.0
2027.0,86554390000.0,86562870000.0,87323290000.0,87069516000.0,86125200000.0,86741570000.0,86794535000.0,87619040000.0,86606600000.0,88920570000.0,86757745000.0
2028.0,86598164000.0,86589670000.0,86961120000.0,87311426000.0,85914290000.0,86804370000.0,86819540000.0,87193410000.0,86402810000.0,87316940000.0,86709360000.0
2029.0,86351980000.0,86949724000.0,86665270000.0,87293985000.0,85723830000.0,86829180000.0,86614655000.0,86955870000.0,86254390000.0,87185810000.0,86652944000.0
2030.0,85846320000.0,86301300000.0,86773236000.0,87121660000.0,85440406000.0,87385590000.0,87101100000.0,86793910000.0,86032040000.0,86856070000.0,86508040000.0
2031.0,85794324000.0,86028610000.0,86953230000.0,87086785000.0,85189880000.0,86588240000.0,86484050000.0,87152970000.0,86094360000.0,86953886000.0,86172164000.0
2032.0,85486000000.0,85963360000.0,88521820000.0,86776830000.0,84803240000.0,86512530000.0,86426810000.0,86461790000.0,85871930000.0,87163120000.0,86365480000.0
2033.0,85090620000.0,85716530000.0,86968860000.0,86655480000.0,84457180000.0,86255500000.0,87402460000.0,86177960000.0,85572720000.0,86525534000.0,86336274000.0
2034.0,84836960000.0,85678190000.0,86322470000.0,87142320000.0,84034150000.0,86046500000.0,86412140000.0,86175470000.0,85352050000.0,86339820000.0,85990140000.0
2035.0,84438570000.0,85348230000.0,86003350000.0,86556270000.0,83651980000.0,85903770000.0,86324010000.0,86794870000.0,85414400000.0,86413620000.0,85584680000.0
2036.0,84084466000.0,85183060000.0,85829790000.0,87014646000.0,83560840000.0,85934060000.0,86276325000.0,87330640000.0,85309220000.0,86013140000.0,85366650000.0
2037.0,83739600000.0,84991650000.0,85712850000.0,86621540000.0,83017270000.0,85894230000.0,85817880000.0,86218100000.0,84847150000.0,85775950000.0,85093550000.0
2038.0,83278180000.0,84545790000.0,85623710000.0,86327790000.0,82541950000.0,85713175000.0,85683266000.0,85639725000.0,84551490000.0,85610130000.0,84815640000.0
2039.0,82819090000.0,84839965000.0,85754830000.0,86232970000.0,82069594000.0,85666810000.0,86196110000.0,85250460000.0,84462620000.0,85529240000.0,84538155000.0
2040.0,82922240000.0,84406310000.0,85249700000.0,86203950000.0,81607090000.0,85516020000.0,85768730000.0,84973986000.0,84067670000.0,85425360000.0,84439630000.0
2041.0,81995350000.0,84197720000.0,84916200000.0,86125715000.0,81117350000.0,85411400000.0,85380120000.0,84734030000.0,83778675000.0,85088010000.0,84635310000.0
